,x
1,NA
2,NA
3,NA
4,NA
5,381
6,405
7,NA
8,346
9,397
10,232
11,619
12,438
13,398
14,NA
15,38
16,177
17,NA
18,NA
19,151
20,201
21,NA
22,NA
23,131
24,110
25,NA
26,NA
27,100
28,NA
29,230
30,103
31,NA
32,86
33,53
34,NA
35,NA
36,50
37,59
38,38
39,43
40,NA
41,16
42,NA
43,90
44,87
45,23
46,NA
47,48
48,91
49,100
50,51
51,63
52,NA
53,23
54,NA
55,35
56,119
57,39
58,66
59,NA
60,9
61,NA
62,34
63,101
64,61
65,NA
66,70
67,100
68,NA
69,64
70,22
71,NA
72,51
73,70
74,NA
75,32
76,NA
77,NA
78,37
79,40
80,NA
81,46
82,54
83,37
84,NA
85,25
86,NA
87,NA
88,NA
89,NA
90,28
91,NA
92,78
93,NA
94,NA
95,89
96,54
97,62
98,NA
99,29
100,64
101,49
102,45
103,NA
104,NA
105,30
106,32
107,NA
108,6
109,19
110,NA
111,31
112,22
113,25
114,NA
115,NA
116,NA
117,62
118,26
119,23
120,24
121,NA
122,21
123,NA
124,54
125,14
126,4
127,NA
128,12
129,35
130,67
131,27
132,NA
133,NA
134,NA
135,NA
136,NA
137,45
138,NA
139,34
140,NA
141,NA
142,NA
143,NA
144,44
145,NA
146,NA
147,NA
148,37
149,NA
150,NA
151,NA
152,14
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,40
160,NA
161,48
162,46
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,47
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,17
191,NA
192,14
193,NA
194,NA
195,1
196,30
197,NA
198,NA
199,64
200,96
201,31
202,NA
203,51
204,30
205,NA
206,26
207,15
208,NA
209,4
210,9
211,2
212,13
213,24
214,NA
215,NA
216,8
217,34
218,NA
219,5
220,3
221,8
222,NA
223,34
224,3
225,NA
226,NA
227,NA
228,NA
229,398
230,NA
231,NA
232,450
233,486
234,431
235,NA
236,253
237,490
238,438
239,443
240,405
241,426
242,441
243,NA
244,518
245,233
246,627
247,445
248,NA
249,314
250,541
251,NA
252,580
253,191
254,NA
255,NA
256,371
257,NA
258,359
259,NA
260,NA
261,124
262,NA
263,426
264,285
265,513
266,457
267,398
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,395
279,NA
280,192
281,344
282,NA
283,NA
284,586
285,NA
286,NA
287,NA
288,412
289,NA
290,NA
291,NA
292,NA
293,540
294,312
295,NA
296,NA
297,NA
298,NA
299,NA
300,594
301,NA
302,611
303,NA
304,439
305,NA
306,NA
307,NA
308,473
309,NA
310,NA
311,594
312,NA
313,352
314,NA
315,NA
316,NA
317,468
318,632
319,527
320,NA
321,498
322,570
323,NA
324,NA
325,NA
326,NA
327,577
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,356
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,591
360,69
361,NA
362,NA
363,NA
364,NA
365,NA
366,NA
367,NA
368,NA
369,NA
370,NA
371,NA
372,NA
373,NA
374,NA
375,317
376,NA
377,597
378,NA
379,NA
380,NA
381,411
382,NA
383,NA
384,NA
385,NA
386,NA
387,NA
388,376
389,708
390,701
391,NA
392,328
393,528
394,624
395,NA
396,NA
397,NA
398,NA
399,NA
400,NA
401,NA
402,NA
403,NA
404,513
405,NA
406,NA
407,607
408,NA
409,NA
410,NA
411,NA
412,NA
413,NA
414,NA
415,NA
416,NA
417,NA
418,NA
419,361
420,NA
421,NA
422,NA
423,NA
424,NA
425,NA
426,NA
427,490
428,NA
429,NA
430,NA
431,341
432,NA
433,734
434,NA
435,565
436,NA
437,NA
438,NA
439,509
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,NA
448,634
