,x
1,7
2,5
3,18
4,56
5,63
6,66
7,67
8,83
9,75
10,41
11,63
12,50
13,77
14,41
15,71
16,61
17,56
18,77
19,82
20,76
21,61
22,71
23,91
24,46
25,64
26,NA
27,73
28,51
29,74
30,NA
31,94
32,65
33,75
34,58
35,49
36,54
37,84
38,74
39,50
40,57
41,NA
42,59
43,62
44,NA
45,132
46,NA
47,32
48,NA
49,103
50,49
51,NA
52,25
53,23
54,18
55,94
56,68
57,80
58,87
59,84
60,106
61,NA
62,64
63,56
64,62
65,NA
66,79
67,60
68,85
69,54
70,80
71,79
72,67
73,72
74,74
75,63
76,54
77,65
78,81
79,73
80,57
81,66
82,87
83,104
84,86
85,68
86,86
87,72
88,52
89,75
90,85
91,67
92,87
93,82
94,NA
95,82
96,76
97,81
98,47
99,41
100,78
101,72
102,73
103,53
104,57
105,13
106,59
107,64
108,68
109,105
110,55
111,58
112,88
113,99
114,68
115,45
116,62
117,84
118,71
119,66
120,69
121,87
122,106
123,56
124,71
125,68
126,43
127,43
128,56
129,60
130,84
131,54
132,106
133,67
134,69
135,75
136,75
137,61
138,53
139,81
140,NA
141,72
142,63
143,58
144,NA
145,58
146,86
147,86
148,78
149,96
150,53
151,79
152,70
153,47
154,94
155,76
156,55
157,NA
158,45
159,71
160,103
161,56
162,117
163,93
164,NA
165,73
166,66
167,105
168,74
169,97
170,47
171,115
172,60
173,99
174,86
175,94
176,103
177,43
178,71
179,106
180,89
181,90
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,17
256,NA
257,NA
258,NA
259,41
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,35
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,8
309,55
310,2
311,4
312,42
313,21
314,71
315,39
316,62
317,53
318,38
319,40
320,53
321,40
322,60
323,51
324,54
325,22
326,49
327,40
328,34
329,30
330,26
331,38
332,37
333,56
334,36
335,NA
336,26
337,37
338,45
339,44
340,28
341,50
342,NA
343,44
344,NA
345,21
346,23
347,42
348,42
349,27
350,39
351,35
352,54
353,32
354,22
355,NA
356,41
357,37
358,13
359,34
360,30
361,53
362,18
363,45
364,26
365,7
366,38
367,49
368,26
369,24
370,27
371,33
372,44
373,38
374,40
375,NA
376,NA
377,23
378,43
379,NA
380,58
381,47
382,37
383,26
384,29
385,30
386,30
387,15
388,62
389,20
390,19
391,37
392,40
393,38
394,26
395,31
396,40
397,32
398,NA
399,NA
400,48
401,20
402,35
403,28
404,37
405,21
406,27
407,47
408,25
409,29
410,61
411,36
412,42
413,9
414,33
415,37
416,29
417,10
418,30
419,38
420,NA
421,NA
422,49
423,25
424,76
425,42
426,28
427,23
428,28
429,40
430,32
431,36
432,36
433,29
434,24
435,25
436,33
437,40
438,37
439,1
440,21
441,3
442,34
443,45
444,NA
445,26
446,25
447,38
448,NA
