,x
1,334
2,NA
3,279
4,516
5,327
6,353
7,71
8,211
9,538
10,468
11,100
12,280
13,320
14,345
15,358
16,392
17,397
18,379
19,561
20,324
21,430
22,152
23,360
24,490
25,408
26,327
27,165
28,463
29,234
30,320
31,504
32,379
33,389
34,451
35,377
36,104
37,157
38,232
39,474
40,881
41,427
42,569
43,723
44,347
45,347
46,533
47,232
48,216
49,408
50,317
51,457
52,436
53,340
54,417
55,317
56,467
57,162
58,59
59,66
60,8
61,66
62,238
63,184
64,257
65,201
66,72
67,105
68,38
69,80
70,23
71,45
72,34
73,8
74,11
75,25
76,36
77,45
78,69
79,54
80,45
81,66
82,58
83,51
84,48
85,45
86,103
87,66
88,41
89,65
90,46
91,46
92,80
93,41
94,23
95,59
96,61
97,47
98,59
99,30
100,58
101,53
102,53
103,57
104,78
105,28
106,24
107,83
108,48
109,53
110,96
111,61
112,134
113,NA
114,30
115,66
116,47
117,46
118,40
119,63
120,16
121,66
122,138
123,52
124,69
125,42
126,35
127,101
128,55
129,118
130,89
131,50
132,93
133,86
134,102
135,129
136,138
137,39
138,94
139,NA
140,150
141,122
142,114
143,190
144,216
145,383
146,221
147,315
148,227
149,292
150,308
151,300
152,419
153,235
154,213
155,256
156,133
157,NA
158,283
159,NA
160,336
161,365
162,320
163,256
164,322
165,38
166,43
167,70
168,31
169,332
170,274
171,173
172,317
173,386
174,177
175,371
176,95
177,50
178,71
179,82
180,125
181,97
182,78
183,37
184,60
185,24
186,74
187,53
188,106
189,220
190,21
191,29
192,67
193,22
194,85
195,75
196,309
197,172
198,42
199,162
200,58
201,NA
202,108
203,211
204,168
205,548
206,127
207,86
208,NA
209,230
210,174
211,NA
212,128
213,121
214,56
215,NA
216,244
217,67
218,137
219,191
220,NA
221,213
222,131
223,262
224,454
225,219
226,297
227,151
228,156
229,141
230,201
231,53
232,94
233,78
234,90
235,NA
236,381
237,75
238,88
239,122
240,193
241,158
242,NA
243,87
244,NA
245,175
246,181
247,135
248,676
249,208
250,332
251,300
252,320
253,265
254,162
255,312
256,89
257,321
258,342
259,326
260,133
261,NA
262,87
263,301
264,234
265,434
266,343
267,305
268,168
269,166
270,167
271,NA
272,124
273,148
274,134
275,175
276,106
277,88
278,114
279,66
280,121
281,153
282,122
283,118
284,153
285,115
286,128
287,206
288,138
289,111
290,2
291,108
292,158
293,190
294,315
295,211
296,155
297,81
298,128
299,181
300,NA
301,310
302,318
303,NA
304,NA
305,422
306,365
307,NA
308,342
309,447
310,239
311,NA
312,332
313,407
314,409
315,594
316,430
317,287
318,132
319,109
320,74
321,140
322,88
323,NA
324,150
325,140
326,156
327,111
328,113
329,99
330,70
331,103
332,138
333,117
334,NA
335,120
336,278
337,311
338,309
339,398
340,318
341,NA
342,267
343,373
344,354
345,NA
346,255
347,397
348,284
349,101
350,201
351,236
352,191
353,158
354,237
355,226
356,206
357,161
358,NA
359,144
360,93
361,149
362,114
363,NA
364,119
365,NA
366,NA
367,NA
368,207
369,NA
370,NA
371,NA
372,NA
373,NA
374,NA
375,NA
376,NA
377,NA
378,NA
379,NA
380,NA
381,NA
382,NA
383,NA
384,NA
385,305
386,NA
387,NA
388,514
389,379
390,453
391,NA
392,465
393,NA
394,296
395,NA
396,NA
397,428
398,441
399,430
400,470
401,347
402,425
403,376
404,NA
405,378
406,490
407,NA
408,499
409,NA
410,NA
411,428
412,NA
413,NA
414,NA
415,591
416,NA
417,NA
418,NA
419,NA
420,NA
421,NA
422,NA
423,NA
424,NA
425,NA
426,NA
427,NA
428,NA
429,NA
430,NA
431,NA
432,NA
433,457
434,NA
435,338
436,NA
437,565
438,NA
439,NA
440,463
441,NA
442,486
443,258
444,NA
445,495
446,486
447,NA
448,NA
