,x
1,NA
2,190
3,122
4,139
5,177
6,104
7,210
8,143
9,191
10,175
11,113
12,197
13,130
14,NA
15,169
16,130
17,155
18,161
19,179
20,125
21,99
22,150
23,110
24,NA
25,134
26,NA
27,NA
28,231
29,107
30,207
31,143
32,206
33,115
34,216
35,170
36,134
37,333
38,202
39,164
40,181
41,200
42,176
43,147
44,227
45,137
46,135
47,77
48,223
49,153
50,NA
51,NA
52,103
53,124
54,189
55,132
56,185
57,115
58,90
59,100
60,225
61,237
62,232
63,NA
64,173
65,227
66,184
67,176
68,193
69,203
70,205
71,93
72,NA
73,171
74,124
75,NA
76,164
77,NA
78,NA
79,127
80,219
81,146
82,152
83,NA
84,173
85,289
86,256
87,NA
88,NA
89,208
90,231
91,224
92,256
93,320
94,328
95,234
96,311
97,240
98,101
99,95
100,125
101,301
102,314
103,NA
104,129
105,118
106,395
107,2
108,215
109,336
110,337
111,289
112,326
113,204
114,270
115,279
116,292
117,455
118,180
119,269
120,308
121,262
122,225
123,324
124,187
125,274
126,213
127,228
128,237
129,316
130,336
131,190
132,336
133,316
134,273
135,260
136,290
137,277
138,300
139,324
140,240
141,253
142,281
143,266
144,319
145,296
146,251
147,324
148,289
149,348
150,46
151,304
152,NA
153,340
154,NA
155,156
156,128
157,NA
158,329
159,273
160,321
161,267
162,260
163,NA
164,303
165,304
166,275
167,337
168,375
169,184
170,204
171,304
172,365
173,235
174,229
175,180
176,417
177,161
178,193
179,329
180,191
181,138
182,371
183,272
184,231
185,213
186,NA
187,268
188,328
189,373
190,254
191,319
192,239
193,7
194,402
195,394
196,327
197,161
198,373
199,NA
200,NA
201,270
202,178
203,1
204,140
205,357
206,1
207,312
208,NA
209,NA
210,224
211,309
212,NA
213,245
214,331
215,183
216,302
217,326
218,314
219,375
220,261
221,NA
222,369
223,282
224,296
225,217
226,397
227,304
228,314
229,322
230,296
231,254
232,228
233,288
234,NA
235,304
236,154
237,355
238,356
239,324
240,300
241,286
242,362
243,313
244,NA
245,297
246,365
247,379
248,392
249,324
250,279
251,328
252,322
253,268
254,272
255,170
256,292
257,286
258,331
259,272
260,216
261,223
262,336
263,233
264,226
265,381
266,200
267,NA
268,361
269,261
270,436
271,439
272,384
273,309
274,NA
275,389
276,302
277,368
278,346
279,256
280,328
281,322
282,302
283,242
284,NA
285,275
286,323
287,403
288,250
289,NA
290,341
291,347
292,333
293,305
294,325
295,320
296,275
297,319
298,291
299,308
300,287
301,373
302,286
303,NA
304,330
305,262
306,249
307,323
308,79
309,404
310,349
311,305
312,NA
313,205
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,273
321,272
322,353
323,358
324,279
325,NA
326,304
327,309
328,370
329,350
330,342
331,326
332,333
333,289
334,333
335,NA
336,289
337,291
338,333
339,NA
340,289
341,304
342,319
343,326
344,312
345,384
346,300
347,395
348,333
349,304
350,384
351,351
352,337
353,341
354,364
355,369
356,NA
357,250
358,376
359,NA
360,NA
361,383
362,250
363,381
364,NA
365,72
366,318
367,270
368,332
369,262
370,355
371,359
372,NA
373,NA
374,363
375,NA
376,351
377,341
378,295
379,335
380,325
381,249
382,372
383,329
384,326
385,339
386,217
387,280
388,323
389,308
390,356
391,304
392,209
393,295
394,289
395,310
396,NA
397,NA
398,NA
399,NA
400,243
401,NA
402,286
403,326
404,288
405,338
406,290
407,281
408,272
409,275
410,204
411,315
412,300
413,187
414,278
415,NA
416,NA
417,NA
418,172
419,190
420,NA
421,NA
422,NA
423,421
424,347
425,263
426,NA
427,225
428,407
429,377
430,268
431,230
432,360
433,383
434,358
435,63
436,NA
437,368
438,225
439,298
440,239
441,396
442,382
443,322
444,240
445,262
446,306
447,NA
448,316
