,x
1,553
2,684
3,1226
4,1233
5,1011
6,998
7,1298
8,1007
9,1525
10,812
11,1349
12,1214
13,1137
14,1142
15,1283
16,1411
17,1540
18,1222
19,979
20,982
21,1165
22,1158
23,1061
24,NA
25,1775
26,901
27,1092
28,1393
29,1312
30,1679
31,1398
32,1622
33,1474
34,1237
35,1320
36,842
37,1841
38,1368
39,1368
40,NA
41,1189
42,1453
43,1361
44,1171
45,1292
46,987
47,653
48,1244
49,1200
50,1081
51,1425
52,NA
53,609
54,298
55,NA
56,1140
57,1595
58,1403
59,NA
60,1029
61,1831
62,1338
63,1060
64,496
65,1122
66,1183
67,1184
68,937
69,535
70,1366
71,1194
72,1772
73,1565
74,894
75,570
76,1244
77,1182
78,1596
79,1017
80,1270
81,1435
82,1851
83,845
84,1512
85,1144
86,1218
87,1306
88,1163
89,1008
90,1621
91,1059
92,747
93,957
94,1165
95,1610
96,1539
97,NA
98,1274
99,1051
100,1154
101,1746
102,1397
103,120
104,832
105,831
106,916
107,892
108,1326
109,1166
110,1010
111,1143
112,323
113,621
114,535
115,1429
116,1660
117,300
118,1093
119,1293
120,1412
121,1320
122,1530
123,1554
124,1311
125,NA
126,1178
127,1771
128,1211
129,1639
130,1172
131,974
132,1276
133,NA
134,1689
135,1511
136,1594
137,1230
138,1482
139,NA
140,1052
141,1485
142,1788
143,1316
144,1548
145,1196
146,1778
147,1599
148,2007
149,1869
150,1482
151,1756
152,820
153,1662
154,1738
155,NA
156,NA
157,NA
158,866
159,1377
160,1409
161,1055
162,1644
163,1355
164,1242
165,1603
166,1733
167,1261
168,1416
169,671
170,1353
171,1272
172,1320
173,1451
174,981
175,1080
176,1219
177,1148
178,1167
179,1310
180,1155
181,577
182,1194
183,1288
184,1358
185,1325
186,1497
187,1262
188,1222
189,1284
190,1239
191,1531
192,1279
193,1213
194,1478
195,1195
196,1668
197,1235
198,894
199,588
200,1584
201,1421
202,1310
203,NA
204,959
205,NA
206,1808
207,1068
208,702
209,841
210,228
211,74
212,961
213,1109
214,564
215,894
216,1172
217,1391
218,1556
219,1400
220,1234
221,1260
222,1493
223,1313
224,1689
225,1645
226,1194
227,1399
228,1258
229,1404
230,1251
231,1174
232,1444
233,2027
234,1497
235,712
236,645
237,1644
238,1560
239,1698
240,1483
241,1445
242,1637
243,2012
244,1429
245,1158
246,1814
247,1739
248,1507
249,1969
250,1332
251,1519
252,1857
253,1915
254,1340
255,1982
256,784
257,1397
258,1060
259,1273
260,815
261,810
262,1426
263,846
264,878
265,1421
266,1518
267,1319
268,1534
269,1533
270,3140
271,3103
272,2335
273,2502
274,2024
275,2008
276,1376
277,1645
278,1625
279,1877
280,1257
281,1282
282,929
283,973
284,1336
285,1309
286,1446
287,724
288,590
289,1388
290,573
291,423
292,331
293,313
294,448
295,650
296,969
297,239
298,987
299,1030
300,778
301,979
302,350
303,515
304,1510
305,448
306,214
307,270
308,131
309,935
310,918
311,887
312,NA
313,406
314,283
315,624
316,511
317,699
318,736
319,805
320,582
321,NA
322,550
323,748
324,673
325,592
326,435
327,NA
328,NA
329,NA
330,704
331,452
332,243
333,308
334,563
335,1315
336,661
337,NA
338,749
339,640
340,582
341,829
342,1277
343,NA
344,616
345,687
346,730
347,913
348,714
349,590
350,643
351,NA
352,887
353,873
354,691
355,925
356,956
357,858
358,877
359,1362
360,418
361,798
362,NA
363,NA
364,437
365,592
366,52
367,240
368,1428
369,1069
370,1430
371,NA
372,1002
373,1048
374,1219
375,1129
376,918
377,1040
378,904
379,870
380,744
381,1027
382,885
383,892
384,1112
385,1078
386,1020
387,903
388,776
389,462
390,1207
391,1290
392,1800
393,1083
394,1309
395,1311
396,1402
397,1138
398,1186
399,1072
400,932
401,459
402,860
403,1044
404,NA
405,1233
406,NA
407,1214
408,1591
409,1220
410,1417
411,1166
412,1258
413,629
414,1322
415,1172
416,1305
417,752
418,435
419,1315
420,1228
421,855
422,1047
423,1221
424,1004
425,NA
426,1355
427,1339
428,1200
429,1460
430,1674
431,1665
432,1301
433,1348
434,NA
435,1359
436,1267
437,1093
438,1113
439,1131
440,1367
441,1355
442,1407
443,1354
444,1017
445,1495
446,1574
447,NA
448,1577
