,x
1,NA
2,35
3,63
4,124
5,NA
6,143
7,NA
8,NA
9,NA
10,NA
11,NA
12,125
13,NA
14,132
15,NA
16,204
17,NA
18,NA
19,NA
20,NA
21,NA
22,64
23,NA
24,68
25,NA
26,NA
27,NA
28,NA
29,42
30,NA
31,NA
32,143
33,NA
34,58
35,NA
36,53
37,62
38,NA
39,NA
40,62
41,NA
42,84
43,64
44,116
45,49
46,100
47,NA
48,NA
49,NA
50,NA
51,NA
52,207
53,NA
54,299
55,NA
56,155
57,45
58,88
59,98
60,75
61,24
62,NA
63,NA
64,78
65,NA
66,NA
67,NA
68,49
69,NA
70,59
71,64
72,NA
73,112
74,95
75,NA
76,251
77,NA
78,NA
79,71
80,NA
81,75
82,NA
83,145
84,NA
85,339
86,NA
87,313
88,191
89,239
90,202
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,168
98,101
99,28
100,NA
101,199
102,124
103,291
104,NA
105,91
106,NA
107,NA
108,NA
109,NA
110,NA
111,259
112,NA
113,NA
114,NA
115,340
116,68
117,49
118,53
119,48
120,35
121,21
122,19
123,11
124,15
125,56
126,39
127,3
128,61
129,51
130,NA
131,37
132,99
133,60
134,17
135,1
136,60
137,30
138,109
139,NA
140,NA
141,33
142,144
143,154
144,NA
145,40
146,58
147,68
148,62
149,NA
150,356
151,588
152,248
153,372
154,NA
155,NA
156,200
157,NA
158,279
159,NA
160,133
161,86
162,NA
163,NA
164,NA
165,NA
166,186
167,95
168,NA
169,409
170,NA
171,NA
172,330
173,488
174,NA
175,986
176,NA
177,147
178,250
179,NA
180,367
181,336
182,NA
183,NA
184,56
185,9
186,NA
187,425
188,360
189,NA
190,378
191,NA
192,NA
193,189
194,356
195,NA
196,NA
197,NA
198,NA
199,521
200,NA
201,25
202,NA
203,NA
204,NA
205,287
206,NA
207,332
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,145
217,NA
218,255
219,368
220,141
221,318
222,178
223,277
224,NA
225,285
226,NA
227,NA
228,247
229,NA
230,NA
231,288
232,NA
233,355
234,314
235,318
236,356
237,216
238,NA
239,297
240,NA
241,NA
242,110
243,94
244,NA
245,9
246,NA
247,NA
248,251
249,193
250,170
251,211
252,NA
253,207
254,115
255,NA
256,174
257,185
258,236
259,75
260,115
261,148
262,185
263,NA
264,NA
265,184
266,555
267,NA
268,478
269,NA
270,375
271,641
272,NA
273,NA
274,322
275,NA
276,565
277,711
278,NA
279,507
280,469
281,413
282,392
283,287
284,244
285,382
286,247
287,269
288,168
289,210
290,NA
291,360
292,383
293,NA
294,226
295,591
296,NA
297,296
298,255
299,NA
300,569
301,NA
302,NA
303,359
304,368
305,NA
306,454
307,699
308,NA
309,418
310,430
311,NA
312,352
313,322
314,NA
315,394
316,405
317,NA
318,469
319,440
320,NA
321,394
322,555
323,NA
324,NA
325,376
326,419
327,NA
328,352
329,NA
330,351
331,366
332,NA
333,399
334,418
335,NA
336,311
337,NA
338,NA
339,435
340,217
341,NA
342,NA
343,NA
344,NA
345,513
346,416
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,497
355,390
356,426
357,356
358,428
359,406
360,276
361,358
362,289
363,541
364,419
365,333
366,346
367,407
368,337
369,318
370,344
371,408
372,363
373,381
374,405
375,303
376,565
377,323
378,363
379,394
380,346
381,355
382,419
383,439
384,482
385,570
386,416
387,268
388,363
389,288
390,360
391,209
392,315
393,335
394,350
395,504
396,372
397,384
398,408
399,450
400,390
401,NA
402,424
403,521
404,460
405,454
406,NA
407,332
408,164
409,321
410,344
411,319
412,188
413,256
414,282
415,311
416,297
417,245
418,288
419,276
420,337
421,395
422,514
423,387
424,349
425,199
426,252
427,393
428,249
429,409
430,213
431,293
432,NA
433,347
434,269
435,397
436,223
437,569
438,NA
439,110
440,302
441,476
442,421
443,420
444,255
445,319
446,434
447,129
448,217
