,x
1,NA
2,10
3,4
4,9
5,NA
6,NA
7,NA
8,108
9,109
10,NA
11,NA
12,NA
13,NA
14,64
15,NA
16,270
17,NA
18,327
19,273
20,NA
21,87
22,176
23,263
24,NA
25,NA
26,NA
27,231
28,448
29,NA
30,46
31,79
32,124
33,NA
34,NA
35,NA
36,29
37,200
38,254
39,106
40,400
41,NA
42,428
43,NA
44,244
45,171
46,31
47,54
48,126
49,347
50,613
51,183
52,NA
53,6
54,NA
55,NA
56,NA
57,NA
58,197
59,NA
60,299
61,NA
62,198
63,NA
64,231
65,171
66,207
67,125
68,44
69,157
70,62
71,266
72,300
73,NA
74,374
75,361
76,NA
77,168
78,96
79,206
80,275
81,NA
82,244
83,214
84,308
85,337
86,NA
87,261
88,75
89,NA
90,325
91,NA
92,28
93,368
94,164
95,160
96,NA
97,280
98,201
99,260
100,226
101,NA
102,NA
103,NA
104,NA
105,NA
106,27
107,83
108,55
109,59
110,161
111,NA
112,249
113,301
114,NA
115,65
116,212
117,172
118,309
119,262
120,217
121,NA
122,334
123,118
124,277
125,216
126,170
127,195
128,192
129,NA
130,303
131,232
132,270
133,180
134,NA
135,159
136,274
137,227
138,269
139,NA
140,255
141,140
142,NA
143,469
144,194
145,340
146,179
147,326
148,417
149,NA
150,141
151,133
152,154
153,97
154,156
155,340
156,221
157,NA
158,NA
159,NA
160,NA
161,188
162,400
163,290
164,NA
165,351
166,293
167,253
168,215
169,195
170,223
171,90
172,297
173,272
174,332
175,275
176,231
177,176
178,181
179,274
180,281
181,NA
182,279
183,206
184,170
185,271
186,222
187,203
188,133
189,249
190,208
191,NA
192,221
193,169
194,224
195,304
196,240
197,264
198,188
199,214
200,226
201,212
202,226
203,250
204,145
205,116
206,253
207,354
208,161
209,187
210,2
211,35
212,42
213,NA
214,NA
215,NA
216,NA
217,150
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,317
228,112
229,238
230,148
231,138
232,350
233,NA
234,NA
235,NA
236,NA
237,NA
238,271
239,NA
240,NA
241,NA
242,225
243,NA
244,276
245,NA
246,NA
247,318
248,NA
249,NA
250,NA
251,320
252,403
253,313
254,161
255,NA
256,145
257,122
258,193
259,NA
260,NA
261,210
262,NA
263,NA
264,NA
265,NA
266,19
267,NA
268,10
269,31
270,168
271,474
272,369
273,413
274,NA
275,185
276,NA
277,NA
278,274
279,NA
280,191
281,NA
282,NA
283,NA
284,275
285,NA
286,NA
287,152
288,159
289,NA
290,248
291,NA
292,241
293,NA
294,251
295,NA
296,213
297,208
298,172
299,NA
300,NA
301,NA
302,238
303,445
304,219
305,NA
306,NA
307,169
308,177
309,310
310,255
311,NA
312,112
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,63
325,36
326,16
327,41
328,55
329,23
330,54
331,45
332,23
333,51
334,NA
335,11
336,67
337,NA
338,NA
339,120
340,48
341,133
342,141
343,33
344,NA
345,22
346,NA
347,82
348,52
349,NA
350,36
351,NA
352,119
353,NA
354,NA
355,NA
356,NA
357,53
358,NA
359,NA
360,24
361,NA
362,89
363,NA
364,NA
365,9
366,NA
367,NA
368,93
369,30
370,238
371,NA
372,68
373,NA
374,11
375,291
376,230
377,NA
378,145
379,171
380,NA
381,NA
382,85
383,NA
384,140
385,NA
386,NA
387,138
388,212
389,199
390,NA
391,NA
392,NA
393,70
394,NA
395,NA
396,NA
397,NA
398,NA
399,11
400,NA
401,67
402,119
403,99
404,104
405,124
406,68
407,150
408,77
409,107
410,45
411,72
412,88
413,112
414,108
415,NA
416,25
417,NA
418,8
419,NA
420,NA
421,NA
422,111
423,NA
424,76
425,NA
426,122
427,NA
428,3
429,116
430,190
431,140
432,NA
433,30
434,NA
435,171
436,98
437,101
438,92
439,165
440,82
441,97
442,231
443,87
444,NA
445,45
446,NA
447,53
448,NA
