,x
1,78
2,72
3,41
4,74
5,80
6,76
7,61
8,67
9,80
10,90
11,67
12,78
13,84
14,60
15,49
16,58
17,64
18,68
19,63
20,55
21,77
22,50
23,76
24,85
25,58
26,67
27,56
28,59
29,71
30,70
31,88
32,70
33,57
34,81
35,62
36,41
37,92
38,64
39,62
40,63
41,82
42,84
43,89
44,83
45,37
46,64
47,59
48,89
49,107
50,62
51,81
52,64
53,38
54,68
55,100
56,69
57,87
58,72
59,70
60,73
61,74
62,27
63,111
64,69
65,66
66,41
67,73
68,50
69,47
70,94
71,58
72,43
73,24
74,31
75,115
76,54
77,76
78,NA
79,65
80,122
81,61
82,69
83,49
84,140
85,47
86,57
87,64
88,37
89,54
90,45
91,85
92,46
93,30
94,64
95,63
96,122
97,85
98,66
99,76
100,109
101,27
102,110
103,73
104,34
105,36
106,50
107,93
108,69
109,57
110,71
111,83
112,88
113,107
114,56
115,60
116,68
117,65
118,39
119,70
120,144
121,74
122,70
123,44
124,71
125,42
126,55
127,38
128,94
129,150
130,61
131,58
132,49
133,102
134,75
135,65
136,40
137,107
138,73
139,60
140,40
141,35
142,50
143,115
144,48
145,51
146,113
147,125
148,99
149,58
150,57
151,88
152,70
153,88
154,106
155,48
156,61
157,NA
158,48
159,141
160,103
161,98
162,127
163,151
164,NA
165,47
166,63
167,73
168,163
169,130
170,61
171,46
172,61
173,180
174,77
175,94
176,64
177,96
178,104
179,83
180,52
181,107
182,84
183,109
184,78
185,99
186,85
187,68
188,74
189,91
190,53
191,136
192,91
193,93
194,86
195,106
196,82
197,64
198,145
199,71
200,105
201,97
202,68
203,94
204,72
205,89
206,93
207,72
208,67
209,122
210,65
211,91
212,88
213,87
214,71
215,49
216,57
217,117
218,97
219,87
220,105
221,85
222,36
223,123
224,100
225,91
226,62
227,84
228,94
229,68
230,75
231,94
232,37
233,156
234,35
235,115
236,50
237,68
238,84
239,79
240,98
241,54
242,73
243,72
244,83
245,76
246,220
247,83
248,85
249,107
250,86
251,68
252,126
253,69
254,70
255,73
256,102
257,99
258,86
259,91
260,122
261,71
262,83
263,50
264,64
265,65
266,89
267,105
268,60
269,89
270,128
271,117
272,70
273,88
274,110
275,115
276,125
277,63
278,69
279,60
280,122
281,63
282,62
283,74
284,85
285,108
286,46
287,90
288,51
289,69
290,87
291,45
292,103
293,81
294,59
295,74
296,85
297,95
298,92
299,64
300,91
301,83
302,92
303,106
304,113
305,116
306,44
307,134
308,32
309,108
310,60
311,148
312,94
313,182
314,28
315,68
316,81
317,68
318,99
319,92
320,67
321,82
322,94
323,43
324,79
325,80
326,63
327,80
328,65
329,55
330,48
331,98
332,56
333,120
334,83
335,37
336,97
337,NA
338,63
339,94
340,58
341,93
342,34
343,58
344,42
345,95
346,57
347,66
348,55
349,28
350,81
351,131
352,92
353,87
354,63
355,66
356,143
357,79
358,100
359,133
360,138
361,83
362,116
363,147
364,131
365,322
366,137
367,132
368,150
369,189
370,137
371,91
372,119
373,31
374,142
375,84
376,103
377,91
378,83
379,88
380,108
381,69
382,69
383,96
384,68
385,85
386,103
387,96
388,116
389,85
390,92
391,49
392,50
393,89
394,47
395,84
396,80
397,176
398,80
399,63
400,60
401,200
402,124
403,66
404,91
405,116
406,98
407,79
408,62
409,126
410,89
411,89
412,85
413,82
414,89
415,110
416,145
417,220
418,24
419,56
420,42
421,38
422,65
423,54
424,85
425,48
426,139
427,141
428,135
429,59
430,94
431,73
432,50
433,53
434,109
435,135
436,60
437,71
438,51
439,42
440,44
441,67
442,141
443,76
444,38
445,138
446,117
447,89
448,134
