,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,39
12,25
13,32
14,35
15,30
16,18
17,40
18,NA
19,23
20,22
21,52
22,25
23,41
24,55
25,38
26,18
27,NA
28,20
29,52
30,19
31,31
32,NA
33,NA
34,22
35,18
36,9
37,32
38,NA
39,20
40,23
41,60
42,134
43,91
44,63
45,52
46,NA
47,38
48,58
49,42
50,65
51,NA
52,NA
53,NA
54,72
55,NA
56,155
57,NA
58,NA
59,NA
60,85
61,NA
62,NA
63,NA
64,93
65,NA
66,92
67,NA
68,72
69,113
70,96
71,97
72,94
73,97
74,85
75,83
76,94
77,NA
78,82
79,NA
80,NA
81,NA
82,106
83,146
84,102
85,139
86,99
87,NA
88,82
89,NA
90,95
91,107
92,NA
93,NA
94,77
95,NA
96,NA
97,81
98,NA
99,69
100,95
101,NA
102,117
103,NA
104,NA
105,NA
106,137
107,NA
108,55
109,103
110,NA
111,105
112,NA
113,NA
114,NA
115,NA
116,NA
117,107
118,92
119,115
120,NA
121,NA
122,156
123,149
124,NA
125,NA
126,NA
127,NA
128,89
129,68
130,NA
131,NA
132,NA
133,126
134,NA
135,NA
136,117
137,21
138,6
139,NA
140,151
141,87
142,58
143,120
144,NA
145,144
146,21
147,173
148,NA
149,NA
150,108
151,NA
152,56
153,108
154,NA
155,48
156,NA
157,NA
158,99
159,NA
160,NA
161,NA
162,170
163,NA
164,74
165,NA
166,NA
167,NA
168,NA
169,104
170,NA
171,NA
172,NA
173,119
174,NA
175,143
176,NA
177,NA
178,93
179,99
180,141
181,NA
182,155
183,116
184,NA
185,150
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,126
193,138
194,NA
195,NA
196,NA
197,120
198,NA
199,69
200,NA
201,NA
202,NA
203,137
204,NA
205,NA
206,65
207,NA
208,NA
209,43
210,NA
211,63
212,NA
213,176
214,90
215,41
216,52
217,NA
218,NA
219,NA
220,156
221,93
222,120
223,NA
224,88
225,62
226,NA
227,NA
228,NA
229,NA
230,148
231,56
232,104
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,81
241,86
242,105
243,NA
244,NA
245,94
246,NA
247,75
248,NA
249,NA
250,95
251,NA
252,NA
253,NA
254,NA
255,60
256,NA
257,NA
258,NA
259,NA
260,NA
261,49
262,76
263,NA
264,NA
265,46
266,NA
267,NA
268,NA
269,26
270,NA
271,35
272,131
273,NA
274,81
275,96
276,66
277,94
278,92
279,92
280,63
281,105
282,NA
283,NA
284,NA
285,NA
286,NA
287,67
288,NA
289,NA
290,91
291,NA
292,NA
293,NA
294,NA
295,NA
296,139
297,51
298,165
299,NA
300,NA
301,111
302,63
303,155
304,107
305,94
306,NA
307,74
308,NA
309,124
310,134
311,4
312,175
313,4
314,130
315,124
316,18
317,190
318,NA
319,92
320,138
321,134
322,136
323,NA
324,NA
325,129
326,110
327,91
328,124
329,129
330,NA
331,159
332,160
333,NA
334,NA
335,142
336,84
337,106
338,160
339,111
340,NA
341,95
342,26
343,201
344,151
345,138
346,139
347,141
348,151
349,86
350,NA
351,NA
352,171
353,61
354,94
355,92
356,139
357,NA
358,NA
359,NA
360,94
361,NA
362,NA
363,60
364,NA
365,NA
366,97
367,NA
368,NA
369,NA
370,NA
371,NA
372,NA
373,NA
374,NA
375,NA
376,NA
377,NA
378,NA
379,98
380,70
381,NA
382,50
383,NA
384,71
385,88
386,89
387,103
388,NA
389,128
390,NA
391,79
392,51
393,NA
394,61
395,105
396,69
397,58
398,73
399,74
400,NA
401,NA
402,NA
403,171
404,152
405,NA
406,NA
407,58
408,73
409,41
410,115
411,NA
412,83
413,89
414,71
415,90
416,NA
417,NA
418,NA
419,NA
420,NA
421,NA
422,NA
423,NA
424,NA
425,NA
426,NA
427,NA
428,NA
429,NA
430,NA
431,NA
432,NA
433,NA
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,NA
448,NA
