,x
1,415
2,437
3,473
4,609
5,815
6,695
7,808
8,724
9,759
10,664
11,793
12,653
13,674
14,579
15,608
16,671
17,696
18,745
19,577
20,726
21,789
22,503
23,792
24,763
25,729
26,666
27,580
28,716
29,649
30,738
31,754
32,910
33,784
34,779
35,749
36,520
37,780
38,877
39,845
40,840
41,768
42,887
43,826
44,672
45,643
46,878
47,423
48,789
49,750
50,837
51,876
52,639
53,521
54,581
55,741
56,967
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,842
76,1024
77,1187
78,1029
79,1001
80,1413
81,1496
82,1355
83,1146
84,1770
85,1236
86,1438
87,1359
88,1011
89,1352
90,1360
91,1189
92,1318
93,1139
94,1348
95,1414
96,1261
97,1285
98,NA
99,670
100,1263
101,1414
102,1426
103,864
104,513
105,664
106,1064
107,1166
108,821
109,916
110,1102
111,1221
112,1112
113,1293
114,1092
115,1060
116,918
117,1005
118,1046
119,1046
120,1021
121,945
122,1023
123,1298
124,1176
125,1091
126,910
127,1113
128,1026
129,1075
130,817
131,966
132,1187
133,1148
134,970
135,1008
136,1271
137,1213
138,862
139,1294
140,891
141,1167
142,1198
143,1043
144,1071
145,1240
146,1181
147,1204
148,1209
149,1161
150,880
151,1196
152,593
153,1172
154,1237
155,1237
156,523
157,NA
158,1135
159,1061
160,906
161,NA
162,NA
163,NA
164,1264
165,1309
166,1247
167,1229
168,1111
169,1173
170,1165
171,1187
172,563
173,520
174,NA
175,564
176,486
177,524
178,424
179,606
180,523
181,NA
182,NA
183,427
184,586
185,559
186,605
187,723
188,556
189,622
190,612
191,689
192,580
193,473
194,569
195,588
196,623
197,542
198,553
199,527
200,664
201,604
202,462
203,592
204,265
205,710
206,585
207,547
208,375
209,403
210,557
211,554
212,434
213,561
214,625
215,650
216,571
217,548
218,598
219,605
220,565
221,578
222,586
223,531
224,541
225,587
226,572
227,566
228,715
229,630
230,658
231,453
232,664
233,666
234,719
235,557
236,484
237,587
238,758
239,698
240,657
241,692
242,650
243,634
244,704
245,709
246,683
247,600
248,686
249,705
250,653
251,660
252,577
253,560
254,428
255,576
256,270
257,700
258,614
259,707
260,433
261,346
262,633
263,620
264,631
265,662
266,804
267,704
268,668
269,624
270,643
271,573
272,631
273,691
274,678
275,643
276,612
277,624
278,648
279,730
280,758
281,737
282,668
283,510
284,737
285,685
286,772
287,700
288,498
289,657
290,732
291,675
292,682
293,714
294,654
295,684
296,815
297,663
298,948
299,901
300,1006
301,864
302,827
303,900
304,897
305,717
306,691
307,928
308,341
309,990
310,795
311,847
312,770
313,718
314,618
315,793
316,907
317,1071
318,899
319,1038
320,895
321,789
322,811
323,874
324,800
325,866
326,974
327,939
328,981
329,959
330,1002
331,717
332,993
333,933
334,838
335,687
336,783
337,847
338,989
339,936
340,540
341,859
342,940
343,939
344,950
345,933
346,958
347,1058
348,970
349,795
350,965
351,1163
352,880
353,999
354,1075
355,832
356,1032
357,826
358,894
359,708
360,503
361,884
362,803
363,895
364,829
365,385
366,664
367,965
368,939
369,952
370,1026
371,843
372,816
373,956
374,895
375,935
376,856
377,909
378,888
379,909
380,959
381,966
382,967
383,825
384,899
385,921
386,728
387,677
388,940
389,833
390,835
391,896
392,516
393,903
394,1002
395,NA
396,NA
397,NA
398,NA
399,NA
400,923
401,942
402,695
403,948
404,954
405,937
406,911
407,994
408,951
409,850
410,NA
411,755
412,NA
413,375
414,984
415,1022
416,867
417,581
418,726
419,880
420,946
421,857
422,994
423,994
424,936
425,826
426,979
427,1012
428,915
429,913
430,1074
431,963
432,NA
433,939
434,972
435,1004
436,1050
437,858
438,1000
439,802
440,910
441,1061
442,1186
443,1077
444,776
445,1077
446,1083
447,1079
448,1186
