,x
1,NA
2,NA
3,NA
4,113
5,NA
6,NA
7,4
8,NA
9,12
10,43
11,21
12,8
13,14
14,21
15,5
16,40
17,1
18,NA
19,18
20,59
21,25
22,18
23,26
24,43
25,9
26,NA
27,15
28,26
29,NA
30,3
31,2
32,13
33,3
34,18
35,18
36,27
37,17
38,19
39,19
40,1
41,1
42,22
43,41
44,3
45,8
46,12
47,21
48,15
49,12
50,13
51,NA
52,5
53,9
54,1
55,333
56,270
57,29
58,289
59,322
60,NA
61,3
62,NA
63,NA
64,NA
65,1
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,2
76,NA
77,NA
78,1
79,NA
80,10
81,NA
82,6
83,4
84,9
85,NA
86,5
87,NA
88,13
89,4
90,2
91,NA
92,4
93,1
94,10
95,2
96,9
97,4
98,1
99,1
100,8
101,NA
102,14
103,NA
104,1
105,7
106,17
107,4
108,1
109,1
110,8
111,7
112,9
113,3
114,NA
115,1
116,9
117,13
118,5
119,6
120,2
121,8
122,1
123,4
124,NA
125,2
126,NA
127,8
128,8
129,5
130,7
131,4
132,1
133,2
134,3
135,NA
136,1
137,1
138,NA
139,3
140,3
141,3
142,3
143,5
144,7
145,6
146,12
147,10
148,13
149,1
150,3
151,8
152,NA
153,1
154,3
155,NA
156,NA
157,NA
158,4
159,10
160,4
161,7
162,7
163,9
164,6
165,1
166,5
167,2
168,NA
169,3
170,2
171,1
172,1
173,NA
174,2
175,1
176,4
177,4
178,45
179,6
180,3
181,2
182,1
183,NA
184,1
185,3
186,2
187,NA
188,2
189,7
190,6
191,3
192,4
193,3
194,9
195,NA
196,1
197,3
198,NA
199,2
200,3
201,14
202,NA
203,1
204,NA
205,NA
206,1
207,4
208,4
209,3
210,NA
211,2
212,1
213,5
214,13
215,NA
216,NA
217,NA
218,2
219,13
220,2
221,NA
222,2
223,47
224,12
225,7
226,NA
227,6
228,1
229,9
230,2
231,16
232,NA
233,NA
234,2
235,5
236,1
237,NA
238,3
239,NA
240,1
241,NA
242,NA
243,NA
244,317
245,376
246,NA
247,NA
248,NA
249,NA
250,272
251,346
252,231
253,NA
254,246
255,246
256,192
257,221
258,324
259,418
260,171
261,281
262,NA
263,NA
264,NA
265,482
266,614
267,472
268,597
269,456
270,83
271,280
272,NA
273,770
274,561
275,429
276,463
277,NA
278,553
279,NA
280,432
281,678
282,390
283,402
284,705
285,317
286,905
287,946
288,710
289,611
290,881
291,889
292,899
293,726
294,698
295,727
296,312
297,500
298,675
299,531
300,793
301,688
302,485
303,391
304,441
305,184
306,400
307,803
308,410
309,845
310,671
311,893
312,714
313,NA
314,543
315,659
316,709
317,645
318,653
319,742
320,825
321,875
322,742
323,690
324,821
325,781
326,862
327,753
328,850
329,755
330,508
331,674
332,740
333,669
334,955
335,589
336,484
337,598
338,NA
339,732
340,343
341,703
342,549
343,1003
344,686
345,890
346,842
347,876
348,647
349,693
350,649
351,706
352,795
353,616
354,523
355,467
356,717
357,518
358,468
359,826
360,400
361,762
362,749
363,730
364,782
365,349
366,380
367,687
368,922
369,776
370,301
371,809
372,660
373,748
374,706
375,720
376,760
377,745
378,663
379,957
380,893
381,760
382,707
383,765
384,700
385,810
386,787
387,604
388,707
389,669
390,619
391,854
392,643
393,815
394,894
395,839
396,923
397,940
398,977
399,959
400,1038
401,759
402,844
403,861
404,1140
405,982
406,915
407,834
408,873
409,1051
410,919
411,743
412,887
413,821
414,516
415,850
416,943
417,494
418,342
419,970
420,1010
421,397
422,348
423,999
424,741
425,246
426,1485
427,1116
428,764
429,1141
430,915
431,961
432,974
433,998
434,997
435,980
436,971
437,991
438,936
439,735
440,895
441,1056
442,408
443,165
444,125
445,469
446,1269
447,1066
448,NA
