,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,52
19,NA
20,24
21,136
22,NA
23,NA
24,2
25,110
26,NA
27,NA
28,6
29,29
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,6
39,3
40,191
41,NA
42,97
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,26
61,NA
62,NA
63,NA
64,NA
65,133
66,23
67,128
68,43
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,6
81,2
82,3
83,120
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,44
92,NA
93,67
94,NA
95,NA
96,NA
97,NA
98,51
99,11
100,125
101,91
102,3
103,NA
104,NA
105,69
106,NA
107,82
108,NA
109,227
110,NA
111,NA
112,74
113,148
114,NA
115,55
116,30
117,182
118,NA
119,77
120,NA
121,NA
122,130
123,15
124,NA
125,129
126,NA
127,NA
128,17
129,NA
130,NA
131,111
132,66
133,NA
134,134
135,41
136,16
137,NA
138,3
139,NA
140,NA
141,68
142,85
143,76
144,20
145,NA
146,NA
147,20
148,313
149,3
150,91
151,243
152,4
153,88
154,29
155,NA
156,NA
157,NA
158,NA
159,NA
160,28
161,NA
162,NA
163,NA
164,NA
165,17
166,81
167,61
168,100
169,NA
170,NA
171,85
172,147
173,NA
174,71
175,76
176,33
177,29
178,177
179,16
180,1
181,184
182,NA
183,NA
184,NA
185,NA
186,6
187,41
188,NA
189,NA
190,175
191,71
192,NA
193,64
194,NA
195,55
196,132
197,NA
198,NA
199,71
200,155
201,89
202,NA
203,7
204,76
205,NA
206,87
207,NA
208,NA
209,NA
210,33
211,NA
212,11
213,55
214,NA
215,NA
216,NA
217,36
218,NA
219,NA
220,NA
221,14
222,75
223,NA
224,NA
225,67
226,28
227,NA
228,18
229,108
230,NA
231,NA
232,37
233,99
234,192
235,NA
236,53
237,NA
238,109
239,1
240,NA
241,44
242,41
243,NA
244,NA
245,4
246,NA
247,151
248,81
249,31
250,NA
251,109
252,68
253,49
254,NA
255,NA
256,NA
257,82
258,146
259,135
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,103
267,NA
268,44
269,NA
270,35
271,69
272,32
273,85
274,102
275,54
276,6
277,NA
278,1
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,1
292,NA
293,NA
294,NA
295,28
296,NA
297,NA
298,40
299,NA
300,NA
301,45
302,NA
303,81
304,10
305,NA
306,NA
307,116
308,16
309,NA
310,NA
311,5
312,NA
313,NA
314,NA
315,NA
316,NA
317,2
318,70
319,104
320,NA
321,107
322,103
323,NA
324,NA
325,74
326,112
327,85
328,87
329,NA
330,105
331,NA
332,NA
333,NA
334,74
335,NA
336,64
337,NA
338,17
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,59
347,25
348,NA
349,28
350,33
351,1
352,NA
353,NA
354,NA
355,3
356,3
357,1
358,1
359,NA
360,NA
361,NA
362,41
363,3
364,NA
365,NA
366,85
367,30
368,19
369,129
370,101
371,142
372,NA
373,NA
374,109
375,NA
376,196
377,95
378,106
379,NA
380,88
381,90
382,NA
383,NA
384,NA
385,NA
386,NA
387,NA
388,NA
389,28
390,NA
391,25
392,41
393,50
394,79
395,73
396,86
397,81
398,75
399,102
400,94
401,58
402,88
403,100
404,76
405,79
406,108
407,49
408,85
409,119
410,86
411,96
412,92
413,82
414,70
415,91
416,109
417,83
418,49
419,82
420,91
421,83
422,102
423,36
424,NA
425,NA
426,NA
427,NA
428,NA
429,33
430,NA
431,NA
432,NA
433,80
434,86
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,NA
448,NA
