,x
1,371
2,568
3,630
4,NA
5,855
6,626
7,NA
8,154
9,786
10,701
11,596
12,501
13,422
14,610
15,559
16,455
17,976
18,NA
19,NA
20,521
21,NA
22,308
23,NA
24,562
25,443
26,NA
27,662
28,NA
29,599
30,991
31,488
32,689
33,548
34,559
35,432
36,546
37,541
38,488
39,628
40,647
41,591
42,577
43,552
44,679
45,348
46,NA
47,322
48,NA
49,NA
50,472
51,NA
52,436
53,NA
54,822
55,550
56,709
57,402
58,NA
59,NA
60,692
61,430
62,596
63,690
64,365
65,662
66,575
67,401
68,560
69,632
70,618
71,468
72,481
73,655
74,NA
75,422
76,NA
77,635
78,NA
79,533
80,NA
81,535
82,430
83,692
84,499
85,488
86,728
87,466
88,NA
89,599
90,518
91,499
92,831
93,472
94,552
95,703
96,NA
97,NA
98,474
99,558
100,1280
101,513
102,559
103,1508
104,559
105,1
106,2
107,NA
108,9
109,NA
110,NA
111,4
112,NA
113,1
114,3
115,2
116,1
117,1
118,NA
119,3
120,NA
121,NA
122,12
123,10
124,14
125,2
126,4
127,1
128,NA
129,19
130,17
131,NA
132,10
133,8
134,7
135,9
136,6
137,2
138,NA
139,NA
140,NA
141,NA
142,14
143,NA
144,NA
145,NA
146,NA
147,2
148,NA
149,5
150,5
151,NA
152,NA
153,NA
154,NA
155,NA
156,9
157,NA
158,37
159,NA
160,85
161,54
162,135
163,NA
164,95
165,34
166,NA
167,NA
168,17
169,391
170,343
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,468
179,360
180,562
181,1
182,NA
183,NA
184,NA
185,NA
186,449
187,411
188,418
189,439
190,388
191,NA
192,446
193,NA
194,1
195,435
196,495
197,NA
198,NA
199,1
200,303
201,NA
202,NA
203,NA
204,NA
205,357
206,527
207,4
208,1
209,NA
210,2
211,NA
212,22
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,17
238,22
239,19
240,NA
241,27
242,15
243,15
244,18
245,11
246,10
247,28
248,NA
249,17
250,16
251,23
252,22
253,NA
254,18
255,NA
256,6
257,11
258,25
259,23
260,NA
261,NA
262,20
263,18
264,18
265,45
266,6
267,18
268,27
269,18
270,36
271,22
272,27
273,23
274,21
275,24
276,NA
277,14
278,15
279,NA
280,NA
281,NA
282,NA
283,NA
284,22
285,33
286,30
287,NA
288,5
289,15
290,19
291,20
292,NA
293,NA
294,27
295,34
296,19
297,18
298,23
299,29
300,NA
301,NA
302,16
303,24
304,22
305,21
306,16
307,24
308,8
309,29
310,NA
311,25
312,26
313,NA
314,19
315,23
316,25
317,32
318,34
319,36
320,27
321,17
322,28
323,29
324,NA
325,NA
326,34
327,24
328,NA
329,43
330,34
331,NA
332,NA
333,20
334,NA
335,NA
336,32
337,NA
338,NA
339,NA
340,16
341,21
342,44
343,37
344,19
345,31
346,44
347,31
348,26
349,20
350,27
351,41
352,35
353,25
354,40
355,34
356,25
357,31
358,39
359,40
360,8
361,41
362,39
363,37
364,46
365,8
366,21
367,35
368,40
369,31
370,NA
371,NA
372,NA
373,NA
374,31
375,21
376,39
377,64
378,39
379,40
380,33
381,22
382,40
383,36
384,39
385,35
386,35
387,17
388,31
389,61
390,34
391,NA
392,15
393,48
394,NA
395,25
396,47
397,33
398,33
399,NA
400,40
401,NA
402,43
403,44
404,27
405,27
406,27
407,34
408,NA
409,36
410,33
411,31
412,56
413,5
414,37
415,39
416,33
417,12
418,14
419,NA
420,NA
421,NA
422,33
423,29
424,25
425,19
426,39
427,32
428,36
429,39
430,38
431,48
432,50
433,18
434,34
435,46
436,44
437,25
438,57
439,36
440,34
441,44
442,47
443,46
444,23
445,NA
446,36
447,32
448,43
