,x
1,93
2,NA
3,255
4,379
5,351
6,375
7,342
8,391
9,356
10,341
11,321
12,269
13,319
14,177
15,299
16,373
17,NA
18,331
19,114
20,124
21,NA
22,147
23,203
24,196
25,NA
26,NA
27,NA
28,163
29,195
30,133
31,132
32,348
33,429
34,306
35,297
36,260
37,325
38,347
39,275
40,320
41,255
42,366
43,NA
44,274
45,288
46,356
47,NA
48,464
49,NA
50,NA
51,NA
52,NA
53,312
54,NA
55,NA
56,428
57,590
58,166
59,NA
60,NA
61,NA
62,NA
63,NA
64,361
65,NA
66,NA
67,370
68,NA
69,NA
70,NA
71,327
72,NA
73,NA
74,293
75,277
76,NA
77,283
78,NA
79,216
80,231
81,323
82,NA
83,448
84,391
85,373
86,336
87,354
88,300
89,407
90,407
91,314
92,366
93,227
94,257
95,259
96,NA
97,286
98,NA
99,154
100,207
101,387
102,209
103,NA
104,29
105,222
106,259
107,201
108,272
109,368
110,304
111,259
112,273
113,NA
114,NA
115,NA
116,282
117,278
118,337
119,201
120,382
121,225
122,NA
123,296
124,300
125,NA
126,NA
127,283
128,279
129,263
130,298
131,268
132,228
133,203
134,226
135,286
136,236
137,317
138,109
139,294
140,219
141,319
142,337
143,400
144,280
145,376
146,196
147,227
148,NA
149,246
150,267
151,273
152,235
153,430
154,337
155,NA
156,226
157,NA
158,313
159,211
160,235
161,281
162,309
163,330
164,241
165,327
166,315
167,371
168,130
169,395
170,540
171,369
172,NA
173,403
174,337
175,333
176,413
177,NA
178,NA
179,337
180,340
181,362
182,355
183,260
184,290
185,294
186,390
187,273
188,269
189,308
190,360
191,399
192,365
193,279
194,328
195,340
196,439
197,320
198,200
199,199
200,191
201,NA
202,160
203,NA
204,NA
205,194
206,315
207,NA
208,NA
209,190
210,140
211,205
212,275
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,76
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,60
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,253
281,151
282,142
283,139
284,232
285,258
286,222
287,282
288,221
289,206
290,238
291,270
292,218
293,214
294,231
295,309
296,192
297,136
298,189
299,236
300,210
301,181
302,209
303,185
304,160
305,282
306,166
307,NA
308,125
309,226
310,393
311,252
312,177
313,81
314,147
315,117
316,163
317,225
318,237
319,273
320,135
321,223
322,187
323,196
324,201
325,209
326,186
327,165
328,190
329,212
330,140
331,NA
332,119
333,224
334,153
335,188
336,231
337,NA
338,NA
339,NA
340,159
341,189
342,188
343,142
344,178
345,190
346,202
347,217
348,151
349,132
350,259
351,220
352,167
353,188
354,96
355,209
356,256
357,225
358,193
359,NA
360,69
361,251
362,182
363,255
364,204
365,77
366,129
367,225
368,175
369,159
370,240
371,270
372,212
373,186
374,307
375,181
376,204
377,232
378,219
379,225
380,190
381,208
382,216
383,185
384,194
385,149
386,77
387,186
388,222
389,190
390,229
391,NA
392,120
393,156
394,178
395,227
396,246
397,183
398,186
399,217
400,141
401,156
402,246
403,195
404,199
405,259
406,146
407,202
408,204
409,196
410,113
411,286
412,194
413,161
414,242
415,213
416,NA
417,NA
418,157
419,80
420,165
421,118
422,216
423,254
424,236
425,179
426,277
427,156
428,265
429,175
430,126
431,235
432,186
433,202
434,261
435,259
436,162
437,133
438,130
439,123
440,260
441,256
442,132
443,277
444,228
445,290
446,154
447,217
448,206
