,x
1,97
2,NA
3,88
4,NA
5,140
6,197
7,NA
8,167
9,NA
10,1
11,114
12,92
13,105
14,115
15,115
16,109
17,119
18,NA
19,144
20,98
21,NA
22,67
23,114
24,110
25,105
26,125
27,59
28,NA
29,NA
30,102
31,109
32,127
33,93
34,NA
35,143
36,51
37,140
38,NA
39,NA
40,NA
41,184
42,105
43,NA
44,152
45,NA
46,187
47,99
48,NA
49,95
50,107
51,NA
52,71
53,NA
54,NA
55,122
56,178
57,156
58,NA
59,170
60,89
61,81
62,124
63,221
64,125
65,122
66,NA
67,140
68,NA
69,110
70,113
71,122
72,NA
73,NA
74,119
75,NA
76,NA
77,74
78,116
79,95
80,207
81,NA
82,1
83,154
84,NA
85,145
86,106
87,160
88,131
89,NA
90,NA
91,183
92,NA
93,186
94,115
95,NA
96,120
97,169
98,140
99,83
100,91
101,NA
102,119
103,NA
104,94
105,41
106,186
107,172
108,132
109,NA
110,NA
111,NA
112,NA
113,164
114,NA
115,137
116,NA
117,123
118,120
119,136
120,NA
121,108
122,123
123,143
124,157
125,NA
126,NA
127,145
128,127
129,NA
130,222
131,NA
132,117
133,NA
134,136
135,134
136,NA
137,NA
138,126
139,NA
140,NA
141,174
142,173
143,NA
144,NA
145,NA
146,197
147,179
148,165
149,NA
150,NA
151,152
152,NA
153,189
154,128
155,180
156,57
157,NA
158,NA
159,184
160,NA
161,NA
162,183
163,NA
164,NA
165,125
166,153
167,NA
168,NA
169,NA
170,178
171,NA
172,135
173,NA
174,151
175,195
176,130
177,NA
178,NA
179,91
180,123
181,NA
182,125
183,137
184,131
185,NA
186,NA
187,93
188,207
189,NA
190,169
191,NA
192,129
193,187
194,NA
195,NA
196,180
197,NA
198,90
199,130
200,NA
201,151
202,NA
203,146
204,NA
205,NA
206,96
207,165
208,NA
209,142
210,NA
211,4
212,10
213,11
214,6
215,6
216,2
217,16
218,8
219,45
220,10
221,18
222,12
223,NA
224,23
225,8
226,17
227,19
228,15
229,11
230,6
231,2
232,26
233,47
234,10
235,15
236,3
237,20
238,5
239,24
240,10
241,8
242,6
243,16
244,8
245,4
246,7
247,5
248,7
249,8
250,9
251,8
252,13
253,12
254,NA
255,NA
256,3
257,15
258,11
259,8
260,14
261,8
262,15
263,10
264,13
265,18
266,3
267,18
268,24
269,NA
270,7
271,18
272,14
273,9
274,13
275,16
276,7
277,7
278,21
279,28
280,21
281,16
282,10
283,7
284,5
285,14
286,19
287,11
288,3
289,17
290,23
291,12
292,22
293,34
294,9
295,22
296,12
297,5
298,11
299,19
300,15
301,12
302,NA
303,13
304,26
305,6
306,2
307,14
308,15
309,9
310,12
311,28
312,20
313,11
314,10
315,7
316,9
317,12
318,6
319,1
320,NA
321,13
322,15
323,27
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,19
340,3
341,5
342,31
343,16
344,14
345,15
346,28
347,43
348,13
349,3
350,10
351,16
352,35
353,45
354,21
355,22
356,17
357,8
358,18
359,8
360,NA
361,8
362,9
363,24
364,8
365,4
366,10
367,13
368,12
369,6
370,10
371,4
372,7
373,18
374,7
375,8
376,10
377,21
378,12
379,16
380,13
381,19
382,8
383,8
384,15
385,22
386,15
387,2
388,9
389,5
390,9
391,14
392,2
393,28
394,45
395,12
396,NA
397,1
398,23
399,22
400,14
401,NA
402,18
403,18
404,27
405,12
406,36
407,26
408,14
409,34
410,15
411,15
412,20
413,4
414,27
415,16
416,29
417,1
418,5
419,22
420,6
421,36
422,23
423,67
424,21
425,22
426,21
427,15
428,50
429,19
430,9
431,15
432,NA
433,20
434,14
435,49
436,18
437,28
438,17
439,11
440,35
441,13
442,1
443,27
444,27
445,26
446,26
447,17
448,59
