,x
1,NA
2,NA
3,197
4,274
5,262
6,237
7,NA
8,167
9,171
10,NA
11,146
12,164
13,216
14,172
15,141
16,151
17,156
18,138
19,226
20,99
21,155
22,NA
23,179
24,170
25,157
26,NA
27,30
28,251
29,103
30,NA
31,195
32,192
33,253
34,NA
35,NA
36,157
37,NA
38,122
39,NA
40,NA
41,161
42,114
43,249
44,145
45,120
46,197
47,106
48,208
49,130
50,177
51,79
52,NA
53,25
54,71
55,295
56,284
57,118
58,1
59,123
60,170
61,192
62,174
63,163
64,NA
65,187
66,NA
67,NA
68,71
69,NA
70,180
71,64
72,316
73,NA
74,147
75,184
76,207
77,NA
78,170
79,130
80,239
81,164
82,201
83,182
84,158
85,126
86,222
87,150
88,171
89,174
90,237
91,223
92,NA
93,NA
94,182
95,NA
96,148
97,156
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,3
109,32
110,394
111,NA
112,NA
113,195
114,136
115,170
116,176
117,191
118,216
119,208
120,212
121,234
122,89
123,200
124,299
125,218
126,179
127,159
128,211
129,228
130,195
131,159
132,223
133,166
134,256
135,226
136,NA
137,187
138,146
139,237
140,150
141,233
142,NA
143,213
144,235
145,114
146,301
147,215
148,86
149,236
150,131
151,317
152,65
153,219
154,140
155,NA
156,179
157,NA
158,107
159,213
160,23
161,263
162,162
163,378
164,413
165,NA
166,261
167,122
168,232
169,165
170,166
171,210
172,158
173,216
174,296
175,198
176,241
177,126
178,140
179,NA
180,127
181,53
182,42
183,77
184,532
185,265
186,NA
187,20
188,4
189,5
190,28
191,11
192,1
193,9
194,NA
195,7
196,26
197,48
198,19
199,6
200,2
201,4
202,2
203,13
204,2
205,4
206,NA
207,1
208,1
209,1
210,6
211,22
212,6
213,12
214,24
215,32
216,18
217,27
218,NA
219,14
220,35
221,19
222,5
223,NA
224,NA
225,12
226,13
227,NA
228,15
229,NA
230,NA
231,44
232,52
233,24
234,NA
235,NA
236,NA
237,2
238,2
239,6
240,NA
241,NA
242,15
243,32
244,19
245,17
246,10
247,28
248,7
249,14
250,15
251,26
252,7
253,19
254,19
255,46
256,13
257,28
258,26
259,26
260,27
261,5
262,53
263,NA
264,7
265,NA
266,7
267,24
268,NA
269,26
270,27
271,41
272,64
273,12
274,22
275,1
276,2
277,1
278,13
279,30
280,NA
281,25
282,26
283,1
284,26
285,NA
286,20
287,NA
288,12
289,11
290,20
291,6
292,NA
293,21
294,20
295,40
296,21
297,NA
298,NA
299,24
300,30
301,16
302,25
303,11
304,9
305,38
306,12
307,2
308,NA
309,33
310,16
311,17
312,16
313,7
314,NA
315,NA
316,2
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,23
343,NA
344,17
345,28
346,57
347,36
348,NA
349,1
350,1
351,21
352,14
353,3
354,44
355,30
356,1
357,7
358,NA
359,16
360,4
361,1
362,6
363,NA
364,NA
365,NA
366,NA
367,74
368,16
369,39
370,NA
371,12
372,73
373,NA
374,22
375,33
376,45
377,32
378,29
379,15
380,31
381,32
382,41
383,6
384,6
385,11
386,NA
387,18
388,16
389,NA
390,11
391,NA
392,2
393,62
394,6
395,20
396,NA
397,39
398,48
399,NA
400,3
401,29
402,44
403,17
404,48
405,48
406,NA
407,17
408,71
409,23
410,31
411,NA
412,7
413,NA
414,26
415,68
416,35
417,25
418,NA
419,22
420,NA
421,61
422,21
423,21
424,NA
425,NA
426,5
427,1
428,89
429,NA
430,NA
431,89
432,NA
433,NA
434,57
435,NA
436,NA
437,NA
438,18
439,23
440,49
441,41
442,NA
443,39
444,25
445,NA
446,43
447,44
448,68
