,x
1,162
2,244
3,226
4,163
5,199
6,204
7,177
8,67
9,67
10,212
11,91
12,251
13,280
14,214
15,229
16,336
17,217
18,163
19,59
20,135
21,114
22,144
23,190
24,153
25,203
26,NA
27,402
28,227
29,177
30,240
31,126
32,NA
33,106
34,140
35,NA
36,29
37,237
38,25
39,24
40,4
41,10
42,138
43,74
44,195
45,358
46,NA
47,61
48,162
49,691
50,125
51,NA
52,NA
53,40
54,48
55,91
56,347
57,115
58,170
59,116
60,46
61,51
62,96
63,81
64,123
65,149
66,68
67,295
68,219
69,357
70,206
71,134
72,194
73,174
74,115
75,244
76,194
77,170
78,NA
79,148
80,82
81,89
82,66
83,NA
84,94
85,188
86,222
87,283
88,239
89,301
90,197
91,148
92,150
93,78
94,269
95,NA
96,242
97,234
98,221
99,160
100,302
101,258
102,138
103,NA
104,NA
105,NA
106,265
107,230
108,201
109,173
110,268
111,268
112,229
113,233
114,295
115,NA
116,NA
117,1
118,222
119,292
120,262
121,NA
122,NA
123,304
124,231
125,361
126,202
127,237
128,191
129,224
130,225
131,232
132,257
133,225
134,262
135,232
136,172
137,256
138,370
139,NA
140,274
141,288
142,287
143,300
144,311
145,269
146,116
147,294
148,288
149,NA
150,250
151,373
152,130
153,243
154,246
155,266
156,NA
157,NA
158,374
159,NA
160,219
161,225
162,88
163,315
164,255
165,NA
166,257
167,380
168,128
169,NA
170,179
171,48
172,244
173,110
174,135
175,NA
176,166
177,172
178,159
179,120
180,200
181,184
182,458
183,451
184,421
185,299
186,428
187,NA
188,369
189,443
190,361
191,340
192,437
193,134
194,28
195,287
196,133
197,NA
198,NA
199,330
200,471
201,582
202,642
203,NA
204,NA
205,NA
206,449
207,543
208,NA
209,NA
210,NA
211,NA
212,NA
213,171
214,NA
215,161
216,206
217,418
218,325
219,384
220,318
221,614
222,NA
223,NA
224,353
225,351
226,379
227,NA
228,NA
229,NA
230,NA
231,196
232,351
233,NA
234,362
235,467
236,277
237,273
238,NA
239,299
240,302
241,356
242,258
243,242
244,264
245,NA
246,262
247,234
248,245
249,133
250,228
251,204
252,194
253,266
254,188
255,NA
256,117
257,337
258,1
259,169
260,121
261,72
262,NA
263,54
264,99
265,268
266,434
267,243
268,208
269,154
270,266
271,NA
272,302
273,381
274,304
275,207
276,413
277,559
278,441
279,339
280,483
281,478
282,428
283,256
284,488
285,274
286,366
287,283
288,297
289,207
290,234
291,276
292,248
293,273
294,335
295,436
296,207
297,253
298,269
299,247
300,390
301,435
302,349
303,467
304,313
305,470
306,451
307,232
308,249
309,454
310,521
311,298
312,255
313,201
314,98
315,242
316,219
317,331
318,367
319,386
320,320
321,475
322,346
323,281
324,260
325,424
326,397
327,168
328,410
329,386
330,408
331,277
332,326
333,217
334,NA
335,159
336,249
337,255
338,420
339,374
340,333
341,219
342,237
343,263
344,426
345,760
346,550
347,793
348,375
349,258
350,354
351,443
352,276
353,445
354,353
355,315
356,341
357,283
358,453
359,384
360,157
361,419
362,388
363,NA
364,269
365,NA
366,202
367,170
368,371
369,242
370,340
371,588
372,406
373,327
374,293
375,390
376,388
377,237
378,393
379,275
380,409
381,268
382,336
383,371
384,305
385,382
386,345
387,232
388,315
389,270
390,459
391,298
392,223
393,273
394,386
395,317
396,253
397,406
398,372
399,327
400,296
401,NA
402,229
403,326
404,473
405,NA
406,417
407,384
408,398
409,385
410,NA
411,362
412,404
413,214
414,327
415,199
416,382
417,NA
418,147
419,297
420,278
421,216
422,407
423,260
424,328
425,418
426,NA
427,314
428,398
429,302
430,380
431,368
432,NA
433,275
434,318
435,246
436,246
437,286
438,253
439,216
440,NA
441,186
442,NA
443,398
444,268
445,419
446,391
447,350
448,364
