,x
1,22
2,39
3,38
4,71
5,67
6,36
7,7
8,66
9,17
10,267
11,235
12,288
13,267
14,104
15,195
16,240
17,164
18,NA
19,239
20,232
21,296
22,201
23,229
24,115
25,104
26,142
27,NA
28,157
29,238
30,142
31,100
32,235
33,103
34,10
35,11
36,5
37,50
38,NA
39,99
40,225
41,88
42,147
43,131
44,21
45,74
46,67
47,48
48,31
49,122
50,104
51,4
52,NA
53,33
54,38
55,57
56,7
57,NA
58,44
59,NA
60,93
61,99
62,126
63,48
64,46
65,94
66,60
67,34
68,26
69,52
70,NA
71,85
72,15
73,NA
74,NA
75,NA
76,1
77,74
78,313
79,289
80,468
81,157
82,NA
83,NA
84,366
85,278
86,133
87,198
88,109
89,225
90,129
91,210
92,94
93,157
94,149
95,NA
96,128
97,157
98,182
99,107
100,356
101,178
102,52
103,NA
104,NA
105,NA
106,192
107,194
108,123
109,NA
110,80
111,81
112,NA
113,195
114,NA
115,120
116,125
117,151
118,109
119,352
120,285
121,257
122,285
123,NA
124,NA
125,387
126,328
127,107
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,92
137,162
138,NA
139,NA
140,NA
141,271
142,NA
143,415
144,268
145,349
146,275
147,293
148,346
149,164
150,211
151,NA
152,195
153,211
154,291
155,253
156,NA
157,NA
158,NA
159,NA
160,200
161,375
162,366
163,250
164,NA
165,NA
166,81
167,103
168,196
169,38
170,NA
171,NA
172,NA
173,19
174,154
175,NA
176,102
177,133
178,247
179,205
180,222
181,190
182,100
183,117
184,148
185,NA
186,410
187,NA
188,192
189,427
190,337
191,231
192,290
193,261
194,183
195,NA
196,168
197,488
198,272
199,289
200,149
201,NA
202,71
203,52
204,145
205,303
206,581
207,440
208,NA
209,NA
210,NA
211,73
212,40
213,365
214,227
215,NA
216,12
217,1
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,345
249,390
250,389
251,682
252,466
253,305
254,371
255,NA
256,NA
257,210
258,429
259,428
260,NA
261,5
262,378
263,642
264,417
265,324
266,131
267,298
268,334
269,162
270,179
271,257
272,NA
273,458
274,NA
275,185
276,456
277,729
278,538
279,255
280,200
281,747
282,540
283,344
284,428
285,448
286,410
287,NA
288,96
289,NA
290,139
291,NA
292,NA
293,NA
294,NA
295,482
296,46
297,113
298,359
299,246
300,NA
301,349
302,284
303,505
304,NA
305,335
306,232
307,200
308,94
309,488
310,148
311,311
312,142
313,47
314,113
315,NA
316,522
317,242
318,195
319,270
320,NA
321,NA
322,NA
323,NA
324,NA
325,310
326,311
327,143
328,314
329,878
330,555
331,398
332,543
333,364
334,484
335,242
336,NA
337,NA
338,NA
339,NA
340,261
341,1592
342,NA
343,339
344,115
345,150
346,204
347,NA
348,NA
349,85
350,259
351,618
352,565
353,NA
354,NA
355,484
356,213
357,398
358,135
359,NA
360,21
361,231
362,225
363,180
364,NA
365,NA
366,175
367,317
368,209
369,444
370,258
371,233
372,126
373,NA
374,528
375,793
376,181
377,254
378,154
379,NA
380,404
381,546
382,427
383,295
384,167
385,NA
386,174
387,218
388,247
389,513
390,258
391,NA
392,172
393,NA
394,212
395,514
396,301
397,238
398,315
399,204
400,188
401,86
402,79
403,77
404,116
405,168
406,233
407,161
408,105
409,149
410,245
411,171
412,129
413,69
414,194
415,178
416,94
417,13
418,77
419,88
420,87
421,NA
422,17
423,70
424,NA
425,64
426,NA
427,NA
428,1
429,91
430,108
431,NA
432,44
433,64
434,NA
435,NA
436,33
437,79
438,101
439,88
440,84
441,154
442,137
443,NA
444,NA
445,NA
446,NA
447,NA
448,NA
