,x
1,NA
2,NA
3,14
4,38
5,40
6,35
7,NA
8,37
9,50
10,46
11,37
12,33
13,NA
14,61
15,40
16,35
17,38
18,NA
19,38
20,40
21,NA
22,26
23,43
24,42
25,50
26,NA
27,NA
28,NA
29,NA
30,46
31,60
32,44
33,52
34,57
35,43
36,34
37,42
38,38
39,65
40,51
41,53
42,10
43,58
44,NA
45,35
46,50
47,41
48,49
49,22
50,50
51,NA
52,51
53,29
54,NA
55,42
56,NA
57,72
58,NA
59,49
60,39
61,33
62,71
63,NA
64,55
65,50
66,55
67,41
68,NA
69,34
70,36
71,49
72,49
73,NA
74,49
75,47
76,NA
77,NA
78,49
79,NA
80,35
81,46
82,NA
83,NA
84,61
85,39
86,41
87,57
88,41
89,55
90,64
91,NA
92,57
93,42
94,NA
95,49
96,45
97,NA
98,NA
99,39
100,50
101,66
102,NA
103,49
104,NA
105,NA
106,47
107,64
108,NA
109,NA
110,56
111,53
112,57
113,54
114,58
115,66
116,60
117,59
118,42
119,35
120,NA
121,31
122,51
123,46
124,NA
125,NA
126,NA
127,45
128,NA
129,47
130,NA
131,39
132,44
133,NA
134,NA
135,53
136,NA
137,53
138,NA
139,NA
140,NA
141,NA
142,44
143,60
144,56
145,NA
146,NA
147,54
148,NA
149,47
150,60
151,NA
152,NA
153,63
154,37
155,NA
156,NA
157,NA
158,56
159,68
160,51
161,68
162,49
163,51
164,41
165,48
166,47
167,47
168,NA
169,57
170,44
171,47
172,49
173,NA
174,48
175,56
176,55
177,NA
178,29
179,NA
180,45
181,37
182,61
183,NA
184,49
185,NA
186,NA
187,31
188,NA
189,75
190,45
191,NA
192,34
193,61
194,NA
195,43
196,34
197,NA
198,63
199,NA
200,NA
201,36
202,57
203,NA
204,34
205,NA
206,46
207,59
208,NA
209,NA
210,NA
211,NA
212,58
213,52
214,NA
215,NA
216,43
217,51
218,NA
219,51
220,NA
221,62
222,39
223,NA
224,NA
225,32
226,58
227,NA
228,57
229,37
230,NA
231,35
232,50
233,56
234,42
235,39
236,46
237,57
238,40
239,61
240,45
241,NA
242,54
243,50
244,NA
245,67
246,43
247,66
248,61
249,40
250,20
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,52
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,65
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,44
303,NA
304,80
305,98
306,NA
307,NA
308,37
309,62
310,57
311,54
312,NA
313,NA
314,NA
315,NA
316,NA
317,88
318,61
319,73
320,66
321,NA
322,53
323,56
324,44
325,NA
326,70
327,NA
328,NA
329,NA
330,54
331,NA
332,2
333,65
334,NA
335,NA
336,NA
337,82
338,8
339,NA
340,58
341,61
342,NA
343,49
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,70
351,73
352,64
353,NA
354,NA
355,NA
356,76
357,NA
358,NA
359,NA
360,NA
361,66
362,NA
363,NA
364,NA
365,NA
366,NA
367,NA
368,NA
369,NA
370,NA
371,NA
372,NA
373,37
374,NA
375,NA
376,NA
377,NA
378,NA
379,NA
380,28
381,NA
382,NA
383,NA
384,NA
385,NA
386,NA
387,NA
388,34
389,NA
390,NA
391,NA
392,NA
393,NA
394,NA
395,NA
396,NA
397,NA
398,NA
399,NA
400,NA
401,NA
402,NA
403,NA
404,75
405,NA
406,69
407,NA
408,NA
409,82
410,NA
411,NA
412,NA
413,NA
414,NA
415,NA
416,NA
417,NA
418,NA
419,NA
420,NA
421,NA
422,NA
423,57
424,82
425,41
426,101
427,NA
428,106
429,27
430,70
431,NA
432,NA
433,NA
434,22
435,NA
436,NA
437,NA
438,NA
439,31
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,NA
448,NA
