,x
1,381
2,69
3,227
4,408
5,284
6,300
7,387
8,194
9,319
10,280
11,466
12,396
13,195
14,344
15,NA
16,310
17,298
18,NA
19,228
20,291
21,NA
22,242
23,354
24,288
25,279
26,NA
27,190
28,359
29,303
30,352
31,316
32,356
33,230
34,252
35,304
36,266
37,221
38,380
39,292
40,307
41,328
42,324
43,245
44,217
45,244
46,NA
47,205
48,348
49,201
50,407
51,280
52,314
53,331
54,324
55,154
56,377
57,351
58,NA
59,300
60,285
61,178
62,NA
63,NA
64,100
65,945
66,509
67,796
68,812
69,487
70,348
71,323
72,537
73,NA
74,486
75,459
76,414
77,260
78,370
79,226
80,258
81,416
82,343
83,316
84,574
85,415
86,369
87,429
88,387
89,403
90,369
91,286
92,446
93,278
94,414
95,364
96,477
97,194
98,NA
99,196
100,341
101,352
102,386
103,372
104,170
105,330
106,369
107,NA
108,255
109,376
110,374
111,457
112,216
113,NA
114,328
115,298
116,275
117,401
118,389
119,357
120,199
121,375
122,379
123,NA
124,467
125,464
126,323
127,383
128,227
129,360
130,NA
131,348
132,403
133,383
134,404
135,428
136,398
137,509
138,328
139,NA
140,526
141,391
142,399
143,298
144,230
145,508
146,366
147,423
148,392
149,342
150,NA
151,NA
152,196
153,NA
154,490
155,NA
156,NA
157,NA
158,367
159,NA
160,280
161,190
162,NA
163,NA
164,NA
165,407
166,417
167,358
168,377
169,497
170,317
171,548
172,427
173,NA
174,451
175,NA
176,331
177,NA
178,NA
179,377
180,425
181,NA
182,NA
183,234
184,494
185,NA
186,304
187,347
188,422
189,377
190,NA
191,NA
192,299
193,119
194,396
195,390
196,NA
197,139
198,284
199,162
200,316
201,322
202,427
203,441
204,NA
205,334
206,877
207,486
208,100
209,188
210,262
211,259
212,275
213,444
214,NA
215,101
216,164
217,457
218,501
219,384
220,NA
221,NA
222,NA
223,293
224,396
225,429
226,NA
227,NA
228,322
229,NA
230,NA
231,376
232,466
233,649
234,370
235,564
236,326
237,541
238,524
239,NA
240,NA
241,NA
242,549
243,NA
244,NA
245,64
246,NA
247,NA
248,NA
249,386
250,436
251,NA
252,420
253,NA
254,207
255,345
256,NA
257,677
258,NA
259,290
260,335
261,461
262,319
263,405
264,NA
265,NA
266,483
267,NA
268,NA
269,260
270,277
271,NA
272,258
273,NA
274,485
275,NA
276,182
277,316
278,458
279,NA
280,399
281,486
282,NA
283,300
284,122
285,NA
286,420
287,NA
288,242
289,421
290,468
291,351
292,427
293,NA
294,NA
295,200
296,349
297,252
298,285
299,473
300,633
301,NA
302,494
303,395
304,NA
305,515
306,348
307,NA
308,261
309,NA
310,539
311,NA
312,284
313,NA
314,NA
315,NA
316,118
317,197
318,277
319,134
320,415
321,217
322,278
323,221
324,542
325,746
326,398
327,297
328,326
329,339
330,441
331,NA
332,NA
333,385
334,NA
335,NA
336,373
337,199
338,563
339,350
340,NA
341,322
342,NA
343,760
344,464
345,NA
346,571
347,363
348,347
349,370
350,447
351,521
352,1051
353,382
354,447
355,NA
356,NA
357,205
358,367
359,NA
360,168
361,191
362,348
363,329
364,NA
365,NA
366,219
367,NA
368,178
369,235
370,254
371,252
372,NA
373,285
374,NA
375,332
376,288
377,NA
378,NA
379,290
380,NA
381,NA
382,NA
383,NA
384,NA
385,NA
386,285
387,NA
388,172
389,383
390,NA
391,702
392,NA
393,512
394,313
395,NA
396,549
397,NA
398,282
399,411
400,NA
401,NA
402,NA
403,454
404,NA
405,NA
406,NA
407,183
408,358
409,522
410,NA
411,336
412,NA
413,NA
414,251
415,NA
416,NA
417,NA
418,71
419,118
420,NA
421,NA
422,319
423,NA
424,138
425,367
426,NA
427,424
428,374
429,NA
430,NA
431,398
432,NA
433,NA
434,451
435,NA
436,252
437,418
438,NA
439,289
440,447
441,360
442,505
443,383
444,269
445,399
446,NA
447,NA
448,415
