,x
1,208
2,265
3,245
4,235
5,321
6,395
7,273
8,203
9,457
10,314
11,196
12,309
13,358
14,418
15,296
16,276
17,306
18,274
19,295
20,410
21,254
22,236
23,196
24,247
25,220
26,149
27,71
28,327
29,160
30,347
31,239
32,470
33,345
34,343
35,431
36,323
37,276
38,311
39,254
40,543
41,623
42,345
43,366
44,234
45,429
46,494
47,125
48,407
49,283
50,297
51,421
52,334
53,256
54,306
55,212
56,318
57,493
58,360
59,326
60,275
61,397
62,321
63,315
64,291
65,383
66,NA
67,376
68,253
69,201
70,296
71,153
72,500
73,387
74,269
75,338
76,200
77,277
78,372
79,251
80,304
81,305
82,368
83,323
84,NA
85,411
86,294
87,314
88,292
89,289
90,373
91,241
92,424
93,339
94,391
95,NA
96,NA
97,212
98,678
99,192
100,319
101,566
102,418
103,211
104,NA
105,251
106,396
107,412
108,467
109,440
110,NA
111,426
112,211
113,499
114,305
115,428
116,354
117,371
118,224
119,323
120,383
121,479
122,269
123,NA
124,242
125,239
126,335
127,364
128,230
129,358
130,414
131,244
132,659
133,NA
134,306
135,354
136,295
137,510
138,314
139,334
140,332
141,355
142,327
143,310
144,130
145,233
146,209
147,288
148,439
149,485
150,368
151,337
152,326
153,348
154,259
155,520
156,325
157,NA
158,225
159,389
160,204
161,382
162,1028
163,462
164,216
165,402
166,327
167,387
168,267
169,549
170,441
171,541
172,392
173,308
174,305
175,NA
176,192
177,575
178,270
179,361
180,286
181,799
182,182
183,263
184,580
185,209
186,365
187,489
188,448
189,549
190,402
191,416
192,386
193,362
194,302
195,215
196,551
197,256
198,163
199,407
200,192
201,441
202,680
203,480
204,370
205,386
206,490
207,423
208,208
209,535
210,340
211,434
212,267
213,416
214,444
215,147
216,671
217,343
218,537
219,422
220,243
221,NA
222,358
223,411
224,465
225,435
226,377
227,272
228,579
229,510
230,408
231,319
232,607
233,411
234,388
235,445
236,275
237,367
238,483
239,407
240,476
241,445
242,459
243,416
244,339
245,352
246,416
247,696
248,422
249,456
250,384
251,411
252,296
253,NA
254,699
255,445
256,NA
257,408
258,445
259,448
260,609
261,NA
262,432
263,485
264,389
265,360
266,333
267,470
268,496
269,254
270,287
271,890
272,456
273,559
274,391
275,579
276,466
277,415
278,439
279,357
280,NA
281,558
282,350
283,339
284,357
285,342
286,249
287,527
288,210
289,571
290,431
291,362
292,440
293,440
294,455
295,535
296,466
297,453
298,465
299,321
300,376
301,404
302,695
303,431
304,458
305,481
306,243
307,NA
308,258
309,628
310,676
311,409
312,664
313,399
314,NA
315,NA
316,359
317,566
318,435
319,452
320,397
321,497
322,230
323,505
324,531
325,406
326,383
327,507
328,591
329,420
330,643
331,560
332,441
333,439
334,555
335,333
336,498
337,511
338,354
339,614
340,374
341,455
342,584
343,527
344,579
345,228
346,748
347,551
348,534
349,307
350,595
351,443
352,501
353,430
354,402
355,585
356,506
357,382
358,339
359,424
360,596
361,256
362,608
363,474
364,478
365,345
366,311
367,545
368,580
369,334
370,558
371,325
372,460
373,357
374,494
375,569
376,398
377,404
378,501
379,562
380,387
381,NA
382,571
383,383
384,323
385,615
386,383
387,445
388,453
389,655
390,688
391,532
392,367
393,NA
394,622
395,442
396,519
397,308
398,714
399,538
400,559
401,364
402,504
403,466
404,457
405,529
406,689
407,310
408,443
409,475
410,430
411,NA
412,404
413,398
414,260
415,485
416,438
417,314
418,230
419,318
420,390
421,NA
422,460
423,428
424,324
425,392
426,367
427,478
428,473
429,437
430,NA
431,493
432,NA
433,365
434,277
435,296
436,375
437,407
438,368
439,305
440,401
441,77
442,464
443,351
444,206
445,315
446,292
447,44
448,NA
