,x
1,268
2,547
3,533
4,844
5,628
6,302
7,458
8,388
9,546
10,1007
11,1108
12,1475
13,1206
14,1024
15,765
16,614
17,542
18,427
19,480
20,406
21,534
22,369
23,761
24,664
25,339
26,320
27,277
28,492
29,483
30,NA
31,260
32,316
33,674
34,404
35,364
36,322
37,694
38,758
39,615
40,684
41,627
42,559
43,439
44,NA
45,224
46,517
47,256
48,389
49,423
50,498
51,804
52,857
53,441
54,568
55,281
56,323
57,435
58,414
59,431
60,406
61,398
62,367
63,379
64,403
65,325
66,309
67,354
68,362
69,462
70,412
71,352
72,493
73,603
74,417
75,NA
76,500
77,409
78,260
79,255
80,NA
81,457
82,274
83,320
84,331
85,NA
86,NA
87,325
88,305
89,337
90,340
91,353
92,361
93,360
94,274
95,317
96,124
97,433
98,261
99,32
100,417
101,495
102,NA
103,518
104,154
105,228
106,409
107,311
108,314
109,NA
110,385
111,348
112,426
113,328
114,285
115,547
116,311
117,383
118,293
119,1059
120,NA
121,954
122,906
123,829
124,689
125,876
126,559
127,400
128,569
129,601
130,419
131,402
132,536
133,521
134,504
135,529
136,538
137,674
138,691
139,785
140,513
141,629
142,762
143,562
144,569
145,608
146,621
147,591
148,504
149,397
150,467
151,567
152,338
153,582
154,631
155,680
156,383
157,NA
158,585
159,750
160,649
161,680
162,505
163,942
164,604
165,722
166,592
167,635
168,941
169,612
170,522
171,691
172,465
173,552
174,440
175,644
176,413
177,464
178,489
179,520
180,484
181,616
182,647
183,NA
184,552
185,515
186,464
187,589
188,533
189,673
190,593
191,653
192,720
193,566
194,878
195,690
196,411
197,463
198,561
199,471
200,369
201,509
202,688
203,588
204,353
205,834
206,553
207,533
208,NA
209,276
210,543
211,924
212,537
213,767
214,873
215,1085
216,1217
217,504
218,682
219,632
220,809
221,742
222,480
223,684
224,683
225,NA
226,698
227,692
228,603
229,729
230,586
231,458
232,517
233,762
234,604
235,596
236,446
237,419
238,663
239,668
240,686
241,694
242,536
243,678
244,638
245,431
246,464
247,527
248,577
249,617
250,601
251,492
252,NA
253,379
254,478
255,594
256,357
257,460
258,710
259,539
260,524
261,190
262,575
263,940
264,599
265,656
266,435
267,765
268,552
269,NA
270,699
271,600
272,525
273,625
274,599
275,501
276,467
277,461
278,550
279,572
280,526
281,592
282,448
283,369
284,673
285,518
286,603
287,365
288,482
289,468
290,508
291,538
292,504
293,584
294,610
295,442
296,420
297,443
298,NA
299,587
300,460
301,532
302,675
303,526
304,487
305,383
306,510
307,684
308,259
309,532
310,468
311,627
312,466
313,145
314,300
315,509
316,487
317,553
318,545
319,520
320,427
321,488
322,456
323,597
324,369
325,455
326,477
327,414
328,522
329,535
330,NA
331,547
332,744
333,544
334,413
335,309
336,NA
337,NA
338,NA
339,NA
340,342
341,NA
342,541
343,510
344,489
345,493
346,585
347,561
348,449
349,349
350,508
351,398
352,471
353,438
354,559
355,454
356,451
357,454
358,485
359,484
360,319
361,NA
362,621
363,452
364,425
365,203
366,180
367,355
368,507
369,579
370,466
371,444
372,565
373,480
374,379
375,384
376,274
377,544
378,399
379,440
380,386
381,587
382,417
383,387
384,359
385,437
386,491
387,318
388,450
389,437
390,NA
391,534
392,304
393,286
394,492
395,318
396,364
397,445
398,410
399,354
400,476
401,NA
402,457
403,377
404,210
405,340
406,308
407,566
408,507
409,313
410,465
411,505
412,NA
413,314
414,511
415,638
416,NA
417,163
418,131
419,344
420,431
421,452
422,453
423,501
424,392
425,333
426,383
427,338
428,369
429,458
430,359
431,395
432,NA
433,401
434,413
435,490
436,422
437,470
438,386
439,371
440,375
441,435
442,566
443,471
444,207
445,443
446,393
447,422
448,416
