,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,1
10,NA
11,NA
12,1
13,1
14,NA
15,NA
16,NA
17,NA
18,NA
19,1
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,7
30,7
31,NA
32,NA
33,6
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,1
43,NA
44,1
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,1
62,1
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,2
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,1
82,NA
83,NA
84,1
85,NA
86,NA
87,NA
88,NA
89,1
90,NA
91,NA
92,1
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,1
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,7
118,NA
119,NA
120,8
121,4
122,2
123,NA
124,4
125,NA
126,4
127,NA
128,NA
129,NA
130,NA
131,NA
132,6
133,4
134,4
135,NA
136,1
137,2
138,1
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,2
184,1
185,NA
186,1
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,1
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,3
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,1
229,NA
230,NA
231,2
232,NA
233,NA
234,2
235,NA
236,NA
237,1
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,2
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,1
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,5
334,NA
335,NA
336,NA
337,1
338,2
339,NA
340,2
341,NA
342,2
343,NA
344,NA
345,NA
346,NA
347,NA
348,2
349,6
350,10
351,NA
352,NA
353,2
354,NA
355,NA
356,NA
357,3
358,7
359,NA
360,NA
361,NA
362,NA
363,NA
364,NA
365,4
366,NA
367,NA
368,NA
369,NA
370,NA
371,NA
372,NA
373,NA
374,NA
375,7
376,1
377,NA
378,NA
379,5
380,NA
381,7
382,7
383,5
384,NA
385,NA
386,NA
387,NA
388,NA
389,NA
390,NA
391,NA
392,NA
393,NA
394,NA
395,NA
396,12
397,NA
398,NA
399,NA
400,NA
401,NA
402,NA
403,NA
404,NA
405,NA
406,NA
407,NA
408,NA
409,20
410,18
411,NA
412,11
413,NA
414,12
415,NA
416,NA
417,9
418,NA
419,NA
420,NA
421,NA
422,NA
423,3
424,NA
425,NA
426,6
427,NA
428,NA
429,NA
430,15
431,NA
432,NA
433,NA
434,NA
435,16
436,11
437,17
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,24
448,NA
