,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,260
8,NA
9,285
10,NA
11,544
12,NA
13,NA
14,NA
15,NA
16,NA
17,324
18,186
19,382
20,NA
21,521
22,253
23,NA
24,NA
25,NA
26,NA
27,NA
28,501
29,390
30,NA
31,526
32,765
33,101
34,NA
35,NA
36,228
37,NA
38,NA
39,518
40,NA
41,NA
42,348
43,427
44,NA
45,324
46,NA
47,NA
48,330
49,205
50,399
51,NA
52,294
53,NA
54,54
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,355
62,232
63,NA
64,NA
65,539
66,NA
67,NA
68,NA
69,NA
70,178
71,415
72,NA
73,NA
74,118
75,NA
76,206
77,213
78,220
79,174
80,NA
81,660
82,NA
83,NA
84,NA
85,506
86,350
87,NA
88,144
89,NA
90,NA
91,NA
92,100
93,351
94,NA
95,NA
96,455
97,NA
98,NA
99,75
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,160
107,110
108,NA
109,119
110,100
111,23
112,NA
113,NA
114,NA
115,74
116,411
117,NA
118,NA
119,NA
120,462
121,NA
122,NA
123,370
124,NA
125,NA
126,13
127,467
128,NA
129,NA
130,NA
131,369
132,349
133,275
134,NA
135,NA
136,NA
137,558
138,425
139,NA
140,376
141,362
142,NA
143,542
144,269
145,672
146,523
147,607
148,NA
149,NA
150,411
151,NA
152,147
153,917
154,362
155,NA
156,NA
157,NA
158,NA
159,NA
160,417
161,NA
162,260
163,NA
164,339
165,401
166,387
167,648
168,NA
169,360
170,584
171,NA
172,276
173,NA
174,476
175,358
176,470
177,487
178,399
179,NA
180,410
181,NA
182,NA
183,313
184,497
185,NA
186,647
187,433
188,NA
189,NA
190,636
191,359
192,565
193,490
194,NA
195,472
196,NA
197,503
198,NA
199,NA
200,294
201,577
202,NA
203,NA
204,268
205,543
206,296
207,NA
208,282
209,NA
210,NA
211,NA
212,520
213,NA
214,NA
215,336
216,NA
217,NA
218,618
219,490
220,573
221,318
222,278
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,238
233,786
234,385
235,367
236,460
237,359
238,NA
239,362
240,448
241,385
242,NA
243,NA
244,433
245,NA
246,NA
247,395
248,406
249,254
250,385
251,458
252,321
253,NA
254,NA
255,NA
256,623
257,NA
258,463
259,NA
260,355
261,NA
262,230
263,NA
264,233
265,414
266,393
267,379
268,413
269,NA
270,NA
271,612
272,503
273,NA
274,391
275,401
276,400
277,592
278,NA
279,NA
280,422
281,308
282,NA
283,NA
284,506
285,558
286,185
287,595
288,NA
289,568
290,6
291,568
292,NA
293,594
294,NA
295,235
296,NA
297,191
298,478
299,390
300,498
301,604
302,NA
303,515
304,NA
305,23
306,NA
307,35
308,NA
309,430
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,664
321,419
322,312
323,488
324,457
325,288
326,NA
327,527
328,NA
329,437
330,238
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,355
338,NA
339,623
340,378
341,333
342,681
343,NA
344,454
345,451
346,NA
347,408
348,375
349,303
350,NA
351,547
352,414
353,NA
354,NA
355,344
356,560
357,247
358,NA
359,475
360,NA
361,294
362,485
363,462
364,NA
365,NA
366,NA
367,299
368,374
369,274
370,507
371,NA
372,524
373,NA
374,NA
375,NA
376,61
377,292
378,540
379,337
380,NA
381,360
382,366
383,293
384,513
385,343
386,356
387,286
388,149
389,144
390,NA
391,NA
392,NA
393,196
394,225
395,551
396,NA
397,NA
398,NA
399,NA
400,NA
401,NA
402,285
403,NA
404,114
405,30
406,408
407,NA
408,NA
409,614
410,NA
411,180
412,NA
413,NA
414,312
415,250
416,NA
417,NA
418,315
419,NA
420,268
421,NA
422,294
423,NA
424,636
425,369
426,375
427,309
428,NA
429,436
430,447
431,NA
432,238
433,NA
434,454
435,292
436,348
437,253
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,NA
448,NA
