,x
1,174
2,322
3,314
4,281
5,233
6,256
7,245
8,198
9,216
10,223
11,181
12,281
13,208
14,202
15,148
16,206
17,201
18,NA
19,206
20,242
21,NA
22,174
23,222
24,305
25,284
26,NA
27,171
28,213
29,262
30,239
31,274
32,269
33,260
34,NA
35,NA
36,301
37,321
38,NA
39,316
40,332
41,253
42,368
43,316
44,294
45,NA
46,248
47,139
48,240
49,268
50,296
51,NA
52,133
53,103
54,160
55,NA
56,304
57,256
58,193
59,219
60,226
61,375
62,276
63,196
64,311
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,311
76,296
77,278
78,NA
79,284
80,287
81,276
82,295
83,267
84,314
85,267
86,362
87,345
88,211
89,308
90,227
91,300
92,370
93,339
94,302
95,NA
96,321
97,NA
98,279
99,160
100,302
101,NA
102,210
103,NA
104,NA
105,134
106,336
107,350
108,NA
109,NA
110,NA
111,133
112,100
113,341
114,372
115,308
116,NA
117,NA
118,385
119,357
120,287
121,NA
122,NA
123,284
124,152
125,NA
126,329
127,NA
128,328
129,353
130,372
131,208
132,320
133,348
134,416
135,246
136,353
137,303
138,430
139,308
140,NA
141,108
142,NA
143,325
144,NA
145,104
146,358
147,423
148,282
149,408
150,397
151,150
152,188
153,430
154,397
155,NA
156,214
157,NA
158,NA
159,150
160,231
161,370
162,350
163,345
164,390
165,407
166,449
167,424
168,328
169,401
170,357
171,347
172,399
173,398
174,316
175,329
176,NA
177,86
178,175
179,337
180,334
181,324
182,NA
183,304
184,NA
185,NA
186,NA
187,89
188,NA
189,NA
190,359
191,NA
192,288
193,318
194,346
195,301
196,258
197,291
198,NA
199,430
200,NA
201,NA
202,129
203,NA
204,214
205,394
206,291
207,NA
208,253
209,144
210,171
211,126
212,201
213,373
214,433
215,NA
216,146
217,355
218,387
219,351
220,324
221,337
222,NA
223,426
224,362
225,NA
226,NA
227,99
228,NA
229,NA
230,NA
231,103
232,210
233,139
234,177
235,169
236,130
237,209
238,211
239,NA
240,163
241,NA
242,188
243,201
244,161
245,181
246,187
247,255
248,NA
249,202
250,175
251,282
252,NA
253,NA
254,198
255,396
256,NA
257,116
258,NA
259,377
260,91
261,204
262,112
263,127
264,109
265,114
266,100
267,145
268,NA
269,NA
270,133
271,136
272,145
273,NA
274,NA
275,38
276,374
277,458
278,319
279,NA
280,306
281,426
282,133
283,340
284,367
285,394
286,422
287,316
288,NA
289,NA
290,54
291,446
292,442
293,NA
294,486
295,416
296,164
297,311
298,373
299,325
300,286
301,260
302,308
303,NA
304,NA
305,87
306,NA
307,NA
308,NA
309,201
310,144
311,NA
312,NA
313,85
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,138
350,NA
351,199
352,128
353,212
354,149
355,246
356,220
357,203
358,163
359,NA
360,60
361,269
362,274
363,133
364,NA
365,NA
366,72
367,184
368,154
369,55
370,203
371,NA
372,NA
373,75
374,104
375,126
376,202
377,249
378,241
379,213
380,233
381,194
382,NA
383,NA
384,18
385,82
386,66
387,15
388,85
389,NA
390,90
391,NA
392,68
393,148
394,152
395,120
396,197
397,157
398,191
399,183
400,108
401,53
402,114
403,107
404,153
405,123
406,114
407,83
408,94
409,134
410,124
411,35
412,138
413,64
414,159
415,135
416,130
417,41
418,47
419,158
420,157
421,104
422,122
423,121
424,98
425,64
426,99
427,89
428,92
429,105
430,NA
431,125
432,127
433,138
434,167
435,86
436,140
437,NA
438,NA
439,121
440,NA
441,139
442,160
443,NA
444,107
445,55
446,151
447,153
448,181
