,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,85
9,82
10,52
11,51
12,NA
13,10
14,35
15,51
16,14
17,31
18,3
19,NA
20,6
21,1
22,NA
23,NA
24,99
25,29
26,NA
27,32
28,108
29,45
30,NA
31,NA
32,NA
33,34
34,34
35,12
36,15
37,5
38,54
39,NA
40,NA
41,NA
42,64
43,NA
44,49
45,14
46,NA
47,23
48,29
49,47
50,46
51,NA
52,NA
53,NA
54,NA
55,24
56,NA
57,15
58,18
59,14
60,NA
61,NA
62,39
63,12
64,14
65,NA
66,3
67,21
68,12
69,12
70,5
71,1
72,9
73,NA
74,38
75,NA
76,NA
77,NA
78,NA
79,18
80,NA
81,NA
82,NA
83,17
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,1
106,NA
107,25
108,3
109,5
110,9
111,4
112,15
113,11
114,18
115,26
116,24
117,33
118,25
119,26
120,14
121,NA
122,NA
123,36
124,24
125,29
126,NA
127,22
128,NA
129,38
130,31
131,13
132,NA
133,NA
134,24
135,35
136,36
137,NA
138,NA
139,NA
140,30
141,36
142,43
143,NA
144,NA
145,23
146,21
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,5
154,NA
155,14
156,NA
157,NA
158,12
159,2
160,NA
161,24
162,49
163,15
164,20
165,29
166,60
167,17
168,5
169,39
170,17
171,51
172,10
173,35
174,NA
175,8
176,13
177,14
178,11
179,21
180,24
181,39
182,28
183,NA
184,33
185,23
186,56
187,27
188,41
189,11
190,34
191,19
192,NA
193,NA
194,22
195,30
196,32
197,NA
198,8
199,23
200,NA
201,NA
202,38
203,NA
204,NA
205,38
206,39
207,NA
208,NA
209,NA
210,22
211,36
212,NA
213,25
214,30
215,10
216,30
217,22
218,NA
219,32
220,23
221,34
222,21
223,15
224,37
225,NA
226,NA
227,19
228,33
229,13
230,13
231,28
232,21
233,25
234,53
235,22
236,13
237,32
238,NA
239,47
240,7
241,29
242,NA
243,21
244,42
245,NA
246,39
247,45
248,48
249,NA
250,12
251,16
252,NA
253,NA
254,44
255,NA
256,NA
257,NA
258,44
259,29
260,40
261,NA
262,NA
263,23
264,22
265,43
266,52
267,53
268,NA
269,74
270,NA
271,NA
272,24
273,59
274,62
275,NA
276,17
277,41
278,76
279,31
280,NA
281,NA
282,55
283,46
284,49
285,NA
286,71
287,NA
288,NA
289,45
290,44
291,57
292,51
293,NA
294,74
295,NA
296,32
297,NA
298,58
299,60
300,50
301,76
302,55
303,67
304,73
305,64
306,39
307,56
308,51
309,66
310,75
311,61
312,NA
313,38
314,NA
315,NA
316,55
317,NA
318,72
319,74
320,71
321,55
322,89
323,62
324,62
325,75
326,NA
327,62
328,74
329,71
330,63
331,77
332,72
333,86
334,55
335,NA
336,77
337,53
338,NA
339,NA
340,48
341,52
342,49
343,66
344,23
345,NA
346,83
347,NA
348,62
349,58
350,52
351,NA
352,84
353,NA
354,37
355,NA
356,53
357,NA
358,17
359,NA
360,36
361,30
362,58
363,42
364,NA
365,NA
366,27
367,58
368,56
369,54
370,69
371,NA
372,46
373,57
374,73
375,53
376,72
377,50
378,69
379,NA
380,44
381,36
382,69
383,44
384,56
385,53
386,60
387,NA
388,82
389,63
390,52
391,NA
392,49
393,49
394,66
395,74
396,66
397,59
398,2
399,38
400,75
401,NA
402,58
403,76
404,35
405,67
406,1
407,59
408,62
409,59
410,44
411,84
412,NA
413,43
414,58
415,66
416,1
417,NA
418,41
419,72
420,46
421,68
422,80
423,NA
424,56
425,35
426,52
427,78
428,79
429,69
430,73
431,1
432,53
433,52
434,NA
435,80
436,59
437,1
438,56
439,NA
440,NA
441,63
442,47
443,47
444,41
445,2
446,55
447,71
448,56
