,x
1,NA
2,10
3,13
4,NA
5,99
6,57
7,74
8,44
9,NA
10,85
11,NA
12,90
13,175
14,NA
15,94
16,117
17,83
18,70
19,102
20,NA
21,67
22,60
23,125
24,66
25,NA
26,NA
27,80
28,89
29,76
30,NA
31,103
32,119
33,158
34,73
35,71
36,58
37,134
38,111
39,NA
40,71
41,NA
42,40
43,NA
44,NA
45,103
46,81
47,107
48,112
49,97
50,66
51,43
52,NA
53,NA
54,NA
55,NA
56,110
57,74
58,NA
59,36
60,64
61,NA
62,136
63,NA
64,58
65,97
66,NA
67,NA
68,NA
69,26
70,141
71,74
72,85
73,NA
74,46
75,114
76,106
77,99
78,NA
79,NA
80,NA
81,NA
82,NA
83,144
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,27
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,99
109,NA
110,NA
111,NA
112,48
113,NA
114,37
115,81
116,113
117,11
118,28
119,45
120,54
121,42
122,55
123,37
124,71
125,43
126,96
127,NA
128,70
129,70
130,NA
131,19
132,NA
133,NA
134,80
135,133
136,94
137,99
138,92
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,60
149,NA
150,51
151,NA
152,NA
153,151
154,NA
155,109
156,78
157,NA
158,NA
159,66
160,87
161,53
162,NA
163,NA
164,21
165,64
166,NA
167,NA
168,75
169,85
170,76
171,88
172,95
173,93
174,33
175,76
176,23
177,28
178,27
179,54
180,97
181,60
182,39
183,27
184,71
185,54
186,17
187,65
188,18
189,41
190,103
191,96
192,NA
193,63
194,38
195,40
196,143
197,NA
198,60
199,33
200,65
201,64
202,20
203,41
204,51
205,NA
206,63
207,64
208,NA
209,NA
210,39
211,92
212,90
213,104
214,75
215,NA
216,NA
217,NA
218,60
219,45
220,115
221,56
222,NA
223,36
224,45
225,NA
226,49
227,NA
228,NA
229,49
230,NA
231,39
232,NA
233,NA
234,NA
235,NA
236,85
237,63
238,NA
239,NA
240,NA
241,NA
242,30
243,NA
244,66
245,123
246,93
247,61
248,73
249,26
250,NA
251,143
252,110
253,85
254,NA
255,NA
256,NA
257,NA
258,84
259,88
260,58
261,77
262,56
263,NA
264,19
265,44
266,77
267,85
268,17
269,77
270,120
271,96
272,NA
273,125
274,50
275,56
276,97
277,32
278,NA
279,NA
280,NA
281,NA
282,NA
283,46
284,118
285,78
286,64
287,NA
288,32
289,74
290,NA
291,52
292,130
293,67
294,48
295,NA
296,NA
297,26
298,46
299,72
300,24
301,NA
302,29
303,84
304,82
305,161
306,110
307,122
308,NA
309,54
310,107
311,139
312,86
313,113
314,NA
315,NA
316,72
317,NA
318,NA
319,NA
320,NA
321,NA
322,58
323,NA
324,94
325,84
326,NA
327,93
328,47
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,74
338,111
339,119
340,NA
341,98
342,99
343,NA
344,NA
345,NA
346,NA
347,47
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,NA
361,67
362,NA
363,NA
364,NA
365,NA
366,95
367,115
368,NA
369,NA
370,101
371,81
372,NA
373,12
374,NA
375,NA
376,NA
377,9
378,NA
379,NA
380,NA
381,NA
382,19
383,NA
384,NA
385,NA
386,NA
387,NA
388,98
389,NA
390,NA
391,NA
392,NA
393,NA
394,NA
395,64
396,88
397,98
398,87
399,63
400,96
401,NA
402,NA
403,NA
404,2
405,1
406,NA
407,2
408,NA
409,NA
410,1
411,NA
412,NA
413,NA
414,NA
415,NA
416,NA
417,4
418,NA
419,NA
420,NA
421,102
422,111
423,76
424,151
425,1
426,118
427,107
428,130
429,59
430,120
431,58
432,118
433,177
434,NA
435,143
436,79
437,88
438,117
439,NA
440,150
441,116
442,77
443,101
444,61
445,164
446,120
447,115
448,97
