,x
1,NA
2,NA
3,NA
4,323
5,39
6,12
7,NA
8,NA
9,NA
10,NA
11,16
12,NA
13,NA
14,NA
15,NA
16,NA
17,4
18,NA
19,79
20,57
21,NA
22,NA
23,12
24,NA
25,NA
26,NA
27,NA
28,9
29,NA
30,NA
31,4
32,135
33,NA
34,NA
35,NA
36,125
37,NA
38,NA
39,376
40,166
41,172
42,NA
43,NA
44,NA
45,160
46,13
47,7
48,NA
49,207
50,130
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,140
58,NA
59,186
60,NA
61,107
62,188
63,143
64,NA
65,NA
66,174
67,NA
68,NA
69,NA
70,NA
71,135
72,NA
73,67
74,NA
75,103
76,189
77,NA
78,NA
79,216
80,35
81,24
82,143
83,218
84,144
85,155
86,NA
87,NA
88,NA
89,154
90,12
91,239
92,159
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,11
102,13
103,NA
104,NA
105,NA
106,NA
107,178
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,202
118,NA
119,151
120,NA
121,22
122,399
123,116
124,212
125,163
126,125
127,NA
128,149
129,194
130,128
131,144
132,132
133,NA
134,177
135,125
136,14
137,150
138,80
139,NA
140,152
141,135
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,135
150,NA
151,NA
152,NA
153,188
154,132
155,227
156,NA
157,NA
158,89
159,186
160,NA
161,NA
162,94
163,162
164,288
165,280
166,227
167,114
168,124
169,227
170,187
171,115
172,76
173,292
174,161
175,107
176,160
177,171
178,18
179,65
180,15
181,NA
182,124
183,151
184,192
185,105
186,105
187,284
188,128
189,455
190,144
191,142
192,276
193,126
194,175
195,260
196,142
197,100
198,192
199,NA
200,99
201,39
202,46
203,173
204,113
205,198
206,311
207,NA
208,110
209,NA
210,4
211,121
212,161
213,272
214,83
215,108
216,123
217,175
218,151
219,142
220,156
221,139
222,221
223,127
224,248
225,306
226,130
227,216
228,210
229,158
230,160
231,114
232,218
233,131
234,170
235,133
236,NA
237,144
238,156
239,NA
240,161
241,153
242,219
243,157
244,NA
245,NA
246,149
247,148
248,NA
249,107
250,NA
251,135
252,NA
253,NA
254,NA
255,22
256,98
257,159
258,199
259,NA
260,NA
261,NA
262,NA
263,171
264,143
265,179
266,134
267,NA
268,NA
269,NA
270,282
271,NA
272,178
273,NA
274,182
275,187
276,196
277,144
278,199
279,NA
280,187
281,152
282,NA
283,189
284,149
285,219
286,NA
287,188
288,141
289,178
290,186
291,230
292,236
293,202
294,NA
295,195
296,222
297,150
298,175
299,199
300,211
301,139
302,22
303,268
304,173
305,200
306,9
307,NA
308,112
309,192
310,200
311,29
312,200
313,NA
314,NA
315,25
316,39
317,46
318,31
319,45
320,24
321,NA
322,192
323,248
324,216
325,177
326,233
327,NA
328,NA
329,NA
330,184
331,218
332,193
333,170
334,209
335,128
336,188
337,194
338,NA
339,184
340,146
341,213
342,189
343,210
344,230
345,204
346,210
347,188
348,190
349,31
350,NA
351,204
352,185
353,194
354,191
355,167
356,128
357,310
358,175
359,NA
360,122
361,NA
362,NA
363,200
364,NA
365,NA
366,NA
367,194
368,212
369,182
370,260
371,242
372,33
373,193
374,29
375,183
376,34
377,116
378,NA
379,177
380,198
381,169
382,NA
383,301
384,237
385,216
386,201
387,159
388,222
389,226
390,221
391,172
392,207
393,NA
394,143
395,NA
396,201
397,NA
398,218
399,218
400,205
401,163
402,264
403,217
404,232
405,197
406,NA
407,210
408,147
409,298
410,166
411,165
412,NA
413,NA
414,136
415,178
416,11
417,175
418,131
419,189
420,176
421,57
422,NA
423,248
424,NA
425,NA
426,NA
427,1
428,NA
429,NA
430,NA
431,NA
432,9
433,NA
434,NA
435,69
436,NA
437,NA
438,NA
439,NA
440,63
441,23
442,NA
443,NA
444,NA
445,58
446,NA
447,NA
448,NA
