,x
1,21
2,19
3,24
4,26
5,18
6,28
7,1
8,42
9,10
10,30
11,5
12,26
13,19
14,NA
15,35
16,2
17,18
18,40
19,28
20,35
21,30
22,38
23,14
24,10
25,24
26,22
27,26
28,40
29,25
30,6
31,NA
32,NA
33,NA
34,42
35,25
36,22
37,18
38,39
39,28
40,51
41,37
42,39
43,12
44,9
45,46
46,71
47,4
48,17
49,19
50,3
51,34
52,1
53,36
54,43
55,37
56,24
57,8
58,37
59,31
60,11
61,11
62,33
63,8
64,31
65,8
66,20
67,31
68,26
69,8
70,22
71,33
72,2
73,33
74,3
75,28
76,25
77,27
78,NA
79,17
80,16
81,6
82,21
83,4
84,37
85,43
86,58
87,37
88,34
89,52
90,NA
91,39
92,38
93,NA
94,76
95,22
96,52
97,33
98,39
99,23
100,60
101,34
102,41
103,38
104,28
105,16
106,52
107,47
108,61
109,44
110,34
111,47
112,28
113,37
114,26
115,22
116,29
117,35
118,1
119,6
120,5
121,15
122,3
123,7
124,18
125,24
126,7
127,NA
128,26
129,28
130,NA
131,1
132,2
133,33
134,11
135,23
136,32
137,34
138,14
139,6
140,2
141,38
142,35
143,32
144,46
145,52
146,21
147,31
148,35
149,37
150,43
151,21
152,19
153,26
154,34
155,NA
156,20
157,NA
158,32
159,28
160,19
161,13
162,NA
163,1
164,3
165,6
166,3
167,3
168,3
169,5
170,5
171,4
172,2
173,1
174,1
175,2
176,4
177,1
178,4
179,5
180,4
181,2
182,4
183,1
184,NA
185,1
186,2
187,3
188,2
189,3
190,5
191,3
192,1
193,NA
194,NA
195,3
196,NA
197,1
198,NA
199,2
200,NA
201,3
202,2
203,NA
204,1
205,2
206,3
207,3
208,NA
209,3
210,1
211,1
212,NA
213,NA
214,1
215,NA
216,2
217,4
218,1
219,NA
220,NA
221,NA
222,2
223,2
224,NA
225,NA
226,1
227,3
228,13
229,94
230,66
231,47
232,55
233,48
234,38
235,57
236,4
237,39
238,NA
239,47
240,34
241,62
242,42
243,54
244,52
245,60
246,25
247,42
248,48
249,53
250,50
251,44
252,62
253,51
254,27
255,40
256,36
257,60
258,37
259,68
260,49
261,38
262,1
263,36
264,32
265,72
266,NA
267,59
268,43
269,42
270,48
271,40
272,34
273,26
274,56
275,22
276,39
277,38
278,37
279,35
280,3
281,59
282,35
283,7
284,34
285,36
286,10
287,34
288,20
289,48
290,10
291,13
292,7
293,27
294,4
295,4
296,9
297,1
298,4
299,1
300,3
301,NA
302,NA
303,1
304,1
305,NA
306,NA
307,3
308,NA
309,2
310,2
311,4
312,1
313,2
314,NA
315,NA
316,NA
317,NA
318,2
319,5
320,2
321,1
322,NA
323,1
324,1
325,2
326,2
327,1
328,NA
329,NA
330,NA
331,1
332,NA
333,2
334,NA
335,2
336,3
337,NA
338,NA
339,NA
340,2
341,7
342,50
343,52
344,45
345,1
346,44
347,NA
348,41
349,6
350,8
351,31
352,26
353,12
354,22
355,28
356,27
357,36
358,1
359,8
360,NA
361,NA
362,NA
363,NA
364,26
365,NA
366,20
367,20
368,NA
369,4
370,7
371,24
372,1
373,NA
374,NA
375,2
376,1
377,2
378,2
379,6
380,21
381,5
382,3
383,2
384,NA
385,5
386,10
387,NA
388,1
389,NA
390,NA
391,NA
392,NA
393,NA
394,2
395,NA
396,16
397,10
398,37
399,46
400,18
401,24
402,45
403,16
404,47
405,7
406,NA
407,1
408,NA
409,1
410,NA
411,NA
412,NA
413,NA
414,1
415,NA
416,NA
417,NA
418,NA
419,2
420,2
421,NA
422,2
423,2
424,NA
425,NA
426,1
427,NA
428,NA
429,NA
430,1
431,NA
432,3
433,NA
434,NA
435,NA
436,6
437,3
438,2
439,NA
440,NA
441,2
442,NA
443,1
444,NA
445,NA
446,NA
447,4
448,4
