,x
1,NA
2,5
3,76
4,123
5,85
6,142
7,53
8,43
9,112
10,132
11,163
12,155
13,150
14,NA
15,214
16,184
17,193
18,92
19,59
20,89
21,NA
22,118
23,NA
24,NA
25,NA
26,NA
27,66
28,131
29,129
30,NA
31,81
32,NA
33,NA
34,173
35,167
36,135
37,NA
38,100
39,94
40,132
41,100
42,101
43,69
44,NA
45,58
46,NA
47,63
48,NA
49,NA
50,NA
51,NA
52,NA
53,93
54,136
55,216
56,177
57,148
58,130
59,152
60,113
61,201
62,254
63,194
64,166
65,NA
66,NA
67,NA
68,141
69,126
70,NA
71,NA
72,NA
73,NA
74,NA
75,135
76,NA
77,NA
78,NA
79,NA
80,254
81,235
82,NA
83,NA
84,157
85,191
86,238
87,NA
88,166
89,203
90,146
91,185
92,223
93,215
94,NA
95,NA
96,NA
97,152
98,NA
99,NA
100,198
101,180
102,208
103,NA
104,NA
105,NA
106,NA
107,186
108,222
109,225
110,NA
111,130
112,NA
113,215
114,231
115,198
116,197
117,NA
118,139
119,213
120,257
121,295
122,143
123,219
124,250
125,152
126,152
127,107
128,217
129,88
130,252
131,170
132,NA
133,215
134,226
135,181
136,228
137,197
138,255
139,224
140,217
141,191
142,227
143,226
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,11
151,NA
152,182
153,193
154,NA
155,NA
156,139
157,NA
158,NA
159,NA
160,NA
161,662
162,NA
163,296
164,202
165,324
166,181
167,366
168,364
169,272
170,NA
171,NA
172,NA
173,286
174,NA
175,308
176,331
177,NA
178,NA
179,365
180,234
181,NA
182,NA
183,NA
184,NA
185,NA
186,301
187,NA
188,213
189,213
190,298
191,NA
192,293
193,260
194,NA
195,247
196,265
197,364
198,279
199,325
200,NA
201,73
202,326
203,NA
204,161
205,356
206,NA
207,NA
208,NA
209,1
210,190
211,NA
212,248
213,255
214,270
215,143
216,444
217,546
218,316
219,351
220,253
221,237
222,270
223,348
224,342
225,337
226,NA
227,511
228,445
229,427
230,278
231,317
232,483
233,351
234,304
235,380
236,356
237,374
238,385
239,387
240,201
241,322
242,438
243,412
244,449
245,NA
246,452
247,489
248,491
249,352
250,431
251,445
252,349
253,NA
254,377
255,NA
256,235
257,519
258,367
259,NA
260,NA
261,189
262,331
263,343
264,352
265,609
266,419
267,476
268,NA
269,524
270,506
271,479
272,479
273,381
274,NA
275,401
276,36
277,285
278,228
279,171
280,251
281,183
282,367
283,NA
284,68
285,69
286,76
287,77
288,21
289,58
290,111
291,121
292,65
293,162
294,141
295,155
296,NA
297,99
298,NA
299,150
300,182
301,167
302,172
303,183
304,173
305,169
306,145
307,177
308,82
309,144
310,104
311,154
312,159
313,111
314,93
315,156
316,116
317,158
318,121
319,NA
320,150
321,151
322,167
323,116
324,157
325,142
326,156
327,98
328,150
329,158
330,153
331,119
332,177
333,179
334,170
335,120
336,163
337,104
338,NA
339,181
340,97
341,173
342,164
343,159
344,171
345,187
346,198
347,206
348,197
349,109
350,156
351,170
352,181
353,170
354,167
355,189
356,NA
357,26
358,156
359,NA
360,95
361,187
362,159
363,148
364,197
365,57
366,88
367,186
368,217
369,169
370,122
371,144
372,168
373,168
374,171
375,164
376,209
377,194
378,180
379,165
380,153
381,187
382,177
383,180
384,208
385,198
386,181
387,101
388,182
389,179
390,104
391,NA
392,101
393,NA
394,183
395,NA
396,188
397,145
398,200
399,170
400,216
401,134
402,216
403,207
404,NA
405,150
406,220
407,210
408,187
409,189
410,167
411,178
412,178
413,99
414,174
415,145
416,NA
417,NA
418,4
419,NA
420,232
421,126
422,218
423,127
424,134
425,145
426,216
427,160
428,183
429,228
430,217
431,200
432,162
433,143
434,NA
435,219
436,203
437,210
438,179
439,129
440,246
441,137
442,190
443,186
444,144
445,152
446,190
447,159
448,NA
