,x
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,58
10,NA
11,NA
12,NA
13,NA
14,122
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,20
28,NA
29,NA
30,NA
31,84
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,122
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,161
59,NA
60,69
61,NA
62,18
63,NA
64,NA
65,NA
66,NA
67,NA
68,26
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,62
100,8
101,NA
102,NA
103,NA
104,NA
105,70
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,58
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,81
131,NA
132,NA
133,NA
134,179
135,NA
136,NA
137,NA
138,NA
139,NA
140,108
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,93
149,NA
150,NA
151,NA
152,NA
153,269
154,NA
155,NA
156,NA
157,NA
158,194
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,17
167,NA
168,NA
169,NA
170,139
171,109
172,NA
173,127
174,NA
175,156
176,131
177,NA
178,NA
179,108
180,123
181,NA
182,100
183,67
184,115
185,60
186,139
187,182
188,107
189,120
190,181
191,187
192,163
193,50
194,101
195,116
196,191
197,125
198,160
199,139
200,111
201,190
202,NA
203,84
204,117
205,105
206,199
207,NA
208,107
209,NA
210,42
211,NA
212,NA
213,NA
214,221
215,NA
216,163
217,NA
218,NA
219,125
220,NA
221,NA
222,NA
223,199
224,136
225,240
226,166
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,84
234,212
235,NA
236,174
237,NA
238,155
239,105
240,140
241,168
242,NA
243,NA
244,194
245,163
246,NA
247,221
248,191
249,NA
250,173
251,116
252,NA
253,241
254,NA
255,219
256,106
257,184
258,126
259,NA
260,NA
261,NA
262,122
263,182
264,NA
265,96
266,139
267,390
268,142
269,NA
270,NA
271,NA
272,77
273,103
274,NA
275,107
276,72
277,130
278,166
279,86
280,159
281,NA
282,60
283,139
284,62
285,56
286,181
287,63
288,149
289,48
290,64
291,111
292,64
293,53
294,NA
295,46
296,78
297,131
298,NA
299,103
300,47
301,NA
302,36
303,95
304,66
305,47
306,97
307,81
308,43
309,67
310,79
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,125
320,NA
321,152
322,144
323,242
324,142
325,101
326,162
327,87
328,49
329,112
330,205
331,100
332,NA
333,NA
334,94
335,97
336,127
337,110
338,143
339,83
340,90
341,122
342,66
343,41
344,90
345,75
346,55
347,63
348,24
349,49
350,143
351,104
352,57
353,NA
354,89
355,55
356,101
357,91
358,109
359,168
360,128
361,181
362,141
363,76
364,NA
365,NA
366,179
367,147
368,255
369,234
370,265
371,278
372,251
373,173
374,166
375,229
376,NA
377,125
378,95
379,132
380,103
381,138
382,105
383,132
384,88
385,94
386,89
387,95
388,108
389,124
390,129
391,83
392,NA
393,111
394,121
395,54
396,116
397,113
398,141
399,158
400,135
401,80
402,123
403,114
404,110
405,NA
406,100
407,116
408,186
409,143
410,151
411,125
412,183
413,104
414,204
415,102
416,163
417,44
418,68
419,146
420,175
421,106
422,152
423,92
424,NA
425,104
426,95
427,200
428,NA
429,NA
430,146
431,190
432,NA
433,73
434,NA
435,133
436,122
437,126
438,162
439,74
440,103
441,89
442,124
443,111
444,102
445,103
446,124
447,141
448,130
