,x
1,NA
2,297
3,762
4,338
5,361
6,407
7,323
8,256
9,223
10,1041
11,397
12,546
13,474
14,314
15,NA
16,319
17,483
18,NA
19,370
20,265
21,NA
22,260
23,NA
24,233
25,297
26,NA
27,82
28,312
29,256
30,364
31,NA
32,410
33,476
34,248
35,NA
36,NA
37,432
38,344
39,260
40,439
41,429
42,607
43,487
44,NA
45,427
46,NA
47,314
48,530
49,398
50,383
51,561
52,NA
53,719
54,NA
55,475
56,802
57,563
58,530
59,419
60,802
61,706
62,NA
63,497
64,652
65,437
66,1202
67,593
68,902
69,381
70,815
71,381
72,604
73,NA
74,564
75,671
76,594
77,359
78,932
79,488
80,1158
81,585
82,NA
83,540
84,485
85,NA
86,417
87,639
88,545
89,NA
90,500
91,40
92,1622
93,1149
94,1170
95,628
96,NA
97,778
98,NA
99,834
100,446
101,744
102,1015
103,NA
104,10
105,504
106,645
107,665
108,683
109,845
110,1021
111,788
112,NA
113,72
114,89
115,151
116,2778
117,2920
118,1222
119,2449
120,3207
121,1247
122,1085
123,1166
124,1192
125,1440
126,865
127,1141
128,1360
129,1125
130,1084
131,1012
132,819
133,681
134,1425
135,1168
136,769
137,1558
138,955
139,1342
140,881
141,988
142,1301
143,1130
144,1455
145,1258
146,921
147,727
148,95
149,620
150,3413
151,NA
152,479
153,NA
154,954
155,NA
156,NA
157,NA
158,NA
159,467
160,1100
161,1371
162,1222
163,NA
164,1278
165,553
166,NA
167,1245
168,1086
169,598
170,2060
171,1203
172,1190
173,1332
174,613
175,1773
176,1214
177,1001
178,999
179,713
180,1663
181,1148
182,1214
183,508
184,516
185,2032
186,1165
187,1110
188,1297
189,1214
190,1068
191,1257
192,1153
193,990
194,1275
195,1180
196,814
197,1981
198,1092
199,1281
200,1247
201,1329
202,1132
203,1274
204,694
205,1731
206,1254
207,1047
208,637
209,1125
210,1495
211,1260
212,1216
213,1379
214,1290
215,NA
216,58
217,2289
218,NA
219,1347
220,1293
221,1472
222,1233
223,1067
224,1293
225,1315
226,1255
227,1231
228,1432
229,1326
230,1292
231,1118
232,1310
233,1165
234,1366
235,993
236,1102
237,1265
238,NA
239,1184
240,1209
241,1317
242,1171
243,1430
244,1134
245,1103
246,1265
247,1368
248,1297
249,1371
250,87
251,2740
252,1219
253,1683
254,580
255,NA
256,895
257,NA
258,NA
259,NA
260,NA
261,18
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,183
269,121
270,228
271,NA
272,220
273,434
274,217
275,174
276,228
277,NA
278,169
279,61
280,246
281,190
282,254
283,81
284,246
285,241
286,214
287,172
288,15
289,200
290,223
291,49
292,233
293,207
294,193
295,250
296,NA
297,NA
298,208
299,253
300,251
301,NA
302,135
303,81
304,204
305,162
306,82
307,230
308,1
309,248
310,251
311,278
312,251
313,86
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,NA
361,NA
362,NA
363,NA
364,NA
365,NA
366,NA
367,NA
368,NA
369,NA
370,NA
371,NA
372,NA
373,NA
374,NA
375,NA
376,NA
377,NA
378,NA
379,NA
380,NA
381,NA
382,NA
383,NA
384,NA
385,NA
386,NA
387,NA
388,NA
389,NA
390,NA
391,NA
392,NA
393,NA
394,NA
395,NA
396,NA
397,NA
398,NA
399,NA
400,NA
401,NA
402,NA
403,NA
404,NA
405,NA
406,NA
407,NA
408,NA
409,NA
410,NA
411,NA
412,NA
413,NA
414,NA
415,NA
416,NA
417,NA
418,NA
419,NA
420,NA
421,NA
422,NA
423,NA
424,NA
425,NA
426,NA
427,NA
428,NA
429,NA
430,NA
431,NA
432,NA
433,NA
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,NA
448,NA
