,x
1,NA
2,1078
3,317
4,761
5,1743
6,NA
7,694
8,633
9,634
10,776
11,579
12,828
13,555
14,655
15,423
16,378
17,NA
18,1772
19,450
20,607
21,634
22,394
23,704
24,527
25,735
26,NA
27,280
28,425
29,682
30,523
31,565
32,454
33,683
34,619
35,730
36,178
37,543
38,533
39,867
40,1017
41,480
42,633
43,938
44,745
45,549
46,381
47,572
48,867
49,800
50,724
51,NA
52,NA
53,39
54,428
55,628
56,937
57,644
58,718
59,264
60,428
61,681
62,689
63,993
64,NA
65,1207
66,645
67,547
68,507
69,48
70,1033
71,769
72,959
73,479
74,NA
75,1233
76,NA
77,218
78,530
79,944
80,211
81,170
82,551
83,307
84,1234
85,200
86,121
87,1092
88,162
89,1905
90,614
91,441
92,72
93,NA
94,727
95,1
96,296
97,621
98,31
99,196
100,55
101,78
102,546
103,NA
104,127
105,588
106,NA
107,6
108,1208
109,324
110,218
111,478
112,113
113,4
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,178
121,188
122,271
123,272
124,413
125,NA
126,138
127,460
128,350
129,427
130,425
131,163
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,535
241,373
242,319
243,759
244,NA
245,688
246,718
247,699
248,620
249,114
250,579
251,548
252,755
253,NA
254,611
255,NA
256,149
257,686
258,342
259,676
260,662
261,767
262,1210
263,466
264,519
265,466
266,NA
267,902
268,1063
269,765
270,657
271,1099
272,839
273,588
274,285
275,NA
276,644
277,NA
278,NA
279,823
280,734
281,1446
282,919
283,413
284,615
285,715
286,864
287,NA
288,668
289,980
290,628
291,NA
292,684
293,851
294,531
295,1072
296,1175
297,NA
298,1228
299,1108
300,NA
301,1356
302,1458
303,1282
304,NA
305,1114
306,990
307,1390
308,NA
309,603
310,739
311,1288
312,1418
313,1002
314,1509
315,1431
316,915
317,NA
318,762
319,722
320,673
321,628
322,812
323,833
324,1246
325,805
326,785
327,503
328,730
329,916
330,NA
331,1122
332,1286
333,1378
334,1159
335,612
336,906
337,NA
338,805
339,601
340,733
341,NA
342,714
343,1000
344,606
345,NA
346,886
347,1000
348,631
349,812
350,741
351,NA
352,1331
353,1044
354,NA
355,1062
356,NA
357,932
358,NA
359,1214
360,103
361,NA
362,742
363,NA
364,486
365,NA
366,NA
367,NA
368,1511
369,790
370,NA
371,551
372,773
373,NA
374,1176
375,1038
376,1258
377,752
378,NA
379,NA
380,NA
381,NA
382,NA
383,237
384,807
385,949
386,703
387,NA
388,1071
389,1124
390,1103
391,NA
392,650
393,1180
394,1051
395,1004
396,NA
397,798
398,1299
399,629
400,504
401,364
402,642
403,947
404,1110
405,429
406,1366
407,1103
408,928
409,735
410,966
411,NA
412,749
413,554
414,599
415,1318
416,857
417,106
418,898
419,1141
420,NA
421,926
422,616
423,1384
424,689
425,684
426,889
427,797
428,1667
429,NA
430,1809
431,1239
432,1290
433,569
434,774
435,755
436,945
437,806
438,733
439,624
440,704
441,1054
442,1074
443,NA
444,553
445,NA
446,1409
447,1015
448,NA
