,x
1,NA
2,29
3,6
4,28
5,13
6,35
7,1
8,19
9,34
10,NA
11,17
12,NA
13,NA
14,NA
15,26
16,8
17,NA
18,18
19,8
20,1
21,NA
22,NA
23,NA
24,3
25,NA
26,7
27,2
28,5
29,17
30,23
31,10
32,14
33,6
34,11
35,20
36,11
37,22
38,NA
39,39
40,21
41,27
42,14
43,6
44,22
45,8
46,NA
47,12
48,7
49,5
50,10
51,NA
52,6
53,5
54,NA
55,NA
56,9
57,NA
58,23
59,NA
60,24
61,14
62,19
63,NA
64,13
65,3
66,33
67,26
68,NA
69,18
70,NA
71,8
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,6
79,6
80,NA
81,NA
82,2
83,7
84,NA
85,NA
86,NA
87,3
88,NA
89,4
90,NA
91,3
92,NA
93,18
94,NA
95,25
96,NA
97,6
98,NA
99,NA
100,NA
101,2
102,NA
103,NA
104,NA
105,NA
106,1
107,NA
108,4
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,4
117,NA
118,2
119,2
120,13
121,NA
122,NA
123,NA
124,2
125,NA
126,10
127,NA
128,7
129,NA
130,17
131,45
132,NA
133,NA
134,NA
135,15
136,NA
137,51
138,NA
139,NA
140,26
141,NA
142,25
143,NA
144,NA
145,32
146,NA
147,NA
148,4
149,NA
150,23
151,NA
152,1
153,NA
154,NA
155,NA
156,NA
157,NA
158,3
159,NA
160,NA
161,NA
162,NA
163,NA
164,13
165,NA
166,11
167,6
168,7
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,7
180,NA
181,NA
182,1
183,NA
184,12
185,10
186,NA
187,NA
188,12
189,29
190,NA
191,14
192,NA
193,NA
194,7
195,NA
196,22
197,NA
198,4
199,NA
200,NA
201,4
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,3
211,NA
212,7
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,44
220,3
221,NA
222,NA
223,12
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,32
232,42
233,NA
234,NA
235,41
236,3
237,NA
238,24
239,6
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,61
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,5
255,NA
256,NA
257,9
258,25
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,4
271,NA
272,NA
273,NA
274,NA
275,6
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,1
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,7
295,2
296,NA
297,NA
298,NA
299,NA
300,NA
301,6
302,NA
303,NA
304,7
305,NA
306,NA
307,NA
308,NA
309,5
310,NA
311,2
312,NA
313,3
314,NA
315,NA
316,1
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,4
330,1
331,3
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,9
343,9
344,NA
345,10
346,4
347,11
348,2
349,NA
350,NA
351,4
352,7
353,6
354,4
355,6
356,5
357,3
358,5
359,NA
360,1
361,1
362,4
363,2
364,NA
365,NA
366,NA
367,NA
368,1
369,1
370,3
371,6
372,NA
373,1
374,4
375,NA
376,NA
377,5
378,NA
379,1
380,2
381,1
382,1
383,NA
384,NA
385,NA
386,NA
387,3
388,1
389,2
390,4
391,NA
392,NA
393,2
394,11
395,4
396,5
397,2
398,1
399,NA
400,1
401,3
402,5
403,2
404,NA
405,NA
406,NA
407,3
408,3
409,2
410,4
411,4
412,NA
413,5
414,7
415,NA
416,NA
417,NA
418,NA
419,4
420,4
421,8
422,8
423,8
424,7
425,6
426,5
427,6
428,13
429,15
430,7
431,8
432,NA
433,6
434,NA
435,10
436,8
437,11
438,NA
439,8
440,11
441,13
442,NA
443,NA
444,5
445,5
446,NA
447,7
448,9
