,x
1,4
2,131
3,117
4,69
5,70
6,30
7,146
8,80
9,51
10,87
11,33
12,51
13,97
14,NA
15,103
16,52
17,121
18,38
19,45
20,101
21,102
22,40
23,55
24,60
25,45
26,NA
27,18
28,51
29,33
30,70
31,561
32,8
33,14
34,192
35,48
36,80
37,6
38,91
39,91
40,41
41,79
42,88
43,18
44,56
45,18
46,42
47,46
48,52
49,89
50,60
51,NA
52,56
53,115
54,4
55,44
56,59
57,10
58,13
59,43
60,12
61,31
62,145
63,62
64,58
65,121
66,27
67,18
68,208
69,506
70,439
71,274
72,91
73,75
74,49
75,54
76,112
77,48
78,79
79,64
80,45
81,107
82,85
83,77
84,54
85,83
86,81
87,136
88,84
89,117
90,67
91,79
92,77
93,93
94,76
95,87
96,69
97,9
98,1084
99,143
100,102
101,67
102,72
103,128
104,66
105,51
106,64
107,87
108,115
109,105
110,70
111,73
112,90
113,33
114,117
115,54
116,44
117,125
118,44
119,92
120,85
121,45
122,117
123,75
124,134
125,60
126,68
127,95
128,37
129,73
130,93
131,NA
132,74
133,126
134,53
135,74
136,113
137,33
138,42
139,155
140,92
141,51
142,94
143,50
144,19
145,NA
146,31
147,5
148,11
149,16
150,10
151,21
152,11
153,11
154,14
155,227
156,34
157,NA
158,NA
159,NA
160,NA
161,76
162,65
163,53
164,30
165,40
166,48
167,29
168,39
169,67
170,45
171,58
172,35
173,46
174,49
175,93
176,69
177,58
178,19
179,103
180,28
181,81
182,107
183,16
184,112
185,100
186,85
187,56
188,84
189,32
190,99
191,47
192,62
193,41
194,53
195,58
196,68
197,52
198,58
199,36
200,41
201,16
202,29
203,56
204,NA
205,NA
206,52
207,37
208,24
209,14
210,55
211,86
212,70
213,151
214,93
215,79
216,80
217,99
218,113
219,111
220,97
221,112
222,117
223,130
224,109
225,127
226,104
227,246
228,120
229,136
230,NA
231,71
232,122
233,1
234,105
235,136
236,134
237,97
238,89
239,103
240,137
241,271
242,121
243,159
244,144
245,82
246,153
247,140
248,178
249,130
250,129
251,165
252,146
253,134
254,130
255,154
256,107
257,143
258,156
259,134
260,88
261,73
262,247
263,169
264,152
265,160
266,260
267,223
268,156
269,147
270,146
271,130
272,167
273,183
274,170
275,198
276,158
277,149
278,150
279,163
280,167
281,211
282,149
283,125
284,137
285,NA
286,NA
287,NA
288,NA
289,306
290,233
291,176
292,173
293,180
294,207
295,183
296,184
297,100
298,180
299,172
300,189
301,202
302,198
303,174
304,185
305,177
306,330
307,155
308,103
309,159
310,272
311,169
312,176
313,105
314,127
315,187
316,172
317,142
318,241
319,238
320,244
321,137
322,161
323,228
324,206
325,210
326,157
327,243
328,192
329,236
330,194
331,246
332,267
333,244
334,190
335,161
336,232
337,249
338,234
339,12
340,NA
341,406
342,376
343,190
344,258
345,229
346,285
347,248
348,202
349,183
350,438
351,260
352,257
353,335
354,225
355,262
356,271
357,212
358,320
359,217
360,175
361,290
362,273
363,243
364,292
365,46
366,103
367,271
368,359
369,225
370,290
371,285
372,346
373,312
374,295
375,335
376,283
377,282
378,410
379,202
380,259
381,350
382,281
383,314
384,306
385,319
386,296
387,171
388,307
389,246
390,332
391,264
392,193
393,275
394,329
395,288
396,215
397,305
398,359
399,347
400,406
401,246
402,477
403,274
404,344
405,425
406,404
407,270
408,337
409,296
410,351
411,277
412,NA
413,177
414,271
415,286
416,242
417,98
418,54
419,241
420,376
421,312
422,345
423,356
424,478
425,436
426,347
427,332
428,342
429,358
430,264
431,305
432,361
433,363
434,313
435,338
436,280
437,303
438,332
439,139
440,289
441,NA
442,329
443,257
444,228
445,302
446,385
447,299
448,273
