,x
1,117
2,199
3,193
4,115
5,274
6,274
7,NA
8,161
9,175
10,143
11,208
12,246
13,195
14,203
15,253
16,NA
17,235
18,266
19,355
20,319
21,NA
22,217
23,340
24,249
25,91
26,NA
27,156
28,151
29,230
30,126
31,135
32,200
33,161
34,331
35,NA
36,177
37,275
38,413
39,348
40,209
41,375
42,NA
43,317
44,349
45,358
46,339
47,NA
48,NA
49,NA
50,302
51,374
52,NA
53,325
54,NA
55,168
56,254
57,222
58,146
59,NA
60,215
61,283
62,393
63,NA
64,472
65,428
66,129
67,107
68,270
69,NA
70,243
71,170
72,NA
73,260
74,NA
75,265
76,198
77,280
78,197
79,NA
80,293
81,293
82,314
83,287
84,302
85,415
86,419
87,NA
88,252
89,311
90,236
91,205
92,184
93,267
94,NA
95,210
96,156
97,83
98,148
99,160
100,318
101,216
102,235
103,NA
104,NA
105,230
106,235
107,NA
108,131
109,267
110,195
111,224
112,NA
113,165
114,276
115,272
116,395
117,259
118,281
119,346
120,221
121,206
122,313
123,220
124,148
125,196
126,146
127,114
128,223
129,251
130,209
131,120
132,125
133,137
134,NA
135,120
136,NA
137,57
138,157
139,159
140,77
141,126
142,23
143,14
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,46
157,NA
158,NA
159,57
160,68
161,40
162,69
163,63
164,159
165,122
166,102
167,82
168,104
169,98
170,80
171,63
172,69
173,90
174,77
175,10
176,20
177,NA
178,80
179,NA
180,63
181,25
182,2737
183,549
184,NA
185,21
186,1562
187,154
188,281
189,207
190,255
191,243
192,291
193,16
194,402
195,236
196,292
197,198
198,157
199,198
200,225
201,190
202,30
203,345
204,48
205,310
206,229
207,219
208,NA
209,47
210,1306
211,44
212,341
213,14
214,388
215,NA
216,228
217,221
218,206
219,228
220,311
221,41
222,374
223,213
224,196
225,269
226,205
227,223
228,273
229,263
230,255
231,199
232,NA
233,176
234,256
235,226
236,141
237,227
238,251
239,20
240,1346
241,189
242,NA
243,441
244,NA
245,221
246,93
247,448
248,66
249,438
250,257
251,223
252,224
253,288
254,73
255,421
256,239
257,NA
258,316
259,103
260,38
261,618
262,1
263,296
264,253
265,59
266,10
267,590
268,297
269,206
270,NA
271,NA
272,212
273,NA
274,NA
275,231
276,237
277,228
278,205
279,206
280,251
281,313
282,61
283,366
284,77
285,249
286,NA
287,NA
288,NA
289,NA
290,48
291,103
292,443
293,57
294,668
295,48
296,436
297,24
298,152
299,NA
300,NA
301,132
302,NA
303,111
304,79
305,53
306,49
307,NA
308,13
309,103
310,48
311,99
312,NA
313,NA
314,18
315,66
316,149
317,94
318,140
319,54
320,87
321,61
322,79
323,112
324,NA
325,NA
326,NA
327,NA
328,305
329,NA
330,NA
331,NA
332,NA
333,102
334,NA
335,NA
336,NA
337,NA
338,NA
339,5
340,4
341,4
342,4
343,2
344,1
345,7
346,NA
347,10
348,23
349,12
350,43
351,3
352,2
353,7
354,3
355,NA
356,2
357,2
358,4
359,4
360,7
361,3
362,1
363,2
364,NA
365,6
366,9
367,NA
368,264
369,192
370,216
371,293
372,261
373,188
374,296
375,209
376,257
377,246
378,214
379,218
380,268
381,313
382,360
383,37
384,64
385,50
386,52
387,35
388,49
389,38
390,56
391,48
392,28
393,49
394,60
395,56
396,11
397,70
398,64
399,NA
400,56
401,36
402,15
403,NA
404,43
405,42
406,39
407,53
408,50
409,49
410,49
411,38
412,45
413,20
414,24
415,37
416,53
417,10
418,26
419,67
420,NA
421,29
422,51
423,34
424,47
425,33
426,16
427,NA
428,NA
429,NA
430,NA
431,NA
432,NA
433,NA
434,NA
435,NA
436,NA
437,51
438,48
439,17
440,57
441,47
442,55
443,75
444,24
445,59
446,58
447,62
448,73
