,x
1,NA
2,138
3,178
4,204
5,183
6,NA
7,NA
8,174
9,190
10,199
11,243
12,205
13,278
14,121
15,158
16,196
17,241
18,150
19,157
20,161
21,237
22,162
23,154
24,NA
25,149
26,208
27,NA
28,NA
29,NA
30,125
31,NA
32,NA
33,250
34,171
35,255
36,178
37,141
38,138
39,NA
40,NA
41,307
42,158
43,121
44,309
45,119
46,90
47,209
48,286
49,255
50,130
51,NA
52,NA
53,NA
54,NA
55,NA
56,173
57,394
58,145
59,196
60,185
61,160
62,204
63,156
64,114
65,332
66,153
67,150
68,172
69,144
70,191
71,138
72,299
73,133
74,NA
75,223
76,152
77,219
78,248
79,155
80,181
81,193
82,NA
83,262
84,141
85,NA
86,NA
87,234
88,146
89,127
90,NA
91,171
92,305
93,260
94,100
95,181
96,239
97,193
98,134
99,65
100,284
101,304
102,200
103,NA
104,87
105,134
106,201
107,218
108,219
109,219
110,179
111,274
112,133
113,223
114,187
115,166
116,231
117,244
118,258
119,160
120,129
121,317
122,193
123,166
124,143
125,226
126,155
127,150
128,165
129,150
130,163
131,207
132,207
133,130
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,254
142,124
143,287
144,NA
145,142
146,223
147,184
148,212
149,NA
150,114
151,631
152,415
153,267
154,203
155,NA
156,167
157,NA
158,NA
159,154
160,185
161,268
162,186
163,180
164,294
165,199
166,260
167,222
168,144
169,217
170,NA
171,224
172,252
173,NA
174,298
175,178
176,251
177,NA
178,223
179,131
180,256
181,251
182,172
183,187
184,204
185,223
186,NA
187,NA
188,138
189,279
190,202
191,NA
192,115
193,375
194,NA
195,137
196,391
197,168
198,NA
199,302
200,389
201,230
202,148
203,270
204,182
205,292
206,158
207,NA
208,214
209,468
210,NA
211,NA
212,189
213,249
214,306
215,NA
216,153
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,72
249,NA
250,139
251,127
252,216
253,NA
254,187
255,156
256,179
257,282
258,342
259,193
260,NA
261,291
262,136
263,169
264,83
265,142
266,107
267,124
268,138
269,111
270,197
271,190
272,NA
273,302
274,189
275,280
276,283
277,195
278,179
279,188
280,258
281,260
282,NA
283,NA
284,294
285,276
286,261
287,257
288,147
289,229
290,254
291,277
292,245
293,243
294,189
295,287
296,244
297,221
298,279
299,305
300,NA
301,317
302,NA
303,NA
304,284
305,NA
306,NA
307,NA
308,225
309,264
310,298
311,204
312,250
313,NA
314,246
315,NA
316,223
317,300
318,NA
319,NA
320,272
321,190
322,332
323,NA
324,251
325,318
326,230
327,121
328,248
329,233
330,249
331,242
332,265
333,260
334,NA
335,237
336,244
337,264
338,220
339,204
340,152
341,217
342,262
343,236
344,240
345,247
346,NA
347,217
348,248
349,238
350,256
351,328
352,303
353,286
354,276
355,279
356,288
357,194
358,237
359,260
360,224
361,178
362,195
363,213
364,NA
365,115
366,132
367,193
368,199
369,292
370,277
371,214
372,262
373,285
374,298
375,289
376,238
377,251
378,366
379,209
380,273
381,283
382,261
383,331
384,294
385,466
386,285
387,NA
388,270
389,298
390,273
391,294
392,158
393,282
394,198
395,325
396,280
397,213
398,260
399,286
400,NA
401,174
402,311
403,278
404,252
405,294
406,276
407,164
408,290
409,265
410,212
411,220
412,333
413,206
414,267
415,263
416,334
417,NA
418,199
419,301
420,299
421,223
422,NA
423,249
424,314
425,257
426,316
427,206
428,327
429,305
430,305
431,231
432,262
433,387
434,352
435,343
436,242
437,373
438,272
439,252
440,315
441,246
442,333
443,301
444,177
445,283
446,294
447,224
448,295
