,x
1,253
2,572
3,381
4,453
5,542
6,425
7,312
8,448
9,647
10,611
11,608
12,533
13,626
14,480
15,570
16,477
17,526
18,468
19,386
20,495
21,345
22,514
23,584
24,481
25,501
26,357
27,176
28,666
29,NA
30,603
31,556
32,598
33,577
34,624
35,491
36,463
37,447
38,574
39,627
40,460
41,507
42,579
43,472
44,560
45,257
46,NA
47,211
48,654
49,347
50,430
51,324
52,343
53,10
54,NA
55,419
56,549
57,664
58,561
59,482
60,494
61,NA
62,570
63,491
64,514
65,539
66,483
67,438
68,531
69,420
70,484
71,1465
72,360
73,483
74,393
75,491
76,555
77,584
78,380
79,501
80,343
81,401
82,657
83,443
84,527
85,439
86,582
87,NA
88,448
89,576
90,444
91,414
92,191
93,166
94,472
95,496
96,533
97,625
98,246
99,206
100,725
101,644
102,NA
103,400
104,209
105,510
106,435
107,507
108,497
109,332
110,597
111,NA
112,501
113,497
114,449
115,582
116,534
117,463
118,550
119,126
120,549
121,125
122,546
123,513
124,542
125,622
126,438
127,510
128,610
129,499
130,421
131,290
132,426
133,427
134,455
135,671
136,551
137,417
138,493
139,556
140,367
141,450
142,501
143,644
144,618
145,313
146,752
147,578
148,633
149,290
150,548
151,565
152,439
153,491
154,442
155,526
156,322
157,NA
158,170
159,70
160,351
161,554
162,554
163,366
164,490
165,564
166,488
167,547
168,107
169,394
170,358
171,578
172,676
173,483
174,455
175,639
176,545
177,321
178,290
179,456
180,492
181,282
182,NA
183,402
184,553
185,575
186,585
187,438
188,563
189,515
190,467
191,561
192,439
193,377
194,334
195,553
196,449
197,508
198,467
199,529
200,652
201,548
202,437
203,483
204,293
205,551
206,541
207,494
208,485
209,450
210,390
211,509
212,517
213,526
214,651
215,405
216,447
217,406
218,518
219,465
220,612
221,501
222,358
223,477
224,561
225,568
226,522
227,523
228,530
229,580
230,606
231,399
232,423
233,531
234,429
235,560
236,398
237,478
238,564
239,546
240,508
241,544
242,553
243,642
244,592
245,499
246,423
247,689
248,518
249,518
250,548
251,541
252,669
253,534
254,594
255,636
256,483
257,550
258,625
259,707
260,487
261,456
262,448
263,832
264,538
265,567
266,558
267,537
268,598
269,526
270,810
271,656
272,579
273,831
274,648
275,752
276,783
277,618
278,634
279,697
280,737
281,535
282,880
283,477
284,606
285,604
286,690
287,632
288,532
289,646
290,772
291,613
292,796
293,619
294,939
295,690
296,717
297,654
298,752
299,751
300,856
301,770
302,733
303,840
304,809
305,724
306,652
307,458
308,381
309,725
310,751
311,808
312,574
313,596
314,417
315,809
316,870
317,949
318,761
319,861
320,795
321,669
322,831
323,578
324,774
325,832
326,872
327,610
328,900
329,896
330,588
331,896
332,856
333,877
334,836
335,715
336,981
337,844
338,863
339,643
340,708
341,877
342,809
343,888
344,712
345,825
346,971
347,1011
348,875
349,680
350,1137
351,950
352,918
353,843
354,852
355,869
356,NA
357,931
358,875
359,828
360,695
361,795
362,945
363,791
364,849
365,611
366,465
367,981
368,980
369,866
370,1261
371,904
372,868
373,852
374,943
375,972
376,827
377,597
378,947
379,673
380,887
381,883
382,955
383,1020
384,464
385,916
386,814
387,663
388,796
389,858
390,902
391,948
392,648
393,958
394,958
395,976
396,809
397,1041
398,794
399,801
400,952
401,655
402,811
403,841
404,944
405,999
406,884
407,890
408,867
409,783
410,903
411,869
412,957
413,639
414,725
415,825
416,808
417,576
418,579
419,864
420,1099
421,897
422,1000
423,902
424,738
425,839
426,797
427,819
428,878
429,780
430,871
431,720
432,398
433,682
434,NA
435,703
436,795
437,723
438,708
439,917
440,1069
441,686
442,1043
443,788
444,417
445,837
446,574
447,958
448,852
