,x
1,NA
2,55
3,NA
4,104
5,NA
6,126
7,NA
8,NA
9,NA
10,102
11,100
12,NA
13,39
14,NA
15,58
16,35
17,NA
18,162
19,NA
20,39
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,163
46,NA
47,NA
48,77
49,198
50,92
51,135
52,NA
53,95
54,NA
55,146
56,236
57,193
58,NA
59,NA
60,157
61,228
62,217
63,196
64,NA
65,210
66,NA
67,128
68,137
69,87
70,147
71,150
72,161
73,229
74,NA
75,NA
76,108
77,233
78,42
79,171
80,124
81,NA
82,NA
83,84
84,NA
85,547
86,152
87,121
88,NA
89,77
90,271
91,117
92,NA
93,90
94,164
95,89
96,136
97,104
98,43
99,NA
100,NA
101,618
102,284
103,NA
104,113
105,NA
106,99
107,NA
108,101
109,69
110,NA
111,225
112,75
113,113
114,NA
115,295
116,46
117,82
118,154
119,105
120,219
121,337
122,210
123,163
124,190
125,110
126,147
127,148
128,NA
129,207
130,94
131,116
132,184
133,NA
134,NA
135,110
136,272
137,209
138,103
139,116
140,NA
141,104
142,145
143,NA
144,77
145,106
146,216
147,NA
148,NA
149,76
150,115
151,97
152,44
153,NA
154,122
155,81
156,NA
157,NA
158,53
159,NA
160,102
161,252
162,100
163,234
164,162
165,63
166,180
167,197
168,180
169,174
170,134
171,154
172,59
173,159
174,141
175,173
176,NA
177,167
178,166
179,103
180,124
181,202
182,NA
183,334
184,NA
185,203
186,136
187,182
188,180
189,112
190,NA
191,121
192,NA
193,NA
194,NA
195,169
196,NA
197,83
198,172
199,115
200,246
201,59
202,185
203,NA
204,NA
205,70
206,260
207,NA
208,NA
209,60
210,75
211,93
212,92
213,NA
214,170
215,NA
216,49
217,271
218,120
219,80
220,172
221,NA
222,198
223,75
224,135
225,93
226,NA
227,90
228,83
229,NA
230,NA
231,92
232,NA
233,147
234,NA
235,NA
236,76
237,NA
238,NA
239,NA
240,204
241,103
242,122
243,NA
244,85
245,56
246,90
247,195
248,118
249,NA
250,92
251,72
252,NA
253,254
254,86
255,104
256,64
257,NA
258,NA
259,NA
260,NA
261,NA
262,116
263,NA
264,NA
265,NA
266,83
267,87
268,172
269,95
270,76
271,112
272,NA
273,123
274,136
275,150
276,114
277,22
278,NA
279,NA
280,NA
281,119
282,118
283,58
284,127
285,NA
286,164
287,NA
288,68
289,82
290,NA
291,NA
292,1
293,115
294,NA
295,NA
296,122
297,66
298,115
299,66
300,180
301,69
302,100
303,111
304,NA
305,63
306,118
307,130
308,57
309,74
310,103
311,NA
312,NA
313,178
314,NA
315,14
316,NA
317,239
318,256
319,66
320,197
321,176
322,NA
323,NA
324,176
325,76
326,33
327,129
328,69
329,212
330,289
331,NA
332,107
333,112
334,NA
335,115
336,104
337,106
338,NA
339,23
340,NA
341,109
342,68
343,NA
344,NA
345,34
346,118
347,99
348,NA
349,176
350,NA
351,158
352,128
353,117
354,36
355,75
356,7
357,170
358,78
359,215
360,117
361,308
362,95
363,176
364,NA
365,NA
366,NA
367,25
368,NA
369,62
370,119
371,NA
372,115
373,176
374,108
375,99
376,154
377,122
378,14
379,150
380,178
381,172
382,77
383,NA
384,127
385,154
386,91
387,185
388,110
389,70
390,95
391,NA
392,31
393,93
394,111
395,66
396,NA
397,NA
398,NA
399,170
400,172
401,17
402,171
403,203
404,157
405,NA
406,NA
407,167
408,123
409,64
410,270
411,68
412,NA
413,56
414,91
415,188
416,NA
417,NA
418,NA
419,NA
420,122
421,57
422,NA
423,NA
424,NA
425,NA
426,211
427,NA
428,NA
429,105
430,91
431,NA
432,NA
433,93
434,NA
435,NA
436,118
437,191
438,83
439,60
440,46
441,NA
442,61
443,56
444,95
445,NA
446,NA
447,NA
448,NA
