,x
1,70
2,74
3,57
4,65
5,67
6,54
7,59
8,68
9,56
10,67
11,51
12,NA
13,74
14,79
15,55
16,69
17,57
18,72
19,64
20,53
21,NA
22,55
23,95
24,80
25,66
26,NA
27,44
28,43
29,68
30,81
31,33
32,12
33,63
34,40
35,55
36,NA
37,NA
38,13
39,100
40,NA
41,107
42,89
43,72
44,27
45,83
46,25
47,19
48,3
49,57
50,106
51,NA
52,81
53,NA
54,NA
55,43
56,60
57,78
58,95
59,62
60,67
61,68
62,64
63,77
64,61
65,42
66,69
67,45
68,22
69,98
70,79
71,68
72,69
73,72
74,72
75,40
76,50
77,1
78,7
79,19
80,86
81,62
82,81
83,67
84,39
85,79
86,62
87,73
88,NA
89,33
90,32
91,98
92,NA
93,53
94,NA
95,53
96,78
97,89
98,71
99,53
100,90
101,53
102,54
103,36
104,82
105,53
106,21
107,56
108,NA
109,61
110,91
111,48
112,54
113,84
114,NA
115,60
116,49
117,43
118,65
119,71
120,55
121,65
122,NA
123,63
124,40
125,NA
126,20
127,NA
128,54
129,38
130,60
131,NA
132,38
133,51
134,72
135,11
136,64
137,56
138,NA
139,NA
140,35
141,71
142,79
143,14
144,27
145,46
146,9
147,104
148,NA
149,88
150,46
151,NA
152,100
153,153
154,134
155,73
156,60
157,NA
158,29
159,NA
160,59
161,42
162,49
163,54
164,46
165,99
166,41
167,45
168,68
169,40
170,33
171,48
172,115
173,244
174,NA
175,68
176,31
177,62
178,NA
179,49
180,26
181,NA
182,12
183,NA
184,52
185,NA
186,101
187,NA
188,78
189,56
190,93
191,94
192,NA
193,69
194,93
195,60
196,70
197,72
198,64
199,NA
200,102
201,60
202,71
203,58
204,41
205,51
206,44
207,70
208,59
209,48
210,NA
211,43
212,73
213,62
214,NA
215,57
216,71
217,NA
218,53
219,53
220,81
221,48
222,47
223,28
224,99
225,115
226,92
227,71
228,72
229,67
230,87
231,57
232,NA
233,71
234,66
235,81
236,48
237,NA
238,NA
239,40
240,32
241,70
242,20
243,46
244,NA
245,95
246,NA
247,103
248,71
249,49
250,22
251,58
252,NA
253,42
254,NA
255,62
256,56
257,118
258,87
259,19
260,NA
261,NA
262,47
263,NA
264,43
265,108
266,135
267,143
268,94
269,154
270,111
271,121
272,51
273,95
274,49
275,57
276,82
277,NA
278,92
279,66
280,51
281,NA
282,NA
283,NA
284,39
285,78
286,78
287,104
288,NA
289,75
290,104
291,NA
292,NA
293,NA
294,31
295,76
296,89
297,76
298,80
299,NA
300,33
301,NA
302,80
303,NA
304,15
305,91
306,98
307,104
308,NA
309,49
310,57
311,137
312,NA
313,58
314,NA
315,NA
316,79
317,NA
318,143
319,99
320,121
321,90
322,150
323,16
324,NA
325,25
326,88
327,NA
328,138
329,157
330,NA
331,82
332,88
333,73
334,103
335,NA
336,48
337,84
338,NA
339,NA
340,8
341,58
342,NA
343,43
344,NA
345,NA
346,87
347,NA
348,NA
349,17
350,NA
351,105
352,139
353,34
354,69
355,156
356,NA
357,28
358,NA
359,NA
360,21
361,NA
362,88
363,NA
364,99
365,65
366,NA
367,77
368,NA
369,118
370,52
371,NA
372,161
373,NA
374,NA
375,71
376,99
377,NA
378,114
379,76
380,NA
381,99
382,67
383,72
384,72
385,NA
386,79
387,79
388,91
389,50
390,NA
391,60
392,NA
393,80
394,86
395,NA
396,81
397,NA
398,41
399,NA
400,107
401,91
402,NA
403,NA
404,102
405,112
406,NA
407,66
408,NA
409,100
410,NA
411,87
412,NA
413,110
414,NA
415,73
416,116
417,NA
418,75
419,NA
420,88
421,NA
422,NA
423,43
424,NA
425,80
426,NA
427,NA
428,135
429,NA
430,114
431,NA
432,59
433,80
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,128
441,NA
442,NA
443,72
444,NA
445,NA
446,NA
447,77
448,NA
