,x
1,NA
2,NA
3,212
4,NA
5,NA
6,NA
7,204
8,308
9,453
10,180
11,147
12,316
13,1306
14,541
15,249
16,734
17,388
18,286
19,266
20,345
21,233
22,319
23,308
24,259
25,311
26,NA
27,120
28,368
29,271
30,1079
31,362
32,208
33,NA
34,243
35,NA
36,140
37,338
38,359
39,505
40,349
41,NA
42,351
43,463
44,379
45,254
46,557
47,108
48,448
49,583
50,330
51,NA
52,330
53,399
54,504
55,501
56,507
57,509
58,438
59,541
60,453
61,522
62,545
63,483
64,NA
65,404
66,609
67,493
68,447
69,1944
70,470
71,NA
72,569
73,353
74,270
75,NA
76,NA
77,955
78,NA
79,NA
80,816
81,NA
82,1130
83,863
84,736
85,777
86,797
87,644
88,250
89,901
90,447
91,201
92,922
93,639
94,553
95,658
96,531
97,155
98,NA
99,31
100,589
101,451
102,1383
103,NA
104,NA
105,280
106,399
107,996
108,424
109,753
110,661
111,534
112,423
113,232
114,38
115,29
116,73
117,41
118,3155
119,NA
120,517
121,458
122,780
123,732
124,NA
125,430
126,283
127,686
128,750
129,515
130,NA
131,614
132,401
133,661
134,611
135,426
136,43
137,978
138,NA
139,NA
140,994
141,363
142,687
143,753
144,511
145,725
146,731
147,593
148,NA
149,26
150,514
151,NA
152,209
153,722
154,882
155,NA
156,NA
157,NA
158,840
159,NA
160,95
161,877
162,623
163,571
164,NA
165,608
166,NA
167,603
168,717
169,589
170,662
171,NA
172,686
173,2
174,NA
175,491
176,334
177,672
178,671
179,NA
180,NA
181,33
182,1474
183,576
184,536
185,NA
186,628
187,612
188,582
189,519
190,556
191,592
192,NA
193,NA
194,580
195,599
196,554
197,419
198,628
199,615
200,474
201,NA
202,447
203,NA
204,344
205,641
206,518
207,NA
208,NA
209,317
210,488
211,623
212,446
213,556
214,587
215,603
216,420
217,669
218,NA
219,687
220,525
221,585
222,518
223,616
224,636
225,643
226,553
227,NA
228,516
229,628
230,584
231,538
232,727
233,476
234,752
235,679
236,437
237,762
238,565
239,529
240,414
241,714
242,608
243,541
244,560
245,515
246,732
247,653
248,606
249,352
250,824
251,742
252,746
253,NA
254,534
255,NA
256,265
257,590
258,554
259,846
260,NA
261,200
262,NA
263,334
264,492
265,743
266,NA
267,606
268,641
269,478
270,701
271,NA
272,461
273,522
274,477
275,752
276,593
277,392
278,947
279,492
280,443
281,735
282,715
283,508
284,715
285,622
286,392
287,493
288,484
289,NA
290,523
291,438
292,594
293,387
294,465
295,502
296,458
297,497
298,571
299,520
300,NA
301,603
302,927
303,796
304,401
305,511
306,379
307,606
308,415
309,669
310,822
311,626
312,NA
313,1336
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,7
321,478
322,502
323,666
324,NA
325,523
326,597
327,421
328,725
329,548
330,432
331,593
332,NA
333,486
334,NA
335,567
336,496
337,NA
338,NA
339,NA
340,NA
341,470
342,NA
343,NA
344,NA
345,590
346,NA
347,NA
348,NA
349,NA
350,918
351,NA
352,579
353,NA
354,469
355,650
356,NA
357,NA
358,470
359,NA
360,298
361,NA
362,503
363,NA
364,NA
365,NA
366,367
367,NA
368,NA
369,569
370,604
371,713
372,NA
373,NA
374,NA
375,567
376,NA
377,NA
378,NA
379,NA
380,591
381,483
382,548
383,500
384,NA
385,589
386,NA
387,NA
388,574
389,495
390,410
391,NA
392,NA
393,701
394,270
395,770
396,463
397,NA
398,NA
399,533
400,457
401,586
402,483
403,563
404,560
405,643
406,314
407,604
408,473
409,599
410,NA
411,568
412,NA
413,239
414,668
415,471
416,NA
417,NA
418,929
419,NA
420,449
421,NA
422,378
423,NA
424,161
425,552
426,542
427,586
428,540
429,425
430,NA
431,NA
432,476
433,523
434,494
435,486
436,NA
437,595
438,NA
439,645
440,535
441,590
442,629
443,461
444,476
445,642
446,534
447,NA
448,864
