,x
1,NA
2,NA
3,NA
4,120
5,NA
6,68
7,55
8,41
9,59
10,53
11,62
12,33
13,61
14,35
15,71
16,36
17,85
18,57
19,39
20,57
21,52
22,NA
23,48
24,55
25,44
26,NA
27,25
28,53
29,67
30,46
31,NA
32,58
33,46
34,52
35,51
36,53
37,52
38,51
39,54
40,64
41,48
42,52
43,55
44,33
45,NA
46,NA
47,48
48,57
49,86
50,61
51,58
52,NA
53,37
54,45
55,52
56,47
57,46
58,67
59,55
60,49
61,49
62,40
63,36
64,43
65,51
66,60
67,51
68,37
69,61
70,41
71,52
72,43
73,57
74,44
75,47
76,NA
77,51
78,NA
79,35
80,63
81,36
82,77
83,39
84,42
85,64
86,NA
87,79
88,30
89,65
90,60
91,52
92,46
93,55
94,42
95,NA
96,42
97,57
98,46
99,39
100,67
101,66
102,55
103,NA
104,56
105,37
106,NA
107,NA
108,52
109,78
110,57
111,43
112,50
113,52
114,50
115,36
116,53
117,65
118,59
119,66
120,53
121,62
122,56
123,NA
124,50
125,50
126,44
127,NA
128,67
129,53
130,NA
131,44
132,43
133,54
134,NA
135,54
136,47
137,NA
138,61
139,NA
140,56
141,70
142,58
143,69
144,NA
145,NA
146,43
147,64
148,NA
149,NA
150,52
151,57
152,52
153,64
154,67
155,NA
156,NA
157,NA
158,55
159,65
160,59
161,77
162,59
163,56
164,56
165,57
166,52
167,67
168,53
169,54
170,52
171,49
172,55
173,77
174,59
175,46
176,75
177,NA
178,40
179,60
180,59
181,66
182,60
183,39
184,68
185,55
186,59
187,54
188,53
189,NA
190,53
191,81
192,NA
193,NA
194,63
195,NA
196,1
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,11
239,18
240,10
241,17
242,11
243,14
244,6
245,17
246,13
247,19
248,15
249,1
250,13
251,21
252,17
253,17
254,17
255,NA
256,7
257,21
258,18
259,NA
260,NA
261,5
262,27
263,12
264,19
265,28
266,21
267,25
268,21
269,14
270,10
271,19
272,2
273,17
274,NA
275,NA
276,NA
277,NA
278,20
279,13
280,23
281,NA
282,5
283,7
284,14
285,21
286,19
287,9
288,NA
289,19
290,NA
291,27
292,26
293,21
294,28
295,22
296,17
297,8
298,17
299,NA
300,NA
301,6
302,26
303,24
304,NA
305,21
306,26
307,NA
308,15
309,13
310,22
311,32
312,25
313,NA
314,10
315,NA
316,28
317,26
318,NA
319,9
320,17
321,18
322,21
323,NA
324,NA
325,18
326,20
327,8
328,NA
329,6
330,15
331,NA
332,24
333,25
334,NA
335,NA
336,15
337,9
338,1
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,32
351,27
352,21
353,NA
354,NA
355,NA
356,24
357,NA
358,7
359,NA
360,15
361,27
362,30
363,11
364,NA
365,NA
366,NA
367,NA
368,19
369,29
370,31
371,20
372,12
373,24
374,28
375,24
376,20
377,NA
378,14
379,25
380,13
381,18
382,29
383,36
384,19
385,NA
386,7
387,NA
388,NA
389,24
390,32
391,NA
392,4
393,16
394,9
395,13
396,30
397,13
398,23
399,25
400,3
401,23
402,20
403,24
404,7
405,13
406,24
407,20
408,19
409,NA
410,23
411,NA
412,NA
413,NA
414,NA
415,38
416,NA
417,NA
418,20
419,38
420,31
421,34
422,29
423,32
424,29
425,25
426,37
427,2
428,4
429,10
430,30
431,22
432,NA
433,8
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,NA
448,NA
