,x
1,NA
2,428
3,414
4,599
5,539
6,448
7,510
8,NA
9,517
10,483
11,522
12,433
13,506
14,483
15,64
16,529
17,472
18,NA
19,435
20,488
21,434
22,275
23,497
24,361
25,524
26,NA
27,291
28,535
29,517
30,519
31,522
32,527
33,532
34,496
35,538
36,346
37,548
38,572
39,17
40,548
41,507
42,502
43,NA
44,487
45,483
46,509
47,324
48,564
49,490
50,NA
51,472
52,255
53,159
54,477
55,498
56,644
57,519
58,570
59,623
60,444
61,654
62,720
63,612
64,585
65,576
66,492
67,553
68,437
69,585
70,483
71,546
72,464
73,521
74,459
75,466
76,486
77,581
78,NA
79,424
80,442
81,499
82,492
83,577
84,486
85,513
86,499
87,515
88,472
89,586
90,721
91,591
92,384
93,418
94,551
95,534
96,532
97,583
98,335
99,313
100,612
101,428
102,503
103,NA
104,287
105,312
106,529
107,536
108,482
109,542
110,606
111,NA
112,484
113,595
114,554
115,25
116,531
117,484
118,653
119,489
120,519
121,568
122,530
123,541
124,537
125,423
126,417
127,534
128,512
129,445
130,476
131,411
132,445
133,438
134,453
135,779
136,542
137,589
138,NA
139,525
140,536
141,762
142,707
143,56
144,415
145,577
146,427
147,615
148,591
149,587
150,450
151,517
152,312
153,615
154,569
155,507
156,203
157,NA
158,580
159,555
160,NA
161,480
162,659
163,544
164,26
165,782
166,642
167,614
168,552
169,562
170,640
171,566
172,626
173,560
174,474
175,473
176,640
177,579
178,366
179,632
180,535
181,443
182,639
183,511
184,582
185,469
186,490
187,650
188,674
189,637
190,729
191,651
192,625
193,536
194,635
195,648
196,478
197,595
198,696
199,592
200,485
201,556
202,502
203,655
204,383
205,610
206,423
207,694
208,375
209,299
210,478
211,589
212,450
213,557
214,474
215,632
216,526
217,605
218,539
219,652
220,678
221,445
222,NA
223,NA
224,382
225,422
226,475
227,NA
228,NA
229,581
230,518
231,387
232,474
233,554
234,504
235,462
236,339
237,459
238,NA
239,219
240,186
241,242
242,256
243,274
244,NA
245,165
246,255
247,273
248,179
249,250
250,249
251,282
252,297
253,323
254,NA
255,219
256,150
257,100
258,162
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,320
267,260
268,217
269,262
270,283
271,241
272,311
273,260
274,285
275,345
276,294
277,153
278,270
279,343
280,324
281,253
282,290
283,224
284,272
285,256
286,258
287,324
288,192
289,219
290,235
291,308
292,270
293,251
294,310
295,336
296,308
297,150
298,271
299,288
300,326
301,275
302,261
303,211
304,259
305,49
306,217
307,259
308,135
309,305
310,191
311,242
312,232
313,73
314,194
315,342
316,123
317,372
318,324
319,328
320,224
321,220
322,225
323,324
324,266
325,327
326,243
327,45
328,249
329,182
330,235
331,213
332,313
333,172
334,230
335,207
336,196
337,312
338,233
339,273
340,142
341,355
342,300
343,276
344,269
345,274
346,262
347,253
348,267
349,238
350,266
351,286
352,186
353,224
354,193
355,301
356,247
357,255
358,239
359,234
360,212
361,223
362,232
363,277
364,242
365,54
366,NA
367,NA
368,NA
369,NA
370,NA
371,18
372,NA
373,201
374,287
375,41
376,231
377,245
378,107
379,180
380,178
381,213
382,248
383,157
384,263
385,197
386,216
387,153
388,73
389,180
390,223
391,149
392,166
393,208
394,151
395,173
396,372
397,NA
398,248
399,253
400,253
401,NA
402,249
403,308
404,218
405,265
406,213
407,251
408,250
409,196
410,216
411,105
412,221
413,91
414,188
415,97
416,254
417,NA
418,124
419,255
420,202
421,237
422,207
423,302
424,196
425,162
426,195
427,123
428,171
429,196
430,262
431,185
432,278
433,144
434,277
435,267
436,160
437,173
438,150
439,130
440,204
441,160
442,215
443,218
444,115
445,152
446,186
447,248
448,215
