,x
1,NA
2,NA
3,510
4,744
5,NA
6,789
7,NA
8,NA
9,967
10,NA
11,NA
12,802
13,NA
14,1130
15,NA
16,NA
17,1040
18,475
19,915
20,936
21,254
22,520
23,723
24,775
25,854
26,NA
27,NA
28,739
29,37
30,740
31,953
32,NA
33,1419
34,906
35,731
36,588
37,1367
38,1008
39,1223
40,NA
41,950
42,916
43,NA
44,749
45,670
46,NA
47,NA
48,816
49,751
50,230
51,NA
52,NA
53,762
54,NA
55,424
56,592
57,570
58,827
59,857
60,NA
61,698
62,NA
63,909
64,988
65,949
66,997
67,728
68,1191
69,1198
70,1112
71,1016
72,NA
73,1196
74,NA
75,NA
76,811
77,749
78,NA
79,906
80,NA
81,1048
82,1290
83,NA
84,896
85,1175
86,1143
87,NA
88,NA
89,1532
90,NA
91,1074
92,916
93,1076
94,NA
95,NA
96,1191
97,1392
98,NA
99,293
100,NA
101,NA
102,NA
103,NA
104,430
105,846
106,2178
107,1181
108,1308
109,NA
110,1295
111,660
112,1258
113,NA
114,NA
115,1481
116,1359
117,1199
118,NA
119,NA
120,NA
121,1301
122,NA
123,NA
124,NA
125,NA
126,NA
127,1217
128,1093
129,1278
130,1493
131,NA
132,NA
133,981
134,NA
135,954
136,NA
137,NA
138,1247
139,NA
140,1130
141,102
142,1514
143,1452
144,NA
145,1366
146,1393
147,1428
148,1199
149,NA
150,NA
151,NA
152,NA
153,NA
154,1136
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,1850
162,NA
163,NA
164,1497
165,NA
166,1199
167,NA
168,NA
169,NA
170,1314
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,13
178,NA
179,NA
180,NA
181,NA
182,NA
183,1168
184,1369
185,NA
186,1131
187,NA
188,1234
189,NA
190,1105
191,1309
192,NA
193,NA
194,1443
195,1082
196,1427
197,NA
198,50
199,NA
200,NA
201,NA
202,NA
203,2
204,NA
205,1376
206,NA
207,NA
208,47
209,NA
210,NA
211,NA
212,NA
213,NA
214,78
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,1
231,NA
232,1535
233,NA
234,NA
235,NA
236,NA
237,24
238,1494
239,NA
240,NA
241,1519
242,715
243,949
244,1092
245,1151
246,NA
247,NA
248,1066
249,1278
250,NA
251,73
252,NA
253,NA
254,954
255,NA
256,NA
257,851
258,1044
259,NA
260,NA
261,681
262,NA
263,NA
264,1202
265,NA
266,NA
267,955
268,1608
269,NA
270,NA
271,1230
272,NA
273,1065
274,NA
275,NA
276,1574
277,NA
278,1891
279,NA
280,1512
281,1377
282,1802
283,1383
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,24
293,1935
294,1582
295,1787
296,1830
297,1656
298,1452
299,2061
300,1882
301,NA
302,NA
303,2023
304,NA
305,1
306,NA
307,NA
308,652
309,NA
310,2140
311,NA
312,NA
313,805
314,NA
315,NA
316,1577
317,1583
318,1246
319,NA
320,1199
321,NA
322,NA
323,NA
324,NA
325,1372
326,654
327,NA
328,1601
329,1414
330,1782
331,NA
332,1469
333,1690
334,NA
335,NA
336,NA
337,NA
338,1501
339,NA
340,80
341,NA
342,1984
343,NA
344,2207
345,NA
346,1859
347,NA
348,NA
349,1727
350,2144
351,902
352,2216
353,2146
354,NA
355,NA
356,2032
357,1795
358,NA
359,NA
360,NA
361,2276
362,NA
363,720
364,NA
365,NA
366,NA
367,1973
368,1465
369,1614
370,NA
371,NA
372,NA
373,NA
374,NA
375,NA
376,NA
377,2574
378,NA
379,NA
380,NA
381,NA
382,NA
383,NA
384,2140
385,NA
386,NA
387,1511
388,2012
389,NA
390,1772
391,NA
392,1543
393,NA
394,385
395,NA
396,NA
397,1
398,2396
399,NA
400,NA
401,1499
402,1871
403,2163
404,NA
405,1968
406,NA
407,NA
408,2110
409,1987
410,NA
411,1679
412,NA
413,395
414,NA
415,2072
416,1785
417,NA
418,1346
419,1331
420,NA
421,NA
422,NA
423,NA
424,NA
425,1819
426,NA
427,2020
428,1975
429,NA
430,NA
431,2038
432,1913
433,NA
434,2028
435,NA
436,43
437,1546
438,NA
439,1170
440,NA
441,NA
442,NA
443,189
444,NA
445,NA
446,NA
447,1982
448,2252
