,x
1,23
2,93
3,269
4,342
5,363
6,415
7,535
8,309
9,539
10,603
11,687
12,610
13,521
14,593
15,510
16,650
17,425
18,529
19,563
20,492
21,524
22,409
23,599
24,446
25,493
26,313
27,375
28,432
29,624
30,528
31,576
32,373
33,444
34,498
35,505
36,344
37,556
38,623
39,746
40,444
41,435
42,533
43,582
44,518
45,244
46,468
47,519
48,695
49,792
50,779
51,695
52,400
53,152
54,168
55,259
56,408
57,432
58,405
59,484
60,375
61,517
62,705
63,598
64,496
65,621
66,572
67,742
68,478
69,607
70,556
71,466
72,894
73,NA
74,NA
75,443
76,477
77,575
78,501
79,389
80,449
81,517
82,506
83,415
84,544
85,409
86,561
87,651
88,467
89,863
90,663
91,631
92,NA
93,510
94,584
95,519
96,730
97,683
98,735
99,719
100,738
101,590
102,870
103,673
104,486
105,45
106,108
107,287
108,458
109,520
110,593
111,410
112,508
113,566
114,705
115,611
116,532
117,843
118,555
119,543
120,669
121,599
122,524
123,563
124,507
125,645
126,419
127,781
128,601
129,523
130,460
131,406
132,533
133,665
134,507
135,511
136,467
137,646
138,471
139,536
140,396
141,808
142,625
143,636
144,484
145,663
146,NA
147,562
148,656
149,493
150,456
151,669
152,625
153,610
154,489
155,579
156,391
157,NA
158,145
159,282
160,426
161,670
162,572
163,609
164,528
165,613
166,670
167,586
168,676
169,879
170,875
171,668
172,676
173,635
174,586
175,592
176,512
177,469
178,397
179,503
180,532
181,564
182,488
183,544
184,579
185,473
186,650
187,533
188,579
189,551
190,945
191,1067
192,728
193,523
194,798
195,752
196,680
197,677
198,548
199,813
200,940
201,632
202,515
203,699
204,467
205,674
206,642
207,662
208,776
209,601
210,187
211,400
212,562
213,606
214,609
215,636
216,562
217,568
218,639
219,722
220,737
221,785
222,539
223,801
224,897
225,703
226,725
227,657
228,687
229,739
230,615
231,485
232,670
233,784
234,696
235,505
236,494
237,612
238,697
239,807
240,638
241,761
242,702
243,874
244,899
245,517
246,707
247,741
248,743
249,752
250,592
251,752
252,898
253,602
254,827
255,1025
256,536
257,826
258,701
259,709
260,805
261,461
262,290
263,501
264,582
265,700
266,738
267,589
268,798
269,759
270,722
271,687
272,807
273,713
274,780
275,745
276,695
277,710
278,706
279,797
280,756
281,668
282,721
283,555
284,715
285,754
286,712
287,702
288,479
289,683
290,700
291,633
292,824
293,765
294,725
295,776
296,665
297,534
298,730
299,730
300,770
301,766
302,810
303,780
304,810
305,758
306,616
307,790
308,506
309,743
310,796
311,904
312,716
313,675
314,171
315,482
316,580
317,680
318,760
319,746
320,505
321,754
322,830
323,775
324,822
325,731
326,838
327,700
328,810
329,728
330,636
331,700
332,728
333,775
334,684
335,662
336,747
337,559
338,NA
339,685
340,579
341,745
342,711
343,726
344,715
345,811
346,697
347,828
348,791
349,681
350,730
351,908
352,686
353,639
354,845
355,886
356,847
357,697
358,665
359,629
360,646
361,870
362,792
363,768
364,878
365,579
366,97
367,399
368,644
369,679
370,792
371,700
372,792
373,755
374,815
375,732
376,767
377,790
378,736
379,652
380,757
381,748
382,800
383,765
384,619
385,810
386,638
387,699
388,637
389,NA
390,694
391,697
392,544
393,717
394,720
395,693
396,835
397,597
398,NA
399,NA
400,NA
401,NA
402,NA
403,NA
404,NA
405,NA
406,NA
407,NA
408,NA
409,NA
410,NA
411,NA
412,NA
413,NA
414,NA
415,NA
416,NA
417,NA
418,NA
419,NA
420,NA
421,NA
422,NA
423,NA
424,NA
425,NA
426,NA
427,NA
428,NA
429,NA
430,NA
431,NA
432,NA
433,NA
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,NA
448,NA
