,x
1,15
2,38
3,13
4,38
5,NA
6,10
7,5
8,1
9,NA
10,NA
11,2
12,NA
13,25
14,NA
15,68
16,55
17,5
18,21
19,NA
20,16
21,NA
22,NA
23,NA
24,1
25,NA
26,NA
27,67
28,NA
29,NA
30,74
31,124
32,80
33,103
34,NA
35,NA
36,NA
37,100
38,67
39,NA
40,NA
41,59
42,NA
43,NA
44,103
45,101
46,118
47,NA
48,85
49,NA
50,NA
51,NA
52,NA
53,NA
54,86
55,92
56,NA
57,110
58,97
59,NA
60,89
61,NA
62,60
63,NA
64,NA
65,67
66,NA
67,36
68,78
69,100
70,153
71,115
72,137
73,NA
74,87
75,NA
76,120
77,NA
78,NA
79,NA
80,NA
81,NA
82,105
83,77
84,NA
85,140
86,118
87,128
88,83
89,130
90,NA
91,NA
92,44
93,NA
94,101
95,NA
96,123
97,167
98,118
99,71
100,166
101,98
102,205
103,NA
104,121
105,NA
106,117
107,173
108,108
109,118
110,127
111,132
112,96
113,NA
114,48
115,17
116,137
117,NA
118,93
119,50
120,144
121,NA
122,126
123,65
124,71
125,NA
126,119
127,100
128,NA
129,51
130,NA
131,83
132,116
133,195
134,NA
135,NA
136,NA
137,87
138,NA
139,99
140,113
141,153
142,NA
143,NA
144,104
145,80
146,253
147,120
148,NA
149,NA
150,36
151,NA
152,NA
153,109
154,NA
155,28
156,NA
157,NA
158,6
159,43
160,NA
161,NA
162,44
163,NA
164,NA
165,13
166,21
167,50
168,NA
169,NA
170,2
171,1
172,13
173,70
174,28
175,1
176,NA
177,NA
178,NA
179,1
180,NA
181,NA
182,NA
183,NA
184,13
185,27
186,28
187,33
188,33
189,50
190,NA
191,NA
192,NA
193,NA
194,38
195,29
196,26
197,25
198,1
199,NA
200,22
201,6
202,NA
203,9
204,18
205,23
206,26
207,15
208,12
209,23
210,7
211,38
212,24
213,NA
214,17
215,13
216,20
217,NA
218,9
219,11
220,7
221,42
222,NA
223,50
224,70
225,89
226,NA
227,NA
228,NA
229,76
230,45
231,40
232,48
233,86
234,NA
235,39
236,NA
237,NA
238,42
239,68
240,NA
241,NA
242,NA
243,23
244,11
245,8
246,NA
247,NA
248,NA
249,9
250,34
251,65
252,76
253,NA
254,NA
255,20
256,15
257,NA
258,34
259,NA
260,NA
261,NA
262,72
263,NA
264,NA
265,53
266,46
267,NA
268,NA
269,23
270,46
271,54
272,22
273,NA
274,52
275,NA
276,13
277,37
278,49
279,NA
280,NA
281,NA
282,37
283,NA
284,25
285,51
286,35
287,33
288,45
289,NA
290,37
291,53
292,70
293,NA
294,52
295,75
296,20
297,NA
298,75
299,NA
300,NA
301,NA
302,NA
303,1
304,NA
305,17
306,NA
307,NA
308,NA
309,12
310,13
311,51
312,26
313,6
314,23
315,25
316,13
317,14
318,6
319,1
320,NA
321,1
322,1
323,21
324,13
325,26
326,NA
327,56
328,79
329,64
330,76
331,61
332,NA
333,31
334,27
335,25
336,51
337,39
338,NA
339,23
340,27
341,39
342,25
343,10
344,17
345,42
346,10
347,23
348,NA
349,12
350,34
351,12
352,22
353,NA
354,26
355,29
356,17
357,33
358,4
359,5
360,9
361,9
362,11
363,12
364,2
365,1
366,NA
367,9
368,9
369,33
370,17
371,4
372,NA
373,2
374,10
375,24
376,14
377,28
378,13
379,5
380,9
381,17
382,37
383,65
384,47
385,66
386,33
387,20
388,31
389,16
390,73
391,NA
392,34
393,24
394,20
395,11
396,54
397,79
398,50
399,80
400,71
401,109
402,80
403,73
404,99
405,78
406,76
407,74
408,118
409,NA
410,68
411,62
412,100
413,49
414,86
415,111
416,61
417,NA
418,48
419,106
420,40
421,78
422,99
423,97
424,61
425,77
426,99
427,97
428,111
429,94
430,100
431,90
432,108
433,100
434,NA
435,92
436,86
437,80
438,80
439,70
440,85
441,NA
442,79
443,58
444,NA
445,60
446,NA
447,25
448,42
