,x
1,NA
2,10
3,36
4,29
5,18
6,28
7,27
8,4
9,28
10,NA
11,NA
12,36
13,16
14,26
15,28
16,26
17,21
18,12
19,NA
20,22
21,NA
22,14
23,15
24,22
25,NA
26,NA
27,NA
28,22
29,27
30,14
31,10
32,NA
33,8
34,27
35,NA
36,21
37,15
38,14
39,19
40,23
41,14
42,19
43,NA
44,2
45,NA
46,20
47,18
48,18
49,21
50,NA
51,6
52,33
53,NA
54,NA
55,18
56,25
57,23
58,19
59,18
60,21
61,4
62,12
63,NA
64,17
65,10
66,21
67,28
68,14
69,NA
70,NA
71,NA
72,26
73,31
74,11
75,20
76,11
77,NA
78,10
79,26
80,17
81,18
82,NA
83,1
84,2
85,30
86,4
87,17
88,8
89,23
90,29
91,NA
92,19
93,22
94,26
95,28
96,12
97,NA
98,24
99,NA
100,17
101,24
102,14
103,28
104,17
105,6
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,20
124,11
125,13
126,36
127,35
128,18
129,19
130,19
131,20
132,31
133,15
134,19
135,34
136,39
137,14
138,21
139,10
140,15
141,10
142,19
143,52
144,9
145,20
146,28
147,22
148,10
149,31
150,16
151,32
152,NA
153,24
154,17
155,NA
156,12
157,NA
158,27
159,23
160,21
161,NA
162,2
163,53
164,17
165,NA
166,20
167,31
168,18
169,21
170,22
171,NA
172,27
173,23
174,12
175,30
176,22
177,27
178,16
179,25
180,17
181,31
182,12
183,24
184,18
185,20
186,19
187,21
188,29
189,NA
190,13
191,37
192,46
193,NA
194,28
195,NA
196,28
197,64
198,30
199,13
200,29
201,31
202,16
203,33
204,17
205,NA
206,12
207,30
208,NA
209,24
210,13
211,26
212,23
213,29
214,NA
215,23
216,28
217,25
218,33
219,NA
220,31
221,30
222,18
223,15
224,23
225,20
226,22
227,16
228,NA
229,26
230,36
231,27
232,19
233,15
234,51
235,18
236,19
237,32
238,51
239,13
240,5
241,33
242,37
243,8
244,20
245,7
246,36
247,28
248,44
249,14
250,30
251,23
252,38
253,17
254,21
255,NA
256,46
257,23
258,14
259,39
260,12
261,24
262,30
263,26
264,30
265,20
266,NA
267,23
268,81
269,21
270,33
271,14
272,NA
273,27
274,30
275,34
276,39
277,26
278,24
279,22
280,30
281,26
282,28
283,39
284,NA
285,25
286,NA
287,27
288,8
289,35
290,41
291,NA
292,36
293,37
294,25
295,23
296,22
297,26
298,35
299,15
300,NA
301,62
302,37
303,15
304,NA
305,43
306,16
307,42
308,18
309,44
310,NA
311,53
312,36
313,9
314,NA
315,NA
316,NA
317,NA
318,44
319,50
320,19
321,23
322,66
323,59
324,6
325,48
326,20
327,17
328,19
329,47
330,26
331,42
332,26
333,18
334,27
335,71
336,28
337,NA
338,28
339,43
340,45
341,47
342,32
343,25
344,27
345,29
346,21
347,53
348,28
349,33
350,10
351,68
352,21
353,37
354,85
355,30
356,45
357,NA
358,1
359,1
360,NA
361,NA
362,30
363,13
364,17
365,NA
366,12
367,42
368,64
369,97
370,NA
371,NA
372,43
373,2
374,56
375,15
376,NA
377,7
378,NA
379,10
380,13
381,17
382,7
383,12
384,NA
385,7
386,NA
387,13
388,NA
389,NA
390,NA
391,3
392,4
393,9
394,5
395,6
396,2
397,NA
398,2
399,23
400,10
401,NA
402,6
403,NA
404,NA
405,NA
406,22
407,17
408,11
409,9
410,NA
411,NA
412,32
413,8
414,18
415,69
416,NA
417,2
418,2
419,19
420,30
421,NA
422,13
423,NA
424,39
425,7
426,41
427,11
428,NA
429,NA
430,12
431,1
432,NA
433,20
434,30
435,29
436,12
437,NA
438,NA
439,NA
440,NA
441,13
442,14
443,3
444,20
445,10
446,8
447,29
448,25
