,x
1,NA
2,NA
3,426
4,715
5,515
6,568
7,491
8,424
9,448
10,539
11,425
12,NA
13,480
14,387
15,321
16,323
17,507
18,361
19,382
20,470
21,435
22,359
23,540
24,NA
25,630
26,189
27,321
28,533
29,420
30,367
31,548
32,507
33,329
34,531
35,568
36,353
37,401
38,636
39,655
40,495
41,367
42,565
43,686
44,356
45,373
46,396
47,207
48,617
49,473
50,595
51,506
52,NA
53,348
54,327
55,442
56,463
57,474
58,485
59,342
60,401
61,530
62,523
63,611
64,437
65,615
66,503
67,563
68,542
69,527
70,510
71,497
72,608
73,432
74,340
75,387
76,517
77,499
78,530
79,481
80,573
81,539
82,NA
83,354
84,445
85,485
86,463
87,544
88,360
89,499
90,624
91,533
92,461
93,379
94,474
95,524
96,486
97,457
98,340
99,206
100,538
101,628
102,550
103,NA
104,NA
105,314
106,451
107,261
108,199
109,629
110,619
111,391
112,217
113,397
114,710
115,1062
116,NA
117,598
118,424
119,527
120,722
121,553
122,823
123,664
124,892
125,631
126,668
127,724
128,621
129,628
130,427
131,391
132,881
133,555
134,465
135,717
136,639
137,685
138,518
139,NA
140,484
141,714
142,709
143,615
144,NA
145,742
146,488
147,522
148,619
149,NA
150,311
151,NA
152,424
153,621
154,NA
155,NA
156,182
157,NA
158,420
159,469
160,472
161,537
162,NA
163,NA
164,369
165,NA
166,NA
167,413
168,NA
169,570
170,NA
171,712
172,629
173,883
174,672
175,615
176,581
177,NA
178,604
179,542
180,720
181,746
182,903
183,446
184,346
185,603
186,313
187,649
188,812
189,330
190,873
191,630
192,683
193,446
194,572
195,670
196,665
197,552
198,573
199,651
200,767
201,602
202,584
203,650
204,428
205,692
206,672
207,532
208,167
209,293
210,907
211,583
212,444
213,588
214,254
215,613
216,507
217,723
218,519
219,599
220,517
221,678
222,413
223,550
224,672
225,685
226,599
227,518
228,749
229,606
230,385
231,575
232,805
233,514
234,715
235,526
236,525
237,636
238,594
239,783
240,743
241,726
242,165
243,882
244,684
245,603
246,594
247,714
248,832
249,547
250,377
251,695
252,688
253,663
254,433
255,601
256,209
257,721
258,883
259,663
260,421
261,187
262,857
263,704
264,819
265,706
266,838
267,971
268,749
269,609
270,379
271,815
272,809
273,654
274,767
275,604
276,563
277,646
278,515
279,568
280,684
281,669
282,648
283,448
284,710
285,584
286,449
287,240
288,795
289,682
290,679
291,619
292,663
293,524
294,348
295,650
296,648
297,705
298,515
299,294
300,769
301,815
302,700
303,644
304,930
305,1144
306,806
307,1590
308,480
309,596
310,673
311,917
312,810
313,368
314,813
315,575
316,624
317,688
318,856
319,734
320,683
321,764
322,885
323,917
324,579
325,816
326,598
327,704
328,584
329,NA
330,NA
331,819
332,744
333,818
334,NA
335,523
336,578
337,NA
338,455
339,843
340,659
341,770
342,566
343,730
344,620
345,749
346,726
347,499
348,876
349,511
350,713
351,703
352,525
353,893
354,548
355,849
356,NA
357,569
358,698
359,631
360,450
361,706
362,657
363,513
364,NA
365,NA
366,505
367,888
368,NA
369,594
370,615
371,938
372,793
373,510
374,629
375,666
376,899
377,851
378,639
379,605
380,776
381,437
382,739
383,479
384,945
385,645
386,639
387,604
388,621
389,434
390,564
391,627
392,360
393,874
394,583
395,525
396,695
397,521
398,546
399,NA
400,NA
401,257
402,814
403,665
404,670
405,617
406,259
407,924
408,562
409,775
410,647
411,828
412,NA
413,NA
414,NA
415,NA
416,NA
417,NA
418,594
419,56
420,259
421,158
422,717
423,688
424,628
425,752
426,1265
427,695
428,948
429,714
430,1146
431,777
432,NA
433,721
434,NA
435,792
436,517
437,657
438,949
439,768
440,751
441,688
442,690
443,684
444,554
445,706
446,646
447,768
448,642
