,x
1,NA
2,293
3,218
4,485
5,436
6,280
7,361
8,228
9,604
10,352
11,374
12,460
13,292
14,414
15,193
16,416
17,356
18,356
19,308
20,390
21,366
22,303
23,273
24,460
25,265
26,NA
27,290
28,327
29,242
30,298
31,348
32,347
33,308
34,373
35,251
36,229
37,380
38,202
39,546
40,325
41,393
42,264
43,320
44,349
45,488
46,394
47,243
48,320
49,398
50,266
51,389
52,382
53,216
54,426
55,97
56,524
57,428
58,413
59,108
60,401
61,412
62,353
63,451
64,NA
65,209
66,338
67,158
68,621
69,311
70,407
71,340
72,306
73,317
74,381
75,226
76,613
77,NA
78,226
79,271
80,118
81,124
82,171
83,91
84,187
85,87
86,150
87,150
88,134
89,133
90,139
91,145
92,115
93,20
94,247
95,87
96,207
97,108
98,118
99,76
100,140
101,96
102,96
103,253
104,128
105,56
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,208
141,205
142,306
143,279
144,189
145,294
146,264
147,259
148,316
149,267
150,310
151,269
152,175
153,286
154,275
155,NA
156,103
157,NA
158,284
159,299
160,250
161,NA
162,344
163,308
164,281
165,239
166,234
167,348
168,291
169,284
170,NA
171,448
172,292
173,254
174,NA
175,NA
176,270
177,271
178,199
179,240
180,264
181,244
182,188
183,208
184,258
185,266
186,318
187,225
188,316
189,349
190,236
191,345
192,23
193,166
194,273
195,347
196,279
197,299
198,276
199,NA
200,266
201,220
202,256
203,288
204,174
205,NA
206,298
207,234
208,147
209,207
210,NA
211,276
212,253
213,301
214,286
215,307
216,222
217,NA
218,280
219,292
220,283
221,289
222,331
223,NA
224,323
225,282
226,331
227,638
228,250
229,247
230,NA
231,204
232,264
233,266
234,268
235,248
236,219
237,250
238,274
239,274
240,NA
241,243
242,319
243,312
244,NA
245,290
246,NA
247,307
248,303
249,414
250,315
251,270
252,262
253,255
254,280
255,334
256,153
257,294
258,661
259,302
260,274
261,222
262,297
263,322
264,290
265,305
266,312
267,388
268,NA
269,314
270,286
271,299
272,322
273,330
274,NA
275,303
276,291
277,273
278,281
279,243
280,321
281,308
282,311
283,235
284,286
285,331
286,280
287,274
288,181
289,NA
290,339
291,313
292,328
293,293
294,283
295,290
296,314
297,272
298,NA
299,347
300,NA
301,404
302,672
303,341
304,353
305,295
306,185
307,NA
308,227
309,296
310,407
311,367
312,285
313,223
314,283
315,289
316,216
317,351
318,407
319,404
320,360
321,325
322,399
323,466
324,403
325,394
326,348
327,393
328,358
329,397
330,764
331,408
332,323
333,382
334,349
335,281
336,349
337,329
338,NA
339,NA
340,262
341,325
342,381
343,370
344,376
345,340
346,317
347,341
348,405
349,297
350,319
351,379
352,456
353,315
354,317
355,310
356,376
357,397
358,382
359,295
360,276
361,313
362,354
363,327
364,NA
365,NA
366,243
367,324
368,362
369,351
370,348
371,416
372,359
373,338
374,376
375,393
376,357
377,303
378,431
379,365
380,336
381,350
382,372
383,308
384,357
385,314
386,335
387,300
388,346
389,319
390,396
391,343
392,240
393,NA
394,706
395,307
396,348
397,373
398,364
399,410
400,296
401,320
402,338
403,316
404,393
405,NA
406,392
407,353
408,420
409,341
410,364
411,257
412,411
413,NA
414,352
415,337
416,365
417,205
418,236
419,378
420,380
421,334
422,413
423,425
424,369
425,335
426,339
427,390
428,306
429,323
430,375
431,344
432,NA
433,335
434,396
435,309
436,362
437,354
438,383
439,328
440,398
441,368
442,NA
443,NA
444,324
445,315
446,310
447,388
448,406
