,x
1,59
2,122
3,46
4,67
5,79
6,54
7,80
8,58
9,73
10,74
11,89
12,67
13,89
14,66
15,55
16,72
17,72
18,37
19,30
20,38
21,19
22,18
23,49
24,21
25,NA
26,19
27,34
28,44
29,34
30,NA
31,NA
32,30
33,24
34,29
35,46
36,NA
37,20
38,24
39,41
40,22
41,26
42,33
43,58
44,NA
45,4
46,NA
47,20
48,50
49,44
50,42
51,NA
52,14
53,9
54,50
55,16
56,45
57,29
58,29
59,27
60,22
61,34
62,31
63,28
64,NA
65,NA
66,NA
67,NA
68,30
69,56
70,41
71,58
72,21
73,14
74,24
75,33
76,46
77,NA
78,31
79,17
80,13
81,36
82,53
83,44
84,NA
85,37
86,30
87,25
88,25
89,23
90,17
91,18
92,3
93,12
94,2
95,16
96,17
97,4
98,13
99,3
100,3
101,6
102,11
103,NA
104,3
105,4
106,13
107,10
108,11
109,13
110,13
111,13
112,17
113,6
114,10
115,19
116,18
117,10
118,1
119,2
120,21
121,16
122,11
123,NA
124,17
125,9
126,6
127,NA
128,7
129,3
130,11
131,3
132,11
133,12
134,14
135,NA
136,15
137,25
138,14
139,7
140,2
141,1
142,1
143,NA
144,NA
145,2
146,3
147,6
148,NA
149,NA
150,2
151,NA
152,NA
153,1
154,14
155,NA
156,NA
157,NA
158,6
159,5
160,27
161,25
162,37
163,18
164,28
165,36
166,36
167,24
168,12
169,45
170,NA
171,24
172,23
173,31
174,11
175,31
176,NA
177,2
178,22
179,28
180,22
181,22
182,37
183,15
184,27
185,15
186,NA
187,63
188,34
189,54
190,31
191,44
192,48
193,NA
194,61
195,59
196,73
197,NA
198,53
199,29
200,115
201,13
202,63
203,NA
204,45
205,80
206,39
207,NA
208,18
209,25
210,26
211,33
212,48
213,84
214,58
215,20
216,21
217,16
218,67
219,54
220,89
221,58
222,65
223,53
224,70
225,56
226,67
227,NA
228,76
229,69
230,49
231,68
232,NA
233,58
234,49
235,61
236,NA
237,53
238,97
239,45
240,78
241,72
242,NA
243,100
244,53
245,91
246,76
247,78
248,58
249,NA
250,72
251,93
252,88
253,72
254,105
255,NA
256,74
257,68
258,68
259,NA
260,45
261,35
262,122
263,76
264,67
265,94
266,61
267,92
268,NA
269,96
270,49
271,118
272,72
273,83
274,91
275,54
276,NA
277,65
278,62
279,59
280,70
281,59
282,NA
283,97
284,65
285,NA
286,57
287,75
288,77
289,55
290,81
291,97
292,71
293,83
294,NA
295,47
296,104
297,65
298,67
299,93
300,NA
301,51
302,100
303,95
304,79
305,77
306,51
307,56
308,47
309,117
310,54
311,81
312,82
313,62
314,47
315,45
316,72
317,136
318,144
319,NA
320,64
321,78
322,107
323,NA
324,101
325,107
326,72
327,95
328,89
329,NA
330,74
331,79
332,86
333,73
334,70
335,61
336,98
337,NA
338,NA
339,NA
340,79
341,94
342,94
343,92
344,89
345,108
346,86
347,75
348,89
349,85
350,122
351,NA
352,149
353,91
354,63
355,109
356,NA
357,NA
358,69
359,59
360,93
361,108
362,91
363,97
364,NA
365,NA
366,70
367,93
368,74
369,86
370,89
371,130
372,97
373,65
374,108
375,110
376,123
377,90
378,97
379,58
380,90
381,114
382,120
383,NA
384,114
385,89
386,70
387,77
388,116
389,86
390,96
391,NA
392,59
393,100
394,83
395,86
396,99
397,NA
398,NA
399,NA
400,115
401,92
402,76
403,105
404,73
405,105
406,125
407,120
408,119
409,105
410,83
411,100
412,NA
413,55
414,105
415,55
416,47
417,NA
418,42
419,74
420,NA
421,9
422,37
423,102
424,49
425,87
426,51
427,35
428,100
429,NA
430,37
431,77
432,NA
433,42
434,107
435,78
436,NA
437,NA
438,30
439,51
440,93
441,72
442,67
443,62
444,NA
445,74
446,86
447,79
448,76
