,x
1,17
2,44
3,117
4,81
5,121
6,87
7,97
8,169
9,92
10,19
11,141
12,161
13,92
14,126
15,147
16,NA
17,27
18,11
19,21
20,100
21,86
22,111
23,NA
24,104
25,170
26,NA
27,24
28,NA
29,29
30,45
31,45
32,86
33,97
34,137
35,98
36,83
37,105
38,79
39,188
40,144
41,113
42,112
43,118
44,100
45,84
46,73
47,78
48,120
49,89
50,61
51,NA
52,30
53,NA
54,76
55,81
56,75
57,121
58,109
59,133
60,130
61,118
62,85
63,NA
64,94
65,89
66,153
67,136
68,75
69,94
70,110
71,100
72,106
73,102
74,75
75,104
76,165
77,134
78,NA
79,69
80,226
81,277
82,238
83,252
84,240
85,220
86,170
87,152
88,113
89,181
90,238
91,136
92,133
93,110
94,89
95,NA
96,124
97,100
98,NA
99,44
100,NA
101,130
102,136
103,NA
104,NA
105,90
106,102
107,NA
108,NA
109,289
110,193
111,NA
112,124
113,146
114,138
115,250
116,NA
117,NA
118,228
119,NA
120,135
121,83
122,167
123,118
124,103
125,73
126,168
127,152
128,272
129,115
130,121
131,NA
132,258
133,99
134,97
135,122
136,284
137,85
138,87
139,NA
140,72
141,177
142,82
143,131
144,252
145,206
146,245
147,280
148,114
149,NA
150,141
151,NA
152,37
153,209
154,159
155,NA
156,5
157,NA
158,40
159,NA
160,196
161,48
162,131
163,147
164,161
165,229
166,247
167,180
168,214
169,NA
170,164
171,161
172,235
173,190
174,209
175,NA
176,152
177,187
178,36
179,126
180,NA
181,89
182,107
183,84
184,136
185,142
186,212
187,166
188,111
189,121
190,NA
191,113
192,NA
193,107
194,NA
195,163
196,161
197,134
198,NA
199,NA
200,NA
201,181
202,231
203,NA
204,84
205,220
206,238
207,208
208,NA
209,25
210,65
211,NA
212,215
213,213
214,182
215,221
216,194
217,197
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,5
233,266
234,287
235,178
236,215
237,NA
238,221
239,259
240,259
241,289
242,NA
243,254
244,168
245,164
246,130
247,128
248,70
249,109
250,103
251,135
252,NA
253,132
254,14
255,137
256,43
257,107
258,114
259,126
260,84
261,NA
262,139
263,177
264,142
265,141
266,91
267,70
268,137
269,169
270,149
271,193
272,NA
273,172
274,94
275,123
276,NA
277,113
278,133
279,178
280,162
281,172
282,143
283,88
284,160
285,157
286,127
287,138
288,66
289,127
290,108
291,186
292,NA
293,NA
294,168
295,NA
296,NA
297,71
298,132
299,135
300,154
301,154
302,122
303,NA
304,173
305,174
306,165
307,190
308,100
309,NA
310,147
311,156
312,86
313,49
314,119
315,NA
316,74
317,197
318,144
319,179
320,120
321,NA
322,190
323,168
324,121
325,158
326,177
327,110
328,131
329,152
330,163
331,148
332,169
333,122
334,112
335,87
336,140
337,129
338,NA
339,142
340,62
341,NA
342,150
343,136
344,NA
345,154
346,209
347,194
348,239
349,178
350,210
351,218
352,259
353,257
354,259
355,241
356,238
357,251
358,242
359,NA
360,126
361,219
362,262
363,275
364,NA
365,177
366,90
367,NA
368,306
369,260
370,280
371,252
372,271
373,244
374,242
375,257
376,210
377,270
378,213
379,268
380,309
381,292
382,283
383,258
384,255
385,286
386,252
387,187
388,253
389,271
390,250
391,281
392,178
393,304
394,315
395,282
396,174
397,115
398,99
399,97
400,99
401,80
402,115
403,88
404,98
405,125
406,96
407,109
408,103
409,101
410,103
411,92
412,290
413,140
414,282
415,247
416,297
417,163
418,149
419,259
420,232
421,249
422,267
423,254
424,240
425,277
426,246
427,237
428,247
429,278
430,305
431,293
432,NA
433,240
434,263
435,267
436,204
437,240
438,231
439,195
440,283
441,245
442,260
443,297
444,158
445,241
446,289
447,258
448,293
