,x
1,28
2,3
3,NA
4,24
5,25
6,39
7,NA
8,10
9,17
10,34
11,NA
12,NA
13,NA
14,NA
15,3
16,21
17,10
18,47
19,16
20,14
21,NA
22,23
23,NA
24,NA
25,NA
26,NA
27,14
28,NA
29,NA
30,NA
31,NA
32,NA
33,34
34,NA
35,NA
36,24
37,NA
38,9
39,18
40,NA
41,NA
42,15
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,7
54,NA
55,15
56,31
57,NA
58,NA
59,NA
60,NA
61,NA
62,29
63,28
64,24
65,16
66,6
67,16
68,NA
69,14
70,26
71,NA
72,21
73,11
74,10
75,16
76,27
77,NA
78,18
79,11
80,NA
81,NA
82,16
83,31
84,NA
85,7
86,12
87,17
88,22
89,22
90,14
91,NA
92,11
93,NA
94,NA
95,NA
96,NA
97,NA
98,20
99,12
100,NA
101,19
102,8
103,NA
104,NA
105,11
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,22
139,NA
140,23
141,NA
142,NA
143,31
144,17
145,NA
146,NA
147,18
148,45
149,NA
150,23
151,15
152,15
153,NA
154,11
155,30
156,11
157,NA
158,26
159,NA
160,39
161,32
162,27
163,30
164,85
165,NA
166,43
167,34
168,14
169,20
170,38
171,24
172,31
173,NA
174,17
175,61
176,31
177,33
178,25
179,31
180,17
181,NA
182,NA
183,40
184,70
185,NA
186,12
187,2
188,40
189,NA
190,31
191,NA
192,31
193,NA
194,NA
195,NA
196,NA
197,NA
198,59
199,56
200,35
201,62
202,NA
203,NA
204,NA
205,50
206,12
207,26
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,16
217,11
218,NA
219,14
220,NA
221,10
222,NA
223,4
224,NA
225,6
226,11
227,18
228,11
229,15
230,NA
231,22
232,10
233,1
234,6
235,NA
236,NA
237,6
238,7
239,9
240,24
241,5
242,NA
243,11
244,NA
245,16
246,24
247,NA
248,13
249,3
250,12
251,7
252,1
253,NA
254,5
255,30
256,1
257,NA
258,21
259,28
260,14
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,16
270,NA
271,15
272,5
273,14
274,5
275,8
276,3
277,7
278,24
279,10
280,NA
281,4
282,17
283,NA
284,15
285,NA
286,NA
287,NA
288,NA
289,2
290,23
291,NA
292,NA
293,27
294,NA
295,6
296,NA
297,NA
298,6
299,26
300,NA
301,26
302,NA
303,NA
304,13
305,NA
306,11
307,15
308,NA
309,7
310,NA
311,23
312,NA
313,NA
314,NA
315,NA
316,NA
317,19
318,11
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,11
343,NA
344,NA
345,NA
346,1
347,4
348,NA
349,12
350,14
351,7
352,NA
353,NA
354,8
355,6
356,NA
357,NA
358,NA
359,11
360,NA
361,16
362,14
363,NA
364,NA
365,NA
366,1
367,15
368,NA
369,NA
370,NA
371,NA
372,11
373,NA
374,NA
375,7
376,NA
377,4
378,10
379,10
380,NA
381,NA
382,6
383,NA
384,NA
385,NA
386,NA
387,NA
388,NA
389,4
390,NA
391,NA
392,NA
393,NA
394,NA
395,NA
396,NA
397,NA
398,NA
399,NA
400,NA
401,NA
402,9
403,5
404,8
405,10
406,4
407,11
408,3
409,NA
410,NA
411,NA
412,NA
413,NA
414,10
415,11
416,11
417,2
418,NA
419,NA
420,NA
421,NA
422,NA
423,NA
424,NA
425,9
426,NA
427,NA
428,6
429,NA
430,NA
431,NA
432,NA
433,7
434,13
435,NA
436,NA
437,NA
438,NA
439,8
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,NA
448,11
