,x
1,99
2,NA
3,101
4,122
5,107
6,NA
7,126
8,65
9,119
10,93
11,66
12,88
13,133
14,5
15,125
16,NA
17,125
18,135
19,132
20,89
21,111
22,101
23,131
24,140
25,132
26,114
27,89
28,72
29,107
30,107
31,144
32,100
33,108
34,NA
35,113
36,127
37,106
38,136
39,132
40,189
41,80
42,173
43,98
44,114
45,122
46,121
47,88
48,170
49,76
50,206
51,104
52,NA
53,69
54,131
55,169
56,144
57,201
58,NA
59,NA
60,153
61,100
62,94
63,206
64,154
65,209
66,88
67,NA
68,171
69,164
70,164
71,197
72,165
73,133
74,NA
75,97
76,126
77,148
78,NA
79,163
80,143
81,161
82,174
83,170
84,132
85,NA
86,NA
87,141
88,154
89,193
90,163
91,199
92,178
93,216
94,140
95,NA
96,185
97,183
98,163
99,NA
100,144
101,106
102,149
103,175
104,96
105,245
106,100
107,141
108,160
109,192
110,241
111,177
112,193
113,106
114,152
115,230
116,207
117,166
118,195
119,203
120,189
121,216
122,213
123,256
124,200
125,200
126,189
127,208
128,203
129,87
130,285
131,249
132,65
133,260
134,210
135,194
136,171
137,185
138,209
139,168
140,208
141,212
142,170
143,202
144,191
145,174
146,138
147,179
148,158
149,176
150,142
151,140
152,146
153,229
154,243
155,228
156,128
157,186
158,176
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,NA
361,NA
362,NA
363,NA
364,NA
365,NA
366,NA
367,NA
368,NA
369,NA
370,NA
371,NA
372,NA
373,NA
374,NA
375,NA
376,NA
377,NA
378,NA
379,NA
380,NA
381,NA
382,NA
383,NA
384,NA
385,NA
386,NA
387,NA
388,NA
389,NA
390,NA
391,NA
392,NA
393,NA
394,NA
395,NA
396,NA
397,NA
398,NA
399,NA
400,NA
401,NA
402,NA
403,NA
404,NA
405,NA
406,NA
407,NA
408,NA
409,NA
410,NA
411,NA
412,NA
413,NA
414,NA
415,NA
416,NA
417,NA
418,NA
419,NA
420,NA
421,NA
422,NA
423,NA
424,NA
425,NA
426,NA
427,NA
428,NA
429,NA
430,NA
431,NA
432,NA
433,NA
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,NA
448,NA
449,NA
450,NA
451,NA
452,NA
453,NA
454,NA
455,NA
456,NA
457,NA
458,NA
459,NA
460,NA
461,NA
462,NA
463,NA
464,NA
465,NA
466,NA
467,NA
468,NA
469,NA
470,NA
471,NA
472,NA
473,NA
474,NA
475,NA
476,NA
477,NA
478,NA
479,NA
480,NA
481,NA
482,NA
483,NA
484,NA
485,NA
486,NA
487,NA
488,NA
489,NA
490,NA
491,NA
492,NA
493,NA
494,NA
495,NA
496,NA
497,NA
498,NA
499,NA
500,NA
501,NA
502,NA
503,NA
504,NA
505,NA
506,NA
507,NA
508,NA
509,NA
510,NA
511,NA
512,NA
513,NA
514,NA
515,NA
516,NA
517,NA
518,NA
519,NA
520,NA
521,NA
522,NA
523,NA
524,NA
525,NA
526,NA
527,NA
528,NA
529,NA
530,NA
531,NA
532,NA
533,NA
534,NA
535,NA
536,NA
537,NA
538,NA
539,NA
540,NA
541,NA
542,NA
543,NA
544,NA
545,NA
546,NA
547,NA
548,NA
549,NA
550,NA
551,NA
552,NA
553,NA
554,NA
555,NA
556,NA
557,NA
558,NA
559,NA
560,NA
561,NA
562,NA
563,NA
564,NA
565,NA
566,NA
567,NA
568,NA
569,NA
570,NA
571,NA
572,NA
573,NA
574,NA
575,NA
576,NA
577,NA
578,NA
579,NA
580,NA
581,NA
582,NA
583,NA
584,NA
585,NA
586,NA
587,NA
588,NA
589,NA
590,NA
591,NA
592,NA
593,NA
594,NA
595,NA
596,NA
597,NA
598,NA
599,NA
600,NA
601,NA
602,NA
603,NA
604,NA
605,NA
606,NA
607,NA
608,NA
609,NA
610,NA
611,NA
612,NA
613,NA
614,NA
615,NA
616,NA
617,NA
618,NA
619,NA
620,NA
621,NA
622,NA
623,NA
624,NA
625,NA
626,NA
627,NA
628,NA
629,NA
630,NA
631,NA
632,NA
633,NA
634,NA
635,NA
636,NA
637,NA
638,NA
639,NA
640,NA
641,NA
642,NA
643,NA
644,NA
645,NA
646,NA
647,NA
648,NA
649,NA
650,NA
651,NA
652,NA
653,NA
654,NA
655,NA
656,NA
657,NA
658,NA
659,NA
660,NA
661,NA
662,NA
663,NA
664,NA
665,NA
666,NA
667,NA
668,NA
669,NA
670,NA
671,NA
672,NA
673,NA
674,NA
675,NA
676,NA
677,NA
678,NA
679,NA
680,NA
681,NA
682,NA
683,NA
684,NA
685,NA
686,NA
687,NA
688,NA
689,NA
690,NA
691,NA
692,NA
693,NA
694,NA
695,NA
696,NA
697,NA
698,NA
699,NA
700,NA
701,NA
702,NA
703,NA
704,NA
705,NA
706,NA
707,NA
708,NA
709,NA
710,NA
711,NA
712,NA
713,NA
714,NA
715,NA
716,NA
717,NA
718,NA
719,NA
720,NA
721,NA
722,NA
723,NA
724,NA
725,NA
726,NA
727,NA
