,x
1,278
2,NA
3,410
4,378
5,377
6,452
7,352
8,245
9,399
10,394
11,311
12,431
13,351
14,332
15,461
16,395
17,482
18,362
19,446
20,441
21,331
22,306
23,449
24,359
25,507
26,339
27,423
28,406
29,448
30,564
31,563
32,458
33,479
34,NA
35,429
36,590
37,407
38,521
39,506
40,369
41,375
42,119
43,519
44,449
45,455
46,462
47,400
48,454
49,344
50,309
51,317
52,NA
53,260
54,427
55,324
56,406
57,242
58,486
59,356
60,279
61,437
62,322
63,340
64,371
65,327
66,220
67,394
68,432
69,238
70,238
71,331
72,435
73,375
74,451
75,289
76,479
77,463
78,444
79,515
80,194
81,562
82,436
83,515
84,450
85,450
86,450
87,525
88,444
89,549
90,330
91,497
92,526
93,419
94,382
95,356
96,378
97,363
98,360
99,165
100,471
101,408
102,543
103,297
104,284
105,387
106,NA
107,386
108,443
109,386
110,393
111,378
112,380
113,386
114,288
115,306
116,295
117,310
118,401
119,263
120,372
121,190
122,297
123,636
124,416
125,NA
126,663
127,277
128,314
129,445
130,235
131,406
132,688
133,NA
134,413
135,408
136,638
137,520
138,473
139,301
140,502
141,676
142,417
143,377
144,380
145,536
146,570
147,565
148,435
149,505
150,NA
151,280
152,352
153,631
154,283
155,421
156,200
157,463
158,516
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,NA
253,NA
254,NA
255,NA
256,NA
257,NA
258,NA
259,NA
260,NA
261,NA
262,NA
263,NA
264,NA
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,NA
273,NA
274,NA
275,NA
276,NA
277,NA
278,NA
279,NA
280,NA
281,NA
282,NA
283,NA
284,NA
285,NA
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,NA
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,NA
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,NA
334,NA
335,NA
336,NA
337,NA
338,NA
339,NA
340,NA
341,NA
342,NA
343,NA
344,NA
345,NA
346,NA
347,NA
348,NA
349,NA
350,NA
351,NA
352,NA
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,NA
361,NA
362,NA
363,NA
364,NA
365,NA
366,NA
367,NA
368,NA
369,NA
370,NA
371,NA
372,NA
373,NA
374,NA
375,NA
376,NA
377,NA
378,NA
379,NA
380,NA
381,NA
382,NA
383,NA
384,NA
385,NA
386,NA
387,NA
388,NA
389,NA
390,NA
391,NA
392,NA
393,NA
394,NA
395,NA
396,NA
397,NA
398,NA
399,NA
400,NA
401,NA
402,NA
403,NA
404,NA
405,NA
406,NA
407,NA
408,NA
409,NA
410,NA
411,NA
412,NA
413,NA
414,NA
415,NA
416,NA
417,NA
418,NA
419,NA
420,NA
421,NA
422,NA
423,NA
424,NA
425,NA
426,NA
427,NA
428,NA
429,NA
430,NA
431,NA
432,NA
433,NA
434,NA
435,NA
436,NA
437,NA
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,NA
445,NA
446,NA
447,NA
448,NA
449,NA
450,NA
451,NA
452,NA
453,NA
454,NA
455,NA
456,NA
457,NA
458,NA
459,NA
460,NA
461,NA
462,NA
463,NA
464,NA
465,NA
466,NA
467,NA
468,NA
469,NA
470,NA
471,NA
472,NA
473,NA
474,NA
475,NA
476,NA
477,NA
478,NA
479,NA
480,NA
481,NA
482,NA
483,NA
484,NA
485,NA
486,NA
487,NA
488,NA
489,NA
490,NA
491,NA
492,NA
493,NA
494,NA
495,NA
496,NA
497,NA
498,NA
499,NA
500,NA
501,NA
502,NA
503,NA
504,NA
505,NA
506,NA
507,NA
508,NA
509,NA
510,NA
511,NA
512,NA
513,NA
514,NA
515,NA
516,NA
517,NA
518,NA
519,NA
520,NA
521,NA
522,NA
523,NA
524,NA
525,NA
526,NA
527,NA
528,NA
529,NA
530,NA
531,NA
532,NA
533,NA
534,NA
535,NA
536,NA
537,NA
538,NA
539,NA
540,NA
541,NA
542,NA
543,NA
544,NA
545,NA
546,NA
547,NA
548,NA
549,NA
550,NA
551,NA
552,NA
553,NA
554,NA
555,NA
556,NA
557,NA
558,NA
559,NA
560,NA
561,NA
562,NA
563,NA
564,NA
565,NA
566,NA
567,NA
568,NA
569,NA
570,NA
571,NA
572,NA
573,NA
574,NA
575,NA
576,NA
577,NA
578,NA
579,NA
580,NA
581,NA
582,NA
583,NA
584,NA
585,NA
586,NA
587,NA
588,NA
589,NA
590,NA
591,NA
592,NA
593,NA
594,NA
595,NA
596,NA
597,NA
598,NA
599,NA
600,NA
601,NA
602,NA
603,NA
604,NA
605,NA
606,NA
607,NA
608,NA
609,NA
610,NA
611,NA
612,NA
613,NA
614,NA
615,NA
616,NA
617,NA
618,NA
619,NA
620,NA
621,NA
622,NA
623,NA
624,NA
625,NA
626,NA
627,NA
628,NA
629,NA
630,NA
631,NA
632,NA
633,NA
634,NA
635,NA
636,NA
637,NA
638,NA
639,NA
640,NA
641,NA
642,NA
643,NA
644,NA
645,NA
646,NA
647,NA
648,NA
649,NA
650,NA
651,NA
652,NA
653,NA
654,NA
655,NA
656,NA
657,NA
658,NA
659,NA
660,NA
661,NA
662,NA
663,NA
664,NA
665,NA
666,NA
667,NA
668,NA
669,NA
670,NA
671,NA
672,NA
673,NA
674,NA
675,NA
676,NA
677,NA
678,NA
679,NA
680,NA
681,NA
682,NA
683,NA
684,NA
685,NA
686,NA
687,NA
688,NA
689,NA
690,NA
691,NA
692,NA
693,NA
694,NA
695,NA
696,NA
697,NA
698,NA
699,NA
700,NA
701,NA
702,NA
703,NA
704,NA
705,NA
706,NA
707,NA
708,NA
709,NA
710,NA
711,NA
712,NA
713,NA
714,NA
715,NA
716,NA
717,NA
718,NA
719,NA
720,NA
721,NA
722,NA
723,NA
724,NA
725,NA
726,NA
727,NA
728,NA
729,NA
730,NA
731,NA
732,NA
733,NA
734,NA
735,NA
736,NA
737,NA
738,NA
739,NA
740,NA
741,NA
742,NA
743,NA
744,NA
745,NA
746,NA
747,NA
748,NA
749,NA
750,NA
751,NA
752,NA
753,NA
754,NA
755,NA
756,NA
757,NA
758,NA
759,NA
760,NA
761,NA
762,NA
763,NA
764,NA
765,NA
766,NA
767,NA
768,NA
769,NA
770,NA
771,NA
772,NA
773,NA
774,NA
775,NA
776,NA
777,NA
778,NA
779,NA
780,NA
781,NA
782,NA
783,NA
784,NA
785,NA
786,NA
787,NA
788,NA
789,NA
790,NA
791,NA
792,NA
793,NA
794,NA
795,NA
796,NA
797,NA
798,NA
799,NA
800,NA
801,NA
802,NA
803,NA
804,NA
805,NA
806,NA
807,NA
808,NA
809,NA
810,NA
811,NA
812,NA
813,NA
814,NA
815,NA
816,NA
817,NA
818,NA
819,NA
820,NA
821,NA
822,NA
823,NA
824,NA
825,NA
826,NA
827,NA
828,NA
829,NA
830,NA
831,NA
832,NA
833,NA
834,NA
835,NA
836,NA
837,NA
838,NA
839,NA
840,NA
841,NA
842,NA
843,NA
844,NA
845,NA
846,NA
847,NA
848,NA
849,NA
850,NA
851,NA
852,NA
853,NA
854,NA
855,NA
856,NA
857,NA
858,NA
859,NA
860,NA
861,NA
862,NA
863,NA
864,NA
865,NA
866,NA
867,NA
868,NA
869,NA
870,NA
871,NA
872,NA
873,NA
874,NA
875,NA
876,NA
877,NA
878,NA
879,NA
880,NA
881,NA
882,NA
883,NA
884,NA
885,NA
886,NA
887,NA
888,NA
889,NA
890,NA
891,NA
892,NA
893,NA
894,NA
895,NA
896,NA
897,NA
898,NA
899,NA
900,NA
901,NA
902,NA
903,NA
904,NA
905,NA
906,NA
907,NA
908,NA
909,NA
910,NA
911,NA
912,NA
913,NA
914,NA
915,NA
916,NA
917,NA
918,NA
919,NA
920,NA
921,NA
922,NA
923,NA
924,NA
925,NA
926,NA
927,NA
928,NA
929,NA
930,NA
931,NA
932,NA
933,NA
934,NA
935,NA
936,NA
937,NA
938,NA
939,NA
940,NA
941,NA
942,NA
943,NA
944,NA
945,NA
946,NA
947,NA
948,NA
949,NA
950,NA
951,NA
952,NA
953,NA
954,NA
955,NA
956,NA
957,NA
958,NA
959,NA
960,NA
961,NA
962,NA
963,NA
964,NA
965,NA
966,NA
967,NA
968,NA
969,NA
970,NA
971,NA
972,NA
973,NA
974,NA
975,NA
976,NA
977,NA
978,NA
979,NA
980,NA
981,NA
982,NA
983,NA
984,NA
985,NA
986,NA
987,NA
988,NA
989,NA
990,NA
991,NA
992,NA
993,NA
994,NA
995,NA
996,NA
997,NA
998,NA
999,NA
1000,NA
1001,NA
1002,NA
1003,NA
1004,NA
1005,NA
1006,NA
1007,NA
1008,NA
1009,NA
1010,NA
1011,NA
1012,NA
1013,NA
1014,NA
1015,NA
1016,NA
1017,NA
1018,NA
1019,NA
1020,NA
1021,NA
1022,NA
1023,NA
1024,NA
1025,NA
1026,NA
1027,NA
1028,NA
1029,NA
1030,NA
1031,NA
1032,NA
1033,NA
1034,NA
1035,NA
1036,NA
1037,NA
1038,NA
1039,NA
1040,NA
1041,NA
1042,NA
1043,NA
1044,NA
1045,NA
1046,NA
1047,NA
1048,NA
1049,NA
1050,NA
1051,NA
1052,NA
1053,NA
1054,NA
1055,NA
1056,NA
1057,NA
1058,NA
1059,NA
1060,NA
1061,NA
1062,NA
1063,NA
1064,NA
1065,NA
1066,NA
1067,NA
1068,NA
1069,NA
1070,NA
1071,NA
1072,NA
1073,NA
1074,NA
1075,NA
1076,NA
1077,NA
1078,NA
1079,NA
1080,NA
1081,NA
1082,NA
1083,NA
1084,NA
1085,NA
1086,NA
1087,NA
1088,NA
1089,NA
1090,NA
1091,NA
1092,NA
1093,NA
1094,NA
1095,NA
1096,NA
1097,NA
1098,NA
1099,NA
1100,NA
1101,NA
1102,NA
1103,NA
1104,NA
1105,NA
1106,NA
1107,NA
1108,NA
1109,NA
1110,NA
1111,NA
1112,NA
1113,NA
1114,NA
1115,NA
1116,NA
1117,NA
1118,NA
1119,NA
1120,NA
1121,NA
1122,NA
1123,NA
1124,NA
1125,NA
1126,NA
1127,NA
1128,NA
1129,NA
1130,NA
1131,NA
1132,NA
1133,NA
1134,NA
1135,NA
1136,NA
1137,NA
1138,NA
1139,NA
1140,NA
1141,NA
1142,NA
1143,NA
1144,NA
1145,NA
1146,NA
1147,NA
