,x
1,NA
2,NA
3,6
4,NA
5,1
6,1
7,1
8,3
9,NA
10,2
11,11
12,1
13,NA
14,3
15,NA
16,1
17,1
18,1
19,NA
20,2
21,NA
22,4
23,1
24,NA
25,6
26,NA
27,1
28,1
29,10
30,NA
31,1
32,NA
33,NA
34,3
35,3
36,NA
37,6
38,3
39,1
40,NA
41,1
42,3
43,1
44,5
45,1
46,NA
47,2
48,NA
49,1
50,1
51,NA
52,NA
53,1
54,1
55,NA
56,1
57,NA
58,NA
59,2
60,1
61,NA
62,NA
63,1
64,NA
65,2
66,NA
67,NA
68,1
69,1
70,NA
71,2
72,NA
73,NA
74,NA
75,1
76,NA
77,NA
78,5
79,NA
80,1
81,NA
82,NA
83,2
84,NA
85,NA
86,NA
87,2
88,NA
89,2
90,2
91,1
92,NA
93,1
94,NA
95,1
96,NA
97,NA
98,NA
99,NA
100,4
101,NA
102,3
103,NA
104,2
105,NA
106,4
107,1
108,2
109,NA
110,NA
111,2
112,2
113,2
114,1
115,NA
116,NA
117,3
118,NA
119,2
120,NA
121,NA
122,NA
123,NA
124,7
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,3
132,NA
133,3
134,1
135,1
136,2
137,1
138,NA
139,1
140,4
141,NA
142,2
143,3
144,1
145,1
146,NA
147,1
148,3
149,3
150,8
151,2
152,1
153,NA
154,3
155,2
156,NA
157,12
158,1
159,2
160,NA
161,1
162,NA
163,3
164,1
165,5
166,NA
167,NA
168,2
169,1
170,5
171,NA
172,NA
173,3
174,3
175,NA
176,NA
177,1
178,5
179,1
180,NA
181,NA
182,1
183,NA
184,1
185,NA
186,NA
187,2
188,NA
189,3
190,1
191,NA
192,NA
193,NA
194,NA
195,4
196,1
197,1
198,1
199,1
200,3
201,3
202,NA
203,1
204,NA
205,1
206,1
207,1
208,1
209,2
210,3
211,NA
212,1
213,NA
214,NA
215,2
216,1
217,NA
218,NA
219,NA
220,3
221,NA
222,2
223,NA
224,2
225,14
226,2
227,4
228,2
229,3
230,3
231,NA
232,NA
233,NA
234,NA
235,NA
236,2
237,1
238,NA
239,5
240,1
241,28
242,NA
243,2
244,3
245,1
246,1
247,NA
248,3
249,1
250,4
251,NA
252,3
253,6
254,2
255,NA
256,2
257,2
258,3
259,NA
260,NA
261,2
262,2
263,NA
264,NA
265,NA
266,11
267,4
268,1
269,3
270,2
271,9
272,9
273,9
274,9
275,NA
276,1
277,NA
278,2
279,2
280,2
281,2
282,NA
283,2
284,NA
285,3
286,2
287,NA
288,NA
289,NA
290,3
291,NA
292,NA
293,NA
294,NA
295,NA
296,NA
297,NA
298,2
299,1
300,5
301,NA
302,2
303,1
304,NA
305,3
306,NA
307,6
308,NA
309,2
310,2
311,2
312,NA
313,NA
314,NA
315,11
316,1
317,NA
318,5
319,NA
320,4
321,NA
322,1
323,5
324,2
325,5
326,7
327,2
328,4
329,2
330,8
331,5
332,12
333,NA
334,20
335,9
336,7
337,1
338,6
339,NA
340,1
341,2
342,4
343,9
344,1
345,4
346,NA
347,5
348,2
349,1
350,3
351,NA
352,NA
353,NA
354,4
355,2
356,1
357,NA
358,NA
359,2
360,NA
361,17
362,1
363,18
364,NA
365,NA
366,NA
367,6
368,11
369,NA
370,NA
371,NA
372,2
373,1
374,1
375,NA
376,NA
377,2
378,NA
379,NA
380,NA
381,13
382,4
383,4
384,4
385,4
386,1
387,1
388,10
389,NA
390,NA
391,1
392,4
393,2
394,2
395,NA
396,NA
397,1
398,NA
399,1
400,NA
401,NA
402,NA
403,NA
404,1
405,38
406,4
407,1
408,NA
409,NA
410,18
411,NA
412,33
413,31
414,NA
415,1
416,6
417,9
418,1
419,7
420,7
421,8
422,NA
423,3
424,NA
425,1
426,2
427,2
428,1
429,24
430,NA
431,9
432,NA
433,7
434,NA
435,1
436,7
437,3
438,10
439,NA
440,2
441,2
442,NA
443,1
444,2
445,3
446,1
447,NA
448,NA
449,NA
450,3
451,1
452,NA
453,3
454,NA
455,NA
456,5
457,5
458,1
459,NA
460,NA
461,NA
462,NA
463,5
464,1
465,NA
466,16
467,NA
468,NA
469,87
470,NA
471,2
472,31
473,NA
474,10
475,NA
476,9
477,5
478,NA
479,48
480,28
481,13
482,17
483,NA
484,48
485,5
486,4
487,14
488,NA
489,1
490,1
491,NA
492,NA
493,15
494,2
495,1
496,NA
497,7
498,6
499,8
500,25
501,NA
502,NA
503,2
504,18
505,NA
506,NA
507,7
508,1
509,1
510,4
511,NA
512,9
513,NA
514,NA
515,14
516,16
517,40
518,7
519,NA
520,NA
521,6
522,1
523,1
524,4
525,8
526,9
527,4
528,NA
529,4
530,NA
531,NA
532,20
533,NA
534,NA
535,NA
536,19
537,NA
538,NA
539,NA
540,NA
541,75
542,NA
543,NA
544,NA
545,137
546,137
547,NA
548,NA
549,NA
550,94
551,NA
552,NA
553,NA
554,NA
555,168
556,NA
557,NA
558,NA
559,121
560,NA
561,NA
562,NA
563,79
564,NA
565,NA
566,NA
567,NA
568,102
569,NA
570,NA
571,NA
572,121
573,NA
574,NA
575,NA
576,78
577,NA
578,NA
579,NA
580,NA
581,76
582,NA
583,35
584,NA
585,61
586,55
587,5
588,11
589,14
590,19
591,45
592,16
593,7
594,28
595,NA
596,NA
597,40
598,NA
599,26
600,NA
601,NA
602,8
603,NA
604,31
605,22
606,2
607,1
608,4
609,NA
610,9
611,1
612,19
613,5
614,NA
615,8
616,3
617,NA
618,NA
619,7
620,2
621,2
622,5
623,3
624,1
625,7
626,1
627,32
628,5
629,2
630,NA
631,1
632,3
633,5
634,NA
635,4
636,14
637,6
638,1
639,5
640,NA
641,NA
642,2
643,NA
644,5
645,9
646,3
647,2
648,NA
649,8
650,6
651,2
652,7
653,2
654,1
655,2
656,NA
657,3
658,5
659,11
660,NA
661,2
662,2
663,1
664,1
665,2
666,2
667,3
668,1
669,1
670,1
671,NA
672,1
673,1
674,NA
675,2
676,NA
677,NA
678,1
679,2
680,1
681,1
682,NA
683,1
684,NA
685,1
686,NA
687,NA
688,1
689,NA
690,NA
691,NA
692,4
693,NA
694,NA
695,3
696,NA
697,2
698,1
699,1
700,NA
701,NA
702,1
703,1
704,1
705,16
706,NA
707,NA
708,1
709,NA
710,1
711,1
712,NA
713,3
714,2
715,2
716,1
717,NA
718,NA
719,NA
720,4
721,2
722,NA
723,NA
724,NA
725,NA
726,1
727,1
728,NA
729,2
730,2
731,1
732,NA
733,1
734,1
735,2
736,2
737,NA
738,NA
739,2
740,1
741,1
742,NA
743,1
744,NA
745,NA
746,NA
747,1
748,NA
749,1
750,NA
751,NA
752,1
753,NA
754,2
755,NA
756,1
757,2
758,NA
759,1
760,2
761,NA
762,NA
763,NA
764,1
765,NA
766,NA
767,NA
768,NA
769,NA
770,NA
771,NA
772,NA
773,NA
774,NA
775,NA
776,NA
777,NA
778,NA
779,NA
780,NA
781,NA
782,NA
783,NA
784,1
785,NA
786,NA
787,NA
788,NA
789,NA
790,NA
791,NA
792,NA
793,NA
794,1
795,NA
796,NA
797,1
798,NA
799,1
800,NA
801,NA
802,NA
803,1
804,1
805,1
806,1
807,NA
808,NA
809,3
810,NA
811,NA
812,NA
813,2
814,2
815,NA
816,4
817,1
818,NA
819,6
820,NA
821,1
822,2
823,NA
824,NA
825,NA
826,1
827,3
828,NA
829,NA
830,2
831,NA
832,NA
833,NA
834,1
835,NA
836,1
837,NA
838,NA
839,NA
840,6
841,NA
842,3
843,NA
844,NA
845,1
846,1
847,NA
848,NA
849,NA
850,NA
851,NA
852,1
853,NA
854,NA
855,1
856,NA
857,1
858,NA
859,NA
860,NA
861,NA
862,2
863,1
864,NA
865,NA
866,NA
867,NA
868,1
869,NA
870,NA
871,NA
872,NA
873,NA
874,NA
875,2
876,NA
877,NA
878,1
879,1
880,NA
881,NA
882,NA
883,NA
884,NA
885,1
886,1
887,1
888,NA
889,NA
890,NA
891,NA
892,1
893,NA
894,NA
895,NA
896,1
897,NA
898,NA
899,NA
900,2
901,2
902,2
903,NA
904,1
905,1
906,NA
907,NA
908,NA
909,1
910,1
911,6
912,1
913,4
914,1
915,6
916,NA
917,NA
918,NA
919,NA
920,NA
921,1
922,2
923,NA
924,NA
925,NA
926,1
927,2
928,4
929,NA
930,1
931,NA
932,NA
933,NA
934,NA
935,NA
936,NA
937,NA
938,1
939,NA
940,NA
941,NA
942,1
943,NA
944,NA
945,1
946,NA
947,NA
948,NA
949,NA
950,1
951,NA
952,NA
953,NA
954,NA
955,NA
956,NA
957,NA
958,NA
959,1
960,NA
961,NA
962,1
963,NA
964,NA
965,1
966,NA
967,NA
968,NA
969,1
970,NA
971,NA
972,NA
973,NA
974,NA
975,NA
976,NA
977,NA
978,NA
979,NA
980,NA
981,NA
982,NA
983,NA
984,NA
985,1
986,NA
987,NA
988,NA
989,4
990,1
991,1
992,NA
993,NA
994,1
995,NA
996,NA
997,1
998,NA
999,NA
1000,4
1001,NA
1002,2
1003,NA
1004,1
1005,NA
1006,NA
1007,NA
1008,2
1009,1
1010,NA
1011,NA
1012,1
1013,NA
1014,NA
1015,1
1016,NA
1017,1
1018,NA
1019,NA
1020,NA
1021,NA
1022,NA
1023,NA
1024,NA
1025,NA
1026,NA
1027,NA
1028,1
1029,2
1030,NA
1031,NA
1032,NA
1033,NA
1034,NA
1035,NA
1036,NA
1037,NA
1038,NA
1039,NA
1040,NA
1041,NA
1042,NA
1043,1
1044,NA
1045,NA
1046,NA
1047,NA
1048,1
1049,NA
1050,NA
1051,1
1052,NA
1053,NA
1054,NA
1055,NA
1056,NA
1057,NA
1058,1
1059,NA
1060,NA
1061,1
1062,1
1063,1
1064,NA
1065,1
1066,3
1067,NA
1068,1
1069,NA
1070,1
1071,NA
1072,3
1073,4
1074,NA
1075,NA
1076,NA
1077,1
1078,1
1079,NA
