,x
1,6
2,6
3,25
4,9
5,18
6,12
7,9
8,8
9,12
10,6
11,7
12,2
13,12
14,5
15,8
16,5
17,3
18,NA
19,5
20,9
21,4
22,1
23,3
24,5
25,8
26,3
27,2
28,5
29,7
30,5
31,9
32,11
33,7
34,8
35,4
36,7
37,NA
38,16
39,12
40,6
41,13
42,5
43,1
44,10
45,8
46,11
47,11
48,7
49,9
50,10
51,6
52,9
53,31
54,7
55,16
56,9
57,6
58,7
59,NA
60,11
61,7
62,5
63,15
64,6
65,NA
66,4
67,6
68,7
69,3
70,11
71,5
72,11
73,8
74,11
75,3
76,2
77,7
78,3
79,8
80,6
81,13
82,NA
83,5
84,9
85,14
86,3
87,8
88,6
89,14
90,14
91,4
92,1
93,6
94,10
95,5
96,4
97,11
98,3
99,4
100,9
101,NA
102,3
103,8
104,41
105,11
106,7
107,15
108,5
109,7
110,4
111,14
112,7
113,8
114,3
115,NA
116,20
117,8
118,13
119,9
120,9
121,9
122,5
123,3
124,9
125,22
126,4
127,4
128,3
129,6
130,5
131,4
132,9
133,12
134,8
135,6
136,5
137,4
138,20
139,13
140,5
141,3
142,31
143,7
144,8
145,8
146,13
147,4
148,4
149,NA
150,14
151,16
152,6
153,3
154,9
155,1
156,9
157,4
158,9
159,12
160,6
161,6
162,14
163,7
164,9
165,5
166,5
167,8
168,7
169,6
170,13
171,9
172,24
173,10
174,12
175,7
176,11
177,14
178,6
179,5
180,13
181,9
182,12
183,9
184,11
185,12
186,12
187,9
188,13
189,5
190,22
191,NA
192,10
193,NA
194,16
195,13
196,15
197,16
198,NA
199,14
200,8
201,8
202,12
203,6
204,16
205,8
206,4
207,18
208,15
209,14
210,11
211,NA
212,6
213,12
214,18
215,7
216,9
217,7
218,18
219,8
220,9
221,13
222,14
223,10
224,7
225,19
226,14
227,9
228,13
229,7
230,16
231,9
232,10
233,17
234,9
235,8
236,10
237,10
238,12
239,10
240,17
241,8
242,17
243,10
244,16
245,14
246,30
247,11
248,5
249,25
250,15
251,NA
252,12
253,7
254,16
255,NA
256,15
257,13
258,9
259,10
260,13
261,13
262,17
263,11
264,17
265,25
266,14
267,21
268,28
269,24
270,13
271,11
272,19
273,19
274,19
275,17
276,19
277,19
278,22
279,19
280,11
281,21
282,19
283,16
284,11
285,18
286,11
287,21
288,20
289,8
290,25
291,9
292,7
293,21
294,11
295,24
296,21
297,22
298,12
299,15
300,26
301,11
302,13
303,12
304,16
305,16
306,28
307,15
308,16
309,19
310,14
311,14
312,31
313,24
314,21
315,15
316,14
317,NA
318,13
319,NA
320,15
321,14
322,19
323,NA
324,19
325,30
326,15
327,11
328,24
329,13
330,7
331,23
332,13
333,11
334,13
335,29
336,12
337,10
338,8
339,NA
340,32
341,9
342,4
343,9
344,12
345,12
346,10
347,10
348,13
349,18
350,8
351,NA
352,NA
353,15
354,15
355,12
356,9
357,16
358,15
359,11
360,15
361,24
362,18
363,10
364,16
365,11
366,14
367,11
368,12
369,NA
370,3
371,NA
372,14
373,6
374,13
375,NA
376,NA
377,NA
378,NA
379,1
380,2
381,NA
382,1
383,NA
384,NA
385,NA
386,NA
387,NA
388,1
389,1
390,NA
391,NA
392,NA
393,1
394,1
395,NA
396,1
397,NA
398,NA
399,NA
400,NA
401,NA
402,9
403,9
404,1
405,1
406,NA
407,NA
408,NA
409,NA
410,1
411,NA
412,NA
413,NA
414,NA
415,NA
416,NA
417,NA
418,18
419,5
420,6
421,7
422,48
423,19
424,2
425,7
426,20
427,2
428,10
429,3
430,7
431,4
432,15
433,9
434,35
435,7
436,11
437,13
438,8
439,10
440,18
441,12
442,16
443,16
444,10
445,11
446,4
447,7
448,4
449,8
450,11
451,4
452,10
453,2
454,3
455,2
456,8
457,7
458,14
459,6
460,11
461,NA
462,8
463,20
464,11
465,10
466,26
467,21
468,NA
469,8
470,NA
471,5
472,27
473,3
474,22
475,3
476,10
477,3
478,11
479,NA
480,14
481,8
482,3
483,15
484,15
485,10
486,25
487,12
488,6
489,2
490,13
491,4
492,9
493,8
494,14
495,5
496,14
497,7
498,16
499,13
500,8
501,9
502,NA
503,13
504,7
505,9
506,8
507,9
508,6
509,14
510,4
511,6
