,x
1,7
2,7
3,11
4,18
5,11
6,18
7,12
8,11
9,19
10,22
11,20
12,19
13,17
14,22
15,16
16,12
17,15
18,12
19,26
20,12
21,19
22,21
23,9
24,12
25,12
26,12
27,18
28,6
29,4
30,27
31,5
32,15
33,10
34,11
35,11
36,7
37,5
38,7
39,15
40,7
41,15
42,10
43,21
44,10
45,5
46,9
47,6
48,4
49,10
50,10
51,7
52,NA
53,9
54,2
55,5
56,14
57,8
58,2
59,8
60,16
61,12
62,14
63,15
64,15
65,6
66,10
67,10
68,17
69,15
70,7
71,16
72,14
73,12
74,23
75,20
76,13
77,23
78,14
79,6
80,9
81,12
82,15
83,9
84,19
85,25
86,7
87,21
88,20
89,7
90,11
91,14
92,12
93,33
94,6
95,7
96,21
97,8
98,12
99,11
100,8
101,11
102,14
103,5
104,6
105,6
106,10
107,6
108,14
109,7
110,11
111,5
112,17
113,8
114,14
115,15
116,10
117,22
118,16
119,15
120,30
121,9
122,32
123,29
124,25
125,17
126,28
127,13
128,20
129,13
130,18
131,15
132,24
133,23
134,19
135,28
136,16
137,10
138,40
139,26
140,32
141,6
142,16
143,23
144,49
145,27
146,23
147,52
148,17
149,54
150,20
151,20
152,59
153,20
154,50
155,9
156,NA
157,34
158,32
159,26
160,23
161,29
162,17
163,18
164,17
165,44
166,20
167,37
168,16
169,20
170,42
171,23
172,42
173,28
174,21
175,35
176,18
177,35
178,15
179,44
180,25
181,27
182,18
183,33
184,30
185,24
186,NA
187,49
188,31
189,23
190,18
191,NA
192,33
193,NA
194,38
195,36
196,29
197,11
198,23
199,19
200,33
201,33
202,24
203,55
204,38
205,32
206,13
207,27
208,15
209,25
210,25
211,NA
212,11
213,41
214,43
215,14
216,24
217,26
218,34
219,44
220,46
221,15
222,36
223,18
224,47
225,35
226,47
227,5
228,53
229,41
230,55
231,23
232,47
233,29
234,32
235,68
236,32
237,33
238,47
239,40
240,24
241,30
242,50
243,51
244,87
245,27
246,36
247,27
248,27
249,54
250,38
251,56
252,45
253,27
254,42
255,NA
256,36
257,23
258,39
259,27
260,15
261,39
262,NA
263,18
264,35
265,47
266,33
267,25
268,24
269,71
270,34
271,40
272,53
273,53
274,53
275,41
276,51
277,21
278,38
279,17
280,57
281,54
282,61
283,26
284,54
285,28
286,43
287,50
288,38
289,48
290,51
291,44
292,21
293,34
294,47
295,33
296,25
297,49
298,37
299,84
300,30
301,57
302,39
303,33
304,24
305,62
306,76
307,35
308,31
309,50
310,21
311,56
312,31
313,75
314,35
315,52
316,NA
317,NA
318,31
319,NA
320,56
321,49
322,38
323,85
324,61
325,49
326,47
327,45
328,54
329,42
330,46
331,50
332,62
