,x
1,4
2,4
3,NA
4,NA
5,2
6,NA
7,NA
8,3
9,5
10,3
11,3
12,15
13,2
14,10
15,13
16,15
17,16
18,12
19,11
20,10
21,5
22,15
23,7
24,12
25,15
26,6
27,6
28,NA
29,7
30,7
31,5
32,12
33,15
34,7
35,6
36,8
37,6
38,5
39,2
40,4
41,3
42,11
43,7
44,32
45,9
46,7
47,4
48,101
49,12
50,26
51,11
52,3
53,9
54,23
55,14
56,6
57,9
58,67
59,12
60,16
61,19
62,7
63,29
64,20
65,9
66,38
67,3
68,23
69,16
70,9
71,17
72,6
73,26
74,11
75,14
76,25
77,8
78,7
79,10
80,24
81,2
82,NA
83,13
84,14
85,19
86,39
87,15
88,19
89,16
90,16
91,10
92,30
93,16
94,15
95,18
96,5
97,50
98,6
99,41
100,2
101,34
102,18
103,9
104,41
105,6
106,10
107,34
108,13
109,36
110,21
111,24
112,35
113,29
114,10
115,35
116,8
117,4
118,42
119,29
120,28
121,16
122,11
123,22
124,33
125,3
126,11
127,39
128,1
129,22
130,2
131,2
132,16
133,5
134,14
135,17
136,53
137,9
138,27
139,NA
140,11
141,18
142,39
143,17
144,21
145,16
146,18
147,17
148,16
149,30
150,26
151,NA
152,34
153,17
154,12
155,19
156,12
157,6
158,21
159,24
160,14
161,6
162,6
163,16
164,17
165,30
166,12
167,18
168,16
169,1
170,41
171,43
172,10
173,17
174,10
175,14
176,31
177,19
178,NA
179,19
180,10
181,16
182,11
183,14
184,5
185,17
186,6
187,7
188,7
189,31
190,1
191,NA
192,20
193,NA
194,14
195,32
196,3
197,26
198,9
199,9
200,23
201,23
202,15
203,14
204,5
205,22
206,17
207,16
208,6
209,NA
210,9
211,NA
212,10
213,30
214,19
215,19
216,22
217,21
218,4
219,9
220,36
221,5
222,6
223,2
224,31
225,10
226,9
227,19
228,8
229,10
230,12
231,26
232,35
233,13
234,25
235,16
236,3
237,20
238,14
239,13
240,14
241,2
242,10
243,12
244,28
245,27
246,16
247,22
248,17
249,1
250,22
251,5
252,20
253,18
254,13
255,NA
256,3
257,6
258,14
259,1
260,13
261,4
262,9
263,39
264,12
265,9
266,20
267,7
268,7
269,9
270,22
271,40
272,11
273,11
274,11
275,28
276,26
277,12
278,6
279,17
280,26
281,7
282,28
283,13
284,15
285,31
286,19
287,8
288,17
289,3
290,12
291,14
292,24
293,22
294,5
295,15
296,19
297,17
298,12
299,NA
300,14
301,19
302,8
303,18
304,7
305,17
306,15
307,27
308,22
309,11
310,19
311,7
312,9
313,21
314,1
315,11
316,12
317,NA
318,2
319,NA
320,11
321,23
322,19
323,14
324,16
325,20
326,5
327,15
328,18
329,14
330,3
331,24
332,11
333,11
334,12
335,17
336,6
337,14
338,5
339,NA
340,30
341,16
342,9
343,4
344,18
345,11
346,20
347,12
348,5
349,35
350,20
351,NA
352,NA
353,8
354,12
355,42
356,16
357,9
358,17
359,7
360,14
361,14
362,25
363,25
364,10
365,9
366,21
367,30
368,13
