,x
1,6
2,6
3,4
4,8
5,3
6,9
7,9
8,3
9,4
10,1
11,4
12,13
13,8
14,4
15,6
16,NA
17,3
18,3
19,5
20,3
21,2
22,2
23,2
24,3
25,1
26,NA
27,4
28,4
29,3
30,2
31,4
32,2
33,4
34,NA
35,6
36,NA
37,NA
38,2
39,3
40,NA
41,3
42,3
43,4
44,4
45,9
46,NA
47,2
48,2
49,3
50,2
51,11
52,7
53,5
54,NA
55,7
56,5
57,1
58,11
59,8
60,3
61,2
62,NA
63,NA
64,7
65,2
66,6
67,1
68,4
69,3
70,3
71,2
72,2
73,4
74,2
75,3
76,5
77,2
78,5
79,3
80,4
81,NA
82,9
83,1
84,9
85,5
86,NA
87,4
88,5
89,11
90,11
91,3
92,6
93,NA
94,4
95,4
96,6
97,3
98,6
99,3
100,6
101,6
102,4
103,3
104,6
105,2
106,3
107,11
108,6
109,5
110,10
111,4
112,5
113,5
114,4
115,6
116,3
117,11
118,4
119,1
120,2
121,7
122,9
123,8
124,10
125,13
126,7
127,12
128,8
129,10
130,3
131,36
132,11
133,10
134,7
135,10
136,8
137,7
138,5
139,6
140,9
141,1
142,4
143,4
144,14
145,11
146,4
147,6
148,13
149,12
150,5
151,18
152,16
153,2
154,7
155,10
156,4
157,3
158,NA
159,NA
160,9
161,5
162,6
163,9
164,3
165,6
166,7
167,14
168,10
169,12
170,3
171,8
172,2
173,4
174,4
175,12
176,3
177,6
178,2
179,8
180,2
181,2
182,8
183,2
184,1
185,13
186,4
187,8
188,4
189,3
190,6
191,NA
192,4
193,NA
194,8
195,5
196,10
197,3
198,5
199,5
200,3
201,3
202,3
203,9
204,7
205,7
206,1
207,4
208,12
209,2
210,2
211,NA
212,NA
213,6
214,10
215,6
216,35
217,11
218,6
219,12
220,17
221,17
222,6
223,17
224,10
225,15
226,16
227,8
228,9
229,16
230,6
231,8
232,7
233,8
234,6
235,9
236,8
237,11
238,7
239,8
240,10
241,11
242,8
243,6
244,7
245,8
246,8
247,5
248,14
249,6
250,12
251,14
252,20
253,4
254,4
255,NA
256,32
257,10
258,30
259,14
260,15
261,5
262,7
263,10
264,NA
265,10
266,9
267,6
268,14
269,22
270,17
271,8
272,28
273,28
274,28
275,12
276,10
277,21
278,12
279,6
280,23
281,4
282,6
283,7
284,8
285,10
286,8
287,14
288,9
289,10
290,12
291,4
292,53
293,18
294,12
295,14
296,10
297,19
298,8
299,14
300,10
301,14
302,12
303,12
304,10
305,3
306,12
307,4
308,3
309,5
310,10
311,6
312,10
313,15
314,7
315,4
316,4
317,NA
318,NA
319,NA
320,26
321,10
322,14
323,12
324,2
325,7
326,7
327,10
328,8
329,8
330,6
331,10
332,12
333,15
334,12
335,8
336,14
337,6
338,8
339,NA
340,14
341,8
342,10
343,8
344,8
345,14
346,12
347,14
348,14
349,8
350,6
351,NA
352,NA
353,8
354,14
355,4
356,6
357,23
358,12
359,3
360,4
361,16
362,4
363,2
364,4
365,5
366,2
367,6
368,3
369,NA
370,NA
371,NA
372,5
373,4
374,14
375,8
376,11
377,4
378,6
379,14
380,6
381,16
382,2
383,15
384,14
385,16
386,10
387,10
388,21
389,16
390,8
391,6
392,10
393,20
394,13
395,7
396,9
397,10
398,6
399,10
400,8
401,16
402,14
403,14
404,20
405,18
406,10
407,12
408,3
409,20
410,12
411,10
412,6
413,10
414,10
415,9
416,8
417,13
418,7
419,14
420,8
421,12
422,6
423,4
424,NA
425,3
426,2
427,14
428,11
429,12
430,12
431,12
432,10
433,21
434,10
435,12
436,16
437,8
438,2
439,6
440,8
441,12
442,8
443,6
444,10
445,6
446,6
447,8
448,8
449,10
450,10
451,12
452,14
453,5
454,5
455,4
456,12
457,4
458,4
459,4
460,4
461,NA
462,4
463,4
464,12
465,8
466,10
467,2
468,NA
469,16
470,NA
471,10
472,4
473,8
474,4
475,8
476,NA
477,NA
478,3
479,4
480,5
481,8
482,8
483,10
484,8
485,18
486,10
487,6
488,10
489,16
490,10
491,4
492,12
493,14
494,12
495,4
496,7
497,10
498,14
499,8
500,NA
501,4
502,NA
503,6
504,NA
505,12
506,8
507,10
508,4
509,2
510,3
511,2
512,3
513,8
514,9
515,2
