,x
1,26
2,26
3,23
4,17
5,18
6,44
7,26
8,20
9,81
10,47
11,32
12,32
13,36
14,22
15,17
16,18
17,35
18,8
19,11
20,19
21,9
22,27
23,12
24,18
25,18
26,11
27,6
28,13
29,17
30,7
31,8
32,5
33,7
34,9
35,13
36,9
37,6
38,10
39,19
40,11
41,14
42,13
43,8
44,19
45,18
46,14
47,16
48,10
49,24
50,13
51,22
52,4
53,6
54,22
55,39
56,30
57,14
58,41
59,16
60,39
61,27
62,40
63,28
64,11
65,28
66,15
67,17
68,23
69,35
70,18
71,12
72,27
73,14
74,9
75,10
76,14
77,25
78,15
79,13
80,5
81,7
82,21
83,8
84,13
85,9
86,19
87,10
88,2
89,11
90,55
91,14
92,71
93,12
94,16
95,24
96,23
97,11
98,21
99,52
100,16
101,19
102,40
103,40
104,33
105,10
106,37
107,37
108,29
109,27
110,44
111,8
112,49
113,26
114,17
115,34
116,36
117,33
118,16
119,14
120,26
121,31
122,14
123,26
124,21
125,21
126,5
127,26
128,23
129,5
130,14
131,4
132,9
133,12
134,24
135,27
136,9
137,15
138,21
139,24
140,13
141,8
142,24
143,21
144,36
145,14
146,8
147,42
148,18
149,9
150,32
151,19
152,36
153,29
154,31
155,28
156,10
157,11
158,24
159,25
160,35
161,32
162,13
163,35
164,43
165,17
166,34
167,39
168,32
169,26
170,9
171,16
172,19
173,16
174,6
175,16
176,26
177,40
178,15
179,12
180,19
181,37
182,20
183,15
184,7
185,11
186,56
187,11
188,20
189,16
190,9
191,NA
192,31
193,NA
194,12
195,32
196,16
197,19
198,27
199,24
200,26
201,26
202,37
203,21
204,18
205,37
206,14
207,41
208,56
209,47
210,13
211,NA
212,36
213,24
214,43
215,55
216,25
217,40
218,34
219,48
220,37
221,25
222,29
223,21
224,21
225,30
226,29
227,35
228,36
229,22
230,19
231,14
232,11
233,32
234,32
235,29
236,19
237,10
238,23
239,21
240,25
241,9
242,16
243,11
244,21
245,16
246,19
247,27
248,25
249,16
250,16
251,19
252,29
253,12
254,22
255,NA
256,15
257,16
258,26
259,38
260,15
261,26
262,9
263,13
264,43
265,18
266,82
267,32
268,NA
269,18
270,19
271,30
272,42
273,42
274,42
275,21
276,29
277,21
278,22
279,23
280,20
281,11
282,7
283,10
284,20
285,28
286,17
287,11
288,18
289,18
290,15
291,7
292,16
293,19
294,19
295,4
296,21
297,14
298,28
299,5
300,24
301,13
302,14
303,44
304,13
305,19
306,9
307,70
308,27
309,25
310,20
311,36
312,20
313,14
314,19
315,32
316,25
317,NA
318,33
319,NA
320,34
321,31
322,20
323,25
324,28
325,45
326,18
327,18
328,15
329,21
330,21
331,13
332,NA
333,13
334,17
335,14
336,19
337,6
338,7
339,NA
340,23
341,31
342,31
343,12
344,13
345,15
346,20
347,28
348,NA
349,22
350,23
351,NA
352,NA
353,27
354,12
355,30
356,22
357,26
358,17
359,29
360,18
361,24
362,25
363,24
364,11
365,16
366,16
367,18
368,19
