,x
1,10
2,10
3,10
4,17
5,18
6,13
7,8
8,6
9,6
10,8
11,10
12,2
13,10
14,12
15,12
16,12
17,27
18,18
19,20
20,14
21,16
22,5
23,6
24,7
25,6
26,9
27,8
28,5
29,5
30,9
31,5
32,17
33,2
34,2
35,9
36,12
37,7
38,6
39,15
40,3
41,6
42,10
43,7
44,16
45,12
46,9
47,11
48,15
49,13
50,25
51,9
52,20
53,14
54,16
55,16
56,9
57,16
58,27
59,21
60,19
61,20
62,20
63,16
64,9
65,27
66,14
67,18
68,22
69,27
70,12
71,7
72,17
73,10
74,18
75,7
76,7
77,13
78,13
79,8
80,9
81,12
82,13
83,13
84,17
85,16
86,NA
87,8
88,9
89,26
90,18
91,22
92,12
93,20
94,15
95,19
96,13
97,9
98,17
99,10
100,9
101,12
102,12
103,7
104,16
105,9
106,8
107,19
108,13
109,10
110,15
111,20
112,17
113,6
114,10
115,10
116,19
117,16
118,17
119,9
120,10
121,21
122,19
123,22
124,14
125,16
126,11
127,15
128,17
129,11
130,25
131,13
132,20
133,14
134,19
135,25
136,25
137,16
138,36
139,33
140,36
141,21
142,14
143,23
144,23
145,30
146,35
147,24
148,32
149,22
150,20
151,23
152,22
153,34
154,29
155,32
156,24
157,8
158,21
159,30
160,30
161,27
162,49
163,38
164,32
165,19
166,23
167,18
168,49
169,37
170,22
171,38
172,28
173,42
174,27
175,29
176,25
177,36
178,25
179,19
180,23
181,28
182,41
183,37
184,23
185,12
186,30
187,34
188,48
189,40
190,55
191,NA
192,64
193,NA
194,83
195,67
196,56
197,56
198,53
199,62
200,154
201,154
202,36
203,83
204,53
205,62
206,47
207,91
208,67
209,58
210,41
211,NA
212,64
213,65
214,70
215,36
216,64
217,49
218,45
219,62
220,40
221,45
222,63
223,39
224,32
225,60
226,32
227,38
228,62
229,45
230,NA
231,54
232,17
233,51
234,49
235,54
236,37
237,40
238,24
239,39
240,42
241,31
242,19
243,49
244,56
245,47
246,40
247,40
248,39
249,41
250,43
251,39
252,50
253,36
254,49
255,NA
256,37
257,46
258,38
259,57
260,38
261,46
262,17
263,28
264,42
265,27
266,21
267,41
268,57
269,38
270,43
271,37
272,26
273,26
274,26
275,49
276,22
277,39
278,36
279,24
280,30
281,18
282,33
283,39
284,45
285,42
286,33
287,32
288,35
289,9
290,32
291,27
292,20
293,14
294,28
295,30
296,19
297,23
298,21
299,13
300,30
301,20
302,32
303,35
