,x
1,3
2,3
3,4
4,1
5,NA
6,2
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,2
15,NA
16,NA
17,1
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,3
40,NA
41,3
42,NA
43,1
44,NA
45,NA
46,NA
47,NA
48,NA
49,1
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,2
61,NA
62,NA
63,8
64,1
65,NA
66,NA
67,3
68,1
69,1
70,NA
71,1
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,3
95,NA
96,NA
97,NA
98,NA
99,NA
100,1
101,2
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,1
112,NA
113,NA
114,NA
115,4
116,1
117,NA
118,1
119,3
120,1
121,NA
122,1
123,NA
124,NA
125,1
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,4
133,1
134,1
135,NA
136,NA
137,NA
138,NA
139,1
140,NA
141,NA
142,7
143,NA
144,NA
145,3
146,1
147,NA
148,1
149,NA
150,5
151,NA
152,NA
153,NA
154,6
155,NA
156,NA
157,NA
158,6
159,NA
160,NA
161,NA
162,NA
163,NA
164,9
165,NA
166,NA
167,1
168,NA
169,NA
170,NA
171,6
172,NA
173,NA
174,NA
175,1
176,14
177,NA
178,NA
179,NA
180,5
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,5
188,4
189,21
190,3
191,NA
192,NA
193,NA
194,14
195,2
196,NA
197,2
198,11
199,1
200,1
201,1
202,1
203,9
204,2
205,NA
206,NA
207,7
208,1
209,3
210,NA
211,NA
212,NA
213,2
214,1
215,2
216,1
217,NA
218,NA
219,NA
220,12
221,2
222,NA
223,NA
224,NA
225,16
226,NA
227,NA
228,NA
229,13
230,NA
231,3
232,NA
233,NA
234,4
235,5
236,1
237,NA
238,16
239,NA
240,1
241,1
242,11
243,NA
244,NA
245,1
246,1
247,16
248,2
249,2
250,NA
251,1
252,NA
253,NA
254,NA
255,NA
256,2
257,2
258,NA
259,NA
260,16
261,1
262,1
263,1
264,5
265,NA
266,NA
267,NA
268,NA
269,NA
270,NA
271,NA
272,9
273,9
274,9
275,NA
276,NA
277,1
278,NA
279,1
280,7
281,1
282,NA
283,NA
284,12
285,1
286,NA
287,NA
288,NA
289,NA
290,NA
291,NA
292,2
293,NA
294,NA
295,2
296,NA
297,NA
298,NA
299,1
300,NA
301,8
302,NA
303,NA
304,NA
305,11
306,NA
307,1
308,NA
309,1
310,NA
311,NA
312,NA
313,13
314,1
315,NA
316,NA
317,NA
318,NA
319,NA
320,NA
321,NA
322,1
323,NA
324,1
325,NA
326,NA
327,17
328,NA
329,1
330,NA
331,11
332,1
333,NA
334,1
335,1
336,NA
337,NA
338,1
339,NA
340,NA
341,13
342,1
343,1
344,2
345,13
346,NA
347,3
348,1
349,8
350,2
351,NA
352,NA
353,7
354,2
355,1
356,6
357,5
358,5
359,NA
360,NA
361,NA
362,7
363,NA
364,2
365,NA
366,NA
367,NA
368,2
369,NA
370,3
371,NA
372,2
373,NA
374,2
375,NA
376,NA
377,3
378,6
379,5
380,1
381,2
382,NA
383,NA
384,NA
385,NA
386,1
387,1
388,5
389,1
390,1
391,1
392,NA
393,NA
394,NA
395,NA
396,1
397,NA
398,NA
399,NA
400,NA
401,NA
402,2
403,2
404,7
405,8
406,NA
407,7
408,1
409,27
410,NA
411,2
412,NA
413,NA
414,NA
415,NA
416,NA
417,1
418,NA
419,5
420,NA
421,12
422,1
423,4
424,18
425,NA
426,4
427,NA
428,3
429,16
430,NA
431,8
432,NA
433,1
434,9
435,5
436,16
437,3
438,4
439,22
440,4
441,1
442,1
443,11
444,3
445,8
446,10
447,1
448,2
449,4
450,NA
451,10
452,5
453,4
454,3
455,10
456,5
457,NA
458,8
459,4
460,2
461,NA
462,11
463,NA
464,NA
465,2
466,NA
467,4
468,NA
469,5
470,NA
471,3
472,3
473,2
474,NA
475,6
476,5
477,12
478,1
479,2
480,6
481,2
482,1
483,4
484,NA
485,4
486,1
487,NA
488,8
489,5
490,3
491,NA
492,2
493,NA
494,1
495,7
496,1
497,4
498,NA
499,3
500,4
501,4
502,NA
503,3
504,4
505,NA
506,4
507,7
508,3
509,5
510,NA
511,3
512,3
513,2
514,6
515,8
516,NA
517,6
518,7
519,6
520,2
521,NA
522,5
523,4
524,2
525,6
526,6
527,NA
528,NA
529,1
530,NA
531,1
532,9
533,4
534,2
535,1
536,1
537,NA
538,1
539,NA
540,1
541,1
542,3
543,NA
544,4
