,x
1,21
2,21
3,25
4,10
5,18
6,15
7,14
8,12
9,6
10,19
11,24
12,16
13,12
14,14
15,15
16,15
17,19
18,13
19,38
20,21
21,27
22,26
23,25
24,10
25,12
26,20
27,12
28,13
29,12
30,16
31,8
32,11
33,18
34,9
35,15
36,10
37,13
38,11
39,19
40,26
41,26
42,15
43,17
44,32
45,29
46,19
47,24
48,33
49,29
50,24
51,12
52,19
53,13
54,18
55,17
56,21
57,21
58,20
59,8
60,29
61,9
62,26
63,19
64,22
65,103
66,55
67,18
68,42
69,19
70,21
71,70
72,22
73,27
74,31
75,12
76,21
77,18
78,12
79,14
80,12
81,21
82,13
83,19
84,41
85,28
86,13
87,20
88,24
89,20
90,17
91,24
92,23
93,27
94,21
95,34
96,27
97,20
98,20
99,19
100,65
101,23
102,25
103,13
104,20
105,23
106,18
107,57
108,14
109,37
110,28
111,20
112,15
113,20
114,35
115,49
116,28
117,28
118,19
119,38
120,25
121,24
122,22
123,21
124,33
125,29
126,19
127,30
128,43
129,33
130,40
131,43
132,36
133,35
134,26
135,25
136,14
137,38
138,23
139,23
140,30
141,21
142,29
143,47
144,23
145,NA
146,31
147,51
148,44
149,29
150,31
151,35
152,46
153,25
154,42
155,42
156,23
157,29
158,12
159,18
160,43
161,17
162,32
163,31
164,14
165,22
166,28
167,26
168,76
169,32
170,32
171,4
172,42
173,36
174,54
175,20
176,47
177,37
178,22
179,18
180,47
181,18
182,48
183,35
184,22
185,42
186,49
187,24
188,53
189,38
190,19
191,NA
192,24
193,NA
194,36
195,24
196,46
197,42
198,24
199,53
200,64
201,64
202,43
203,45
204,40
205,53
206,36
207,49
208,36
209,41
210,53
211,NA
212,60
213,36
214,66
215,37
216,42
217,23
218,30
219,16
220,51
221,53
222,16
223,39
224,49
225,62
226,59
227,62
228,27
229,62
230,37
231,44
232,55
233,60
234,50
235,62
236,52
237,47
238,31
239,62
240,38
241,62
242,67
243,85
244,36
245,45
246,48
247,45
248,56
249,71
250,69
251,79
252,76
253,63
254,47
255,NA
256,47
257,61
258,50
259,75
260,74
261,74
262,60
263,37
264,162
265,87
266,75
267,85
268,77
269,80
270,56
271,51
272,43
273,43
274,43
275,63
276,77
277,72
278,81
279,40
280,58
281,80
282,75
283,49
284,72
285,52
286,64
287,49
288,75
289,64
290,68
291,75
292,39
293,50
294,66
295,79
296,93
297,69
298,67
299,59
300,89
301,47
302,60
303,65
304,81
305,72
306,63
307,62
308,37
309,63
310,77
311,58
312,56
313,48
314,76
315,53
316,23
317,NA
318,89
319,NA
320,60
321,60
322,48
323,40
324,89
325,45
326,64
327,68
328,63
329,58
330,72
331,54
332,58
333,55
334,54
335,80
336,59
337,45
338,28
339,NA
340,53
341,42
342,44
343,57
344,24
345,51
346,43
347,47
348,43
349,47
350,51
351,NA
352,NA
353,47
354,48
355,57
356,60
357,50
358,29
359,61
360,47
361,48
362,40
363,53
364,34
365,45
366,47
367,33
368,38
369,NA
370,39
371,NA
372,59
373,23
374,41
375,34
376,43
377,30
378,49
379,54
380,55
381,57
382,42
383,29
384,36
385,37
386,53
387,53
388,44
389,53
390,31
391,27
392,49
393,32
394,30
395,31
396,27
397,NA
398,NA
399,47
400,33
401,40
402,31
403,31
404,34
405,19
406,19
407,31
408,33
409,47
410,37
411,34
412,28
413,31
414,32
415,NA
416,23
417,27
418,13
419,31
420,36
421,20
422,41
423,23
424,8
425,4
426,26
427,21
428,23
429,19
430,23
431,8
432,NA
433,45
434,24
435,9
436,16
437,19
438,13
439,21
440,21
441,16
442,22
443,14
444,17
445,6
446,28
447,17
448,16
449,19
450,13
451,29
452,14
453,70
454,26
455,18
456,18
457,20
458,33
459,12
460,21
461,NA
462,23
463,27
464,25
465,19
466,32
467,23
468,NA
469,16
470,NA
471,12
472,15
473,26
474,17
475,16
476,17
477,24
478,20
479,20
480,34
481,20
482,18
483,8
484,22
485,19
486,22
487,18
488,11
489,2
490,28
491,21
492,15
493,22
494,28
495,28
496,18
497,27
498,12
499,11
500,12
501,31
502,NA
503,25
504,13
505,24
506,23
507,8
508,6
509,31
510,37
511,13
512,37
513,22
514,6
515,NA
516,NA
517,NA
518,28
519,18
520,NA
521,27
522,25
523,12
524,NA
525,44
526,23
527,12
528,NA
529,14
530,5
531,18
532,18
533,57
534,NA
535,NA
536,6
537,NA
538,89
539,39
540,56
541,43
542,27
543,20
544,21
545,NA
546,NA
547,18
548,25
549,26
550,35
551,13
552,28
553,26
554,18
555,19
556,37
557,31
558,15
559,16
560,30
561,17
562,29
563,6
564,24
565,14
566,25
567,31
568,22
569,37
570,24
571,26
572,23
573,29
574,26
575,15
576,16
577,22
578,40
579,31
580,25
581,17
582,NA
583,NA
584,18
585,43
586,29
587,23
588,22
589,26
590,22
591,23
592,13
593,22
594,10
595,20
596,18
597,13
598,20
599,21
600,25
601,23
602,17
603,11
604,13
605,16
606,29
607,30
608,27
609,14
610,22
611,21
612,21
613,NA
614,NA
615,14
616,16
617,11
618,15
619,12
620,26
621,13
622,20
623,16
624,8
625,15
626,20
627,11
628,13
629,22
630,17
631,24
632,21
633,6
634,NA
635,17
636,8
637,14
638,NA
639,19
640,9
641,11
642,11
643,16
644,13
645,14
646,15
647,31
648,30
649,11
650,14
651,12
652,15
653,16
654,24
655,14
656,13
657,12
658,16
659,12
660,NA
661,27
662,18
663,25
664,NA
665,10
666,20
667,18
668,17
669,10
670,7
671,9
672,13
673,10
674,NA
675,10
676,14
677,9
678,17
679,12
680,6
681,11
682,4
683,19
684,25
685,8
686,16
687,5
688,11
689,6
690,7
691,16
692,10
693,13
694,17
695,18
696,10
697,13
698,8
699,20
700,21
701,10
702,15
703,18
704,12
705,17
706,13
707,11
708,12
709,17
710,14
711,4
712,7
713,NA
714,NA
715,15
716,19
717,27
718,NA
719,4
720,15
721,17
722,13
723,11
724,23
725,18
726,16
727,11
728,8
729,18
730,14
731,13
732,9
733,18
734,17
735,13
736,11
737,NA
738,11
739,NA
740,9
741,9
742,10
743,NA
744,10
745,16
746,10
747,13
748,NA
749,8
750,18
751,11
752,13
753,15
754,9
755,13
756,9
757,13
758,18
759,6
760,19
761,15
762,18
763,21
764,16
765,11
766,17
767,14
768,11
769,9
770,13
771,15
772,15
773,10
774,NA
775,NA
776,22
777,NA
778,NA
779,NA
780,NA
781,NA
782,NA
783,NA
784,21
785,NA
786,NA
787,NA
788,25
789,NA
790,NA
791,15
792,9
793,9
794,10
795,11
796,NA
797,20
798,11
799,23
800,33
801,27
802,NA
803,NA
804,NA
805,25
806,14
807,NA
808,34
809,NA
810,NA
811,NA
812,NA
813,NA
814,NA
815,NA
816,18
817,17
818,28
819,17
820,22
821,11
822,19
823,11
824,10
825,17
826,13
827,19
828,NA
