,x
1,13
2,13
3,15
4,13
5,21
6,23
7,13
8,20
9,15
10,7
11,9
12,8
13,1
14,5
15,8
16,5
17,6
18,8
19,8
20,6
21,1
22,5
23,3
24,6
25,5
26,4
27,3
28,3
29,10
30,3
31,3
32,6
33,4
34,8
35,3
36,1
37,8
38,7
39,4
40,2
41,12
42,21
43,10
44,11
45,12
46,9
47,2
48,20
49,26
50,19
51,24
52,9
53,11
54,7
55,11
56,43
57,26
58,9
59,3
60,12
61,14
62,2
63,23
64,8
65,11
66,NA
67,11
68,14
69,6
70,14
71,1
72,6
73,5
74,7
75,3
76,6
77,48
78,10
79,3
80,6
81,4
82,10
83,4
84,4
85,3
86,5
87,8
88,2
89,NA
90,3
91,4
92,27
93,11
94,13
95,6
96,3
97,6
98,26
99,4
100,5
101,2
102,8
103,10
104,5
105,11
106,3
107,14
108,2
109,9
110,7
111,2
112,3
113,13
114,7
115,4
116,6
117,7
118,3
119,8
120,7
121,2
122,2
123,5
124,5
125,6
126,6
127,3
128,5
129,2
130,10
131,4
132,NA
133,5
134,4
135,2
136,6
137,4
138,4
139,NA
140,7
141,4
142,7
143,4
144,7
145,5
146,5
147,7
148,4
149,2
150,6
151,5
152,7
153,14
154,5
155,NA
156,25
157,2
158,5
159,4
160,2
161,3
162,1
163,5
164,1
165,3
166,6
167,7
168,7
169,10
170,5
171,15
172,14
173,9
174,5
175,NA
176,7
177,2
178,6
179,3
180,1
181,4
182,4
183,6
184,4
185,1
186,4
187,10
188,10
189,6
190,4
191,NA
192,2
193,NA
194,7
195,4
196,3
197,4
198,1
199,8
200,11
201,11
202,8
203,4
204,4
205,11
206,5
207,5
208,11
209,4
210,NA
211,NA
212,4
213,3
214,16
215,13
216,19
217,12
218,5
219,3
220,12
221,8
222,4
223,6
224,10
225,12
226,1
227,6
228,11
229,4
230,6
231,7
232,10
233,3
234,7
235,11
236,9
237,1
238,2
239,5
240,8
241,2
242,5
243,6
244,8
245,2
246,7
247,11
248,3
249,2
250,4
251,2
252,15
253,5
254,1
255,NA
256,8
257,5
258,1
259,9
260,14
261,19
262,NA
263,4
264,3
265,16
266,20
267,4
268,8
269,4
270,16
271,19
272,5
273,5
274,5
275,11
276,12
277,1
278,15
279,4
280,25
281,11
282,12
283,9
284,14
285,7
286,6
287,10
288,7
289,6
290,9
291,9
292,6
293,11
294,1
295,11
296,7
297,7
298,11
299,10
300,6
301,3
302,18
303,16
304,22
305,12
306,12
307,2
308,9
309,1
310,7
311,10
312,27
313,8
314,4
315,7
316,1
317,NA
318,8
319,NA
320,7
321,17
322,1
323,7
324,16
325,10
326,11
327,4
328,2
329,8
330,4
331,11
332,10
333,9
334,33
335,13
336,11
337,17
338,6
339,NA
340,10
341,10
342,4
343,8
344,6
345,19
346,9
347,17
348,5
349,2
350,6
351,NA
352,NA
353,2
354,11
355,1
356,1
357,2
358,27
359,8
360,4
361,16
362,22
363,15
364,7
365,3
366,15
367,5
368,6
369,NA
370,4
371,NA
372,40
373,11
374,2
375,9
376,9
377,13
378,6
379,3
380,30
381,7
382,7
383,6
384,6
385,3
386,7
387,7
388,5
389,8
390,8
391,6
392,19
393,11
394,5
395,8
396,12
397,7
398,3
399,3
400,12
401,1
402,10
403,10
404,6
405,3
406,4
